data_inizio,data_fine,delay,frequenza_delay
2020-02-25,2020-02-26,33,0.011235955056179775
2020-03-06,2020-03-07,32,0.011235955056179775
2020-03-09,2020-03-10,26,0.011235955056179775
2020-03-11,2020-03-12,27,0.011235955056179775
2020-03-15,2020-03-16,22,0.011235955056179775
2020-03-16,2020-03-17,18,0.011235955056179775
2020-03-16,2020-03-17,24,0.011235955056179775
2020-03-20,2020-03-21,32,0.011235955056179775
2020-03-20,2020-03-21,40,0.011235955056179775
2020-03-23,2020-03-24,29,0.011235955056179775
2020-03-25,2020-03-26,35,0.011235955056179775
2020-03-27,2020-03-28,26,0.011235955056179775
2020-03-28,2020-03-29,26,0.011235955056179775
2020-03-30,2020-03-31,15,0.011235955056179775
2020-03-31,2020-04-01,25,0.011235955056179775
2020-04-01,2020-04-02,20,0.011235955056179775
2020-04-02,2020-04-03,24,0.011235955056179775
2020-04-04,2020-04-05,16,0.011235955056179775
2020-04-05,2020-04-06,21,0.011235955056179775
2020-04-06,2020-04-07,20,0.011235955056179775
2020-04-09,2020-04-10,15,0.011235955056179775
2020-04-11,2020-04-12,22,0.011235955056179775
2020-04-12,2020-04-13,23,0.011235955056179775
2020-04-13,2020-04-14,22,0.011235955056179775
2020-04-14,2020-04-15,22,0.011235955056179775
2020-04-15,2020-04-16,19,0.011235955056179775
2020-04-19,2020-04-20,22,0.011235955056179775
2020-04-20,2020-04-21,21,0.011235955056179775
2020-04-21,2020-04-22,27,0.011235955056179775
2020-04-22,2020-04-23,15,0.011235955056179775
2020-04-23,2020-04-24,19,0.011235955056179775
2020-04-26,2020-04-27,23,0.011235955056179775
2020-04-27,2020-04-28,15,0.011235955056179775
2020-04-27,2020-04-28,17,0.011235955056179775
2020-04-28,2020-04-29,20,0.011235955056179775
2020-05-04,2020-05-05,21,0.011235955056179775
2020-05-06,2020-05-07,25,0.011235955056179775
2020-05-12,2020-05-13,22,0.011235955056179775
2020-05-24,2020-05-25,30,0.011235955056179775
2020-08-20,2020-08-21,17,0.011235955056179775
2020-08-26,2020-08-27,24,0.011235955056179775
2020-09-03,2020-09-04,21,0.011235955056179775
2020-10-09,2020-10-10,21,0.011235955056179775
2020-10-09,2020-10-10,28,0.011235955056179775
2020-10-11,2020-10-12,33,0.011235955056179775
2020-10-13,2020-10-14,21,0.011235955056179775
2020-10-16,2020-10-17,24,0.011235955056179775
2020-10-17,2020-10-18,22,0.011235955056179775
2020-10-19,2020-10-20,23,0.011235955056179775
2020-10-20,2020-10-21,31,0.011235955056179775
2020-10-22,2020-10-23,19,0.011235955056179775
2020-10-23,2020-10-24,23,0.011235955056179775
2020-10-25,2020-10-26,18,0.011235955056179775
2020-10-26,2020-10-27,21,0.011235955056179775
2020-10-27,2020-10-28,24,0.011235955056179775
2020-10-28,2020-10-29,19,0.011235955056179775
2020-10-29,2020-10-30,16,0.011235955056179775
2020-10-31,2020-11-01,19,0.011235955056179775
2020-11-01,2020-11-02,18,0.011235955056179775
2020-11-02,2020-11-03,17,0.011235955056179775
2020-11-04,2020-11-05,20,0.011235955056179775
2020-11-05,2020-11-06,15,0.011235955056179775
2020-11-06,2020-11-07,23,0.011235955056179775
2020-11-07,2020-11-08,18,0.011235955056179775
2020-11-08,2020-11-09,17,0.011235955056179775
2020-11-09,2020-11-10,18,0.011235955056179775
2020-11-10,2020-11-11,19,0.011235955056179775
2020-11-11,2020-11-12,22,0.011235955056179775
2020-11-13,2020-11-14,15,0.011235955056179775
2020-11-14,2020-11-15,20,0.011235955056179775
2020-11-15,2020-11-16,15,0.011235955056179775
2020-11-17,2020-11-18,19,0.011235955056179775
2020-11-18,2020-11-19,17,0.011235955056179775
2020-11-19,2020-11-20,21,0.011235955056179775
2020-11-20,2020-11-21,20,0.011235955056179775
2020-11-21,2020-11-22,19,0.011235955056179775
2020-11-23,2020-11-24,16,0.011235955056179775
2020-11-24,2020-11-25,15,0.011235955056179775
2020-11-25,2020-11-26,18,0.011235955056179775
2020-11-26,2020-11-27,21,0.011235955056179775
2020-11-28,2020-11-29,22,0.011235955056179775
2020-11-30,2020-12-01,21,0.011235955056179775
2020-12-01,2020-12-02,19,0.011235955056179775
2020-12-02,2020-12-03,17,0.011235955056179775
2020-12-03,2020-12-04,21,0.011235955056179775
2020-12-05,2020-12-06,20,0.02247191011235955
2020-12-08,2020-12-09,17,0.011235955056179775
2020-12-10,2020-12-11,15,0.011235955056179775
