data_inizio,data_fine,delay,frequenza_delay
2020-02-17,2020-02-17,37,0.0017513134851138354
2020-02-21,2020-02-21,34,0.0017513134851138354
2020-02-23,2020-02-23,32,0.0017513134851138354
2020-02-23,2020-02-23,35,0.0017513134851138354
2020-02-24,2020-02-24,27,0.0017513134851138354
2020-02-25,2020-02-25,32,0.0017513134851138354
2020-02-26,2020-02-26,21,0.0017513134851138354
2020-02-26,2020-02-26,31,0.0017513134851138354
2020-02-26,2020-02-26,30,0.0017513134851138354
2020-02-27,2020-02-27,26,0.0017513134851138354
2020-02-28,2020-02-28,28,0.0017513134851138354
2020-02-29,2020-02-29,20,0.0017513134851138354
2020-02-29,2020-02-29,29,0.0017513134851138354
2020-02-29,2020-02-29,33,0.0017513134851138354
2020-03-01,2020-03-01,20,0.0035026269702276708
2020-03-01,2020-03-01,18,0.0017513134851138354
2020-03-01,2020-03-01,24,0.0017513134851138354
2020-03-03,2020-03-03,23,0.0017513134851138354
2020-03-04,2020-03-04,21,0.0035026269702276708
2020-03-04,2020-03-04,25,0.0035026269702276708
2020-03-04,2020-03-04,39,0.0017513134851138354
2020-03-05,2020-03-05,17,0.0017513134851138354
2020-03-06,2020-03-06,22,0.0017513134851138354
2020-03-07,2020-03-07,19,0.0017513134851138354
2020-03-08,2020-03-08,16,0.0017513134851138354
2020-03-09,2020-03-09,19,0.0017513134851138354
2020-03-10,2020-03-10,17,0.0035026269702276708
2020-03-11,2020-03-11,14,0.0017513134851138354
2020-03-11,2020-03-11,36,0.0017513134851138354
2020-03-12,2020-03-12,15,0.0017513134851138354
2020-03-13,2020-03-13,20,0.0035026269702276708
2020-03-14,2020-03-14,14,0.0017513134851138354
2020-03-15,2020-03-15,18,0.005253940455341506
2020-03-16,2020-03-16,20,0.005253940455341506
2020-03-17,2020-03-17,17,0.0017513134851138354
2020-03-18,2020-03-18,18,0.01576182136602452
2020-03-19,2020-03-19,17,0.0017513134851138354
2020-03-20,2020-03-20,21,0.0017513134851138354
2020-03-21,2020-03-21,19,0.0070052539404553416
2020-03-22,2020-03-22,15,0.005253940455341506
2020-03-23,2020-03-23,16,0.0017513134851138354
2020-03-24,2020-03-24,17,0.005253940455341506
2020-03-25,2020-03-25,15,0.0035026269702276708
2020-03-26,2020-03-26,16,0.0017513134851138354
2020-03-27,2020-03-27,17,0.0035026269702276708
2020-03-28,2020-03-28,18,0.0035026269702276708
2020-03-29,2020-03-29,19,0.005253940455341506
2020-03-30,2020-03-30,18,0.0035026269702276708
2020-03-31,2020-03-31,19,0.0035026269702276708
2020-04-01,2020-04-01,16,0.0017513134851138354
2020-04-02,2020-04-02,20,0.005253940455341506
2020-04-03,2020-04-03,14,0.0017513134851138354
2020-04-04,2020-04-04,16,0.0017513134851138354
2020-04-05,2020-04-05,18,0.0017513134851138354
2020-04-06,2020-04-06,21,0.0035026269702276708
2020-04-07,2020-04-07,17,0.0017513134851138354
2020-04-08,2020-04-08,21,0.0017513134851138354
2020-04-09,2020-04-09,19,0.0035026269702276708
2020-04-10,2020-04-10,20,0.0017513134851138354
2020-04-11,2020-04-11,20,0.0035026269702276708
2020-04-12,2020-04-12,15,0.0017513134851138354
2020-04-13,2020-04-13,20,0.0035026269702276708
2020-04-14,2020-04-14,20,0.0017513134851138354
2020-04-15,2020-04-15,14,0.0017513134851138354
2020-04-16,2020-04-16,17,0.0035026269702276708
2020-04-17,2020-04-17,18,0.005253940455341506
2020-04-18,2020-04-18,20,0.0035026269702276708
2020-04-19,2020-04-19,20,0.0017513134851138354
2020-04-20,2020-04-20,18,0.0017513134851138354
2020-04-21,2020-04-21,22,0.0035026269702276708
2020-04-22,2020-04-22,17,0.0017513134851138354
2020-04-23,2020-04-23,27,0.0017513134851138354
2020-04-24,2020-04-24,15,0.0017513134851138354
2020-04-25,2020-04-25,15,0.0017513134851138354
2020-04-26,2020-04-26,18,0.0017513134851138354
2020-04-27,2020-04-27,20,0.0017513134851138354
2020-04-28,2020-04-28,18,0.0017513134851138354
2020-04-29,2020-04-29,22,0.0035026269702276708
2020-04-30,2020-04-30,17,0.0017513134851138354
2020-05-01,2020-05-01,18,0.0017513134851138354
2020-05-02,2020-05-02,20,0.0017513134851138354
2020-05-04,2020-05-04,18,0.0017513134851138354
2020-05-05,2020-05-05,17,0.0017513134851138354
2020-05-06,2020-05-06,22,0.0035026269702276708
2020-05-07,2020-05-07,17,0.0017513134851138354
2020-05-08,2020-05-08,20,0.0035026269702276708
2020-05-09,2020-05-09,20,0.0017513134851138354
2020-05-10,2020-05-10,22,0.0017513134851138354
2020-05-11,2020-05-11,21,0.0017513134851138354
2020-05-12,2020-05-12,16,0.0017513134851138354
2020-05-14,2020-05-14,18,0.0017513134851138354
2020-05-16,2020-05-16,19,0.0017513134851138354
2020-05-17,2020-05-17,28,0.0017513134851138354
2020-05-18,2020-05-18,17,0.0017513134851138354
2020-05-19,2020-05-19,26,0.0017513134851138354
2020-05-20,2020-05-20,17,0.0017513134851138354
2020-05-22,2020-05-22,17,0.0017513134851138354
2020-05-23,2020-05-23,18,0.0017513134851138354
2020-05-25,2020-05-25,19,0.0017513134851138354
2020-05-26,2020-05-26,20,0.0017513134851138354
2020-05-29,2020-05-29,20,0.0017513134851138354
2020-06-03,2020-06-03,16,0.0017513134851138354
2020-06-04,2020-06-04,28,0.0017513134851138354
2020-06-05,2020-06-05,24,0.0017513134851138354
2020-06-08,2020-06-08,23,0.0017513134851138354
2020-06-10,2020-06-10,21,0.0035026269702276708
2020-06-18,2020-06-18,15,0.0017513134851138354
2020-06-22,2020-06-22,15,0.0017513134851138354
2020-06-24,2020-06-24,28,0.0017513134851138354
2020-06-25,2020-06-25,24,0.0017513134851138354
2020-06-29,2020-06-29,20,0.0017513134851138354
2020-07-07,2020-07-07,24,0.0017513134851138354
2020-07-09,2020-07-09,17,0.0017513134851138354
2020-07-14,2020-07-14,26,0.0017513134851138354
2020-07-18,2020-07-18,27,0.0017513134851138354
2020-07-22,2020-07-22,22,0.0017513134851138354
2020-07-28,2020-07-28,27,0.0017513134851138354
2020-08-01,2020-08-01,24,0.0017513134851138354
2020-08-03,2020-08-03,15,0.0017513134851138354
2020-08-12,2020-08-12,24,0.0017513134851138354
2020-08-17,2020-08-17,21,0.0035026269702276708
2020-08-18,2020-08-18,29,0.0017513134851138354
2020-08-19,2020-08-19,27,0.0017513134851138354
2020-08-20,2020-08-20,27,0.0017513134851138354
2020-08-22,2020-08-22,37,0.0017513134851138354
2020-08-23,2020-08-23,20,0.0017513134851138354
2020-08-26,2020-08-26,23,0.0017513134851138354
2020-08-27,2020-08-27,21,0.0017513134851138354
2020-08-28,2020-08-28,20,0.0017513134851138354
2020-09-01,2020-09-01,23,0.0017513134851138354
2020-09-02,2020-09-02,22,0.0017513134851138354
2020-09-03,2020-09-03,20,0.0035026269702276708
2020-09-05,2020-09-05,37,0.0017513134851138354
2020-09-06,2020-09-06,23,0.0017513134851138354
2020-09-09,2020-09-09,21,0.0017513134851138354
2020-09-12,2020-09-12,22,0.0017513134851138354
2020-09-14,2020-09-14,22,0.0017513134851138354
2020-09-15,2020-09-15,20,0.0017513134851138354
2020-09-16,2020-09-16,28,0.0035026269702276708
2020-09-18,2020-09-18,20,0.0017513134851138354
2020-09-19,2020-09-19,21,0.0017513134851138354
2020-09-20,2020-09-20,24,0.0017513134851138354
2020-09-21,2020-09-21,21,0.0017513134851138354
2020-09-22,2020-09-22,16,0.0017513134851138354
2020-09-23,2020-09-23,24,0.0017513134851138354
2020-09-24,2020-09-24,15,0.0017513134851138354
2020-09-25,2020-09-25,21,0.0017513134851138354
2020-09-26,2020-09-26,26,0.0017513134851138354
2020-09-27,2020-09-27,18,0.0017513134851138354
2020-09-28,2020-09-28,15,0.0017513134851138354
2020-09-29,2020-09-29,21,0.0017513134851138354
2020-09-30,2020-09-30,20,0.0017513134851138354
2020-10-01,2020-10-01,20,0.0017513134851138354
2020-10-01,2020-10-01,41,0.0017513134851138354
2020-10-02,2020-10-02,21,0.0017513134851138354
2020-10-03,2020-10-03,22,0.0035026269702276708
2020-10-04,2020-10-04,16,0.0017513134851138354
2020-10-05,2020-10-05,20,0.0017513134851138354
2020-10-06,2020-10-06,14,0.0017513134851138354
2020-10-07,2020-10-07,20,0.0017513134851138354
2020-10-08,2020-10-08,15,0.0017513134851138354
2020-10-09,2020-10-09,18,0.0017513134851138354
2020-10-10,2020-10-10,18,0.0017513134851138354
2020-10-10,2020-10-10,38,0.0017513134851138354
2020-10-11,2020-10-11,19,0.012259194395796848
2020-10-12,2020-10-12,18,0.0070052539404553416
2020-10-13,2020-10-13,19,0.0035026269702276708
2020-10-14,2020-10-14,18,0.0035026269702276708
2020-10-15,2020-10-15,17,0.0070052539404553416
2020-10-16,2020-10-16,18,0.0035026269702276708
2020-10-17,2020-10-17,21,0.0070052539404553416
2020-10-18,2020-10-18,16,0.0017513134851138354
2020-10-19,2020-10-19,17,0.0035026269702276708
2020-10-20,2020-10-20,21,0.010507880910683012
2020-10-21,2020-10-21,17,0.010507880910683012
2020-10-22,2020-10-22,16,0.0017513134851138354
2020-10-23,2020-10-23,15,0.0017513134851138354
2020-10-24,2020-10-24,20,0.0035026269702276708
2020-10-25,2020-10-25,21,0.01576182136602452
2020-10-26,2020-10-26,14,0.0017513134851138354
2020-10-27,2020-10-27,19,0.0070052539404553416
2020-10-28,2020-10-28,20,0.0070052539404553416
2020-10-29,2020-10-29,15,0.0035026269702276708
2020-10-30,2020-10-30,21,0.0070052539404553416
2020-10-31,2020-10-31,16,0.005253940455341506
2020-11-01,2020-11-01,16,0.005253940455341506
2020-11-02,2020-11-02,16,0.010507880910683012
2020-11-03,2020-11-03,21,0.014010507880910683
2020-11-04,2020-11-04,19,0.014010507880910683
2020-11-05,2020-11-05,16,0.005253940455341506
2020-11-06,2020-11-06,17,0.012259194395796848
2020-11-07,2020-11-07,15,0.0070052539404553416
2020-11-08,2020-11-08,18,0.014010507880910683
2020-11-09,2020-11-09,20,0.010507880910683012
2020-11-10,2020-11-10,17,0.010507880910683012
2020-11-11,2020-11-11,20,0.010507880910683012
2020-11-12,2020-11-12,14,0.0017513134851138354
2020-11-13,2020-11-13,16,0.010507880910683012
2020-11-14,2020-11-14,20,0.014010507880910683
2020-11-15,2020-11-15,16,0.005253940455341506
2020-11-16,2020-11-16,15,0.0070052539404553416
2020-11-17,2020-11-17,17,0.014010507880910683
2020-11-18,2020-11-18,19,0.014010507880910683
2020-11-19,2020-11-19,18,0.0017513134851138354
2020-11-20,2020-11-20,18,0.010507880910683012
2020-11-21,2020-11-21,18,0.010507880910683012
2020-11-22,2020-11-22,17,0.010507880910683012
2020-11-23,2020-11-23,21,0.0070052539404553416
2020-11-24,2020-11-24,20,0.012259194395796848
2020-11-25,2020-11-25,15,0.0035026269702276708
2020-11-26,2020-11-26,15,0.005253940455341506
2020-11-27,2020-11-27,17,0.0070052539404553416
2020-11-28,2020-11-28,15,0.0017513134851138354
2020-11-29,2020-11-29,16,0.005253940455341506
2020-11-30,2020-11-30,14,0.0017513134851138354
2020-12-01,2020-12-01,15,0.0017513134851138354
2020-12-02,2020-12-02,17,0.0035026269702276708
2020-12-03,2020-12-03,20,0.0070052539404553416
