data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-16,2020-02-17,27,0.012722132471728594,1.0
2020-02-22,2020-02-23,16,0.029079159935379646,1.0
2020-02-24,2020-02-25,11,0.03291599353796446,0.47246376811594204
2020-02-24,2020-02-25,18,0.036752827140549275,0.527536231884058
2020-02-26,2020-02-27,43,0.0016155088852988692,0.012738853503184714
2020-02-26,2020-02-27,9,0.0385702746365105,0.304140127388535
2020-02-26,2020-02-27,13,0.02665589660743134,0.21019108280254778
2020-02-26,2020-02-27,49,0.0006058158319870759,0.004777070063694267
2020-02-26,2020-02-27,15,0.025040387722132473,0.19745222929936307
2020-02-26,2020-02-27,17,0.034329563812600966,0.27070063694267515
2020-02-28,2020-02-29,34,0.0044426494345718905,1.0
2020-03-01,2020-03-02,8,0.04543618739903069,0.5022321428571429
2020-03-01,2020-03-02,10,0.03594507269789984,0.39732142857142855
2020-03-01,2020-03-02,29,0.009087237479806139,0.10044642857142858
2020-03-03,2020-03-04,45,0.0014135702746365104,0.021148036253776436
2020-03-03,2020-03-04,25,0.018780290791599354,0.2809667673716012
2020-03-03,2020-03-04,12,0.030088852988691437,0.4501510574018127
2020-03-03,2020-03-04,30,0.009491114701130857,0.1419939577039275
2020-03-03,2020-03-04,33,0.0070678513731825526,0.10574018126888217
2020-03-05,2020-03-06,4,0.06078352180936995,0.27793167128347185
2020-03-05,2020-03-06,6,0.05109046849757674,0.23361034164358263
2020-03-05,2020-03-06,5,0.05391760904684976,0.24653739612188366
2020-03-05,2020-03-06,7,0.05290791599353797,0.24192059095106186
2020-03-07,2020-03-08,1,0.015751211631663976,0.3880597014925373
2020-03-07,2020-03-08,24,0.018174474959612278,0.44776119402985076
2020-03-07,2020-03-08,31,0.006663974151857835,0.16417910447761194
2020-03-09,2020-03-10,32,0.004846526655896607,1.0
2020-03-11,2020-03-12,3,0.05674474959612278,0.3534591194968553
2020-03-11,2020-03-12,22,0.02948303715670436,0.18364779874213835
2020-03-11,2020-03-12,19,0.036147011308562196,0.22515723270440252
2020-03-11,2020-03-12,23,0.022819063004846526,0.1421383647798742
2020-03-11,2020-03-12,41,0.0010096930533117932,0.006289308176100629
2020-03-11,2020-03-12,28,0.011712439418416801,0.0729559748427673
2020-03-11,2020-03-12,37,0.0026252019386106625,0.016352201257861635
2020-03-13,2020-03-14,14,0.026453957996768983,0.22469982847341338
2020-03-13,2020-03-14,2,0.04159935379644588,0.35334476843910806
2020-03-13,2020-03-14,21,0.033319870759289175,0.2830188679245283
2020-03-13,2020-03-14,26,0.01615508885298869,0.137221269296741
2020-03-13,2020-03-14,133,0.00020193861066235866,0.0017152658662092624
2020-03-15,2020-03-16,20,0.031704361873990304,0.9235294117647059
2020-03-15,2020-03-16,38,0.0016155088852988692,0.047058823529411764
2020-03-15,2020-03-16,51,0.0010096930533117932,0.029411764705882353
2020-03-17,2020-03-18,62,0.0004038772213247173,0.047619047619047616
2020-03-17,2020-03-18,40,0.0010096930533117932,0.11904761904761904
2020-03-17,2020-03-18,46,0.0008077544426494346,0.09523809523809523
2020-03-17,2020-03-18,39,0.0010096930533117932,0.11904761904761904
2020-03-17,2020-03-18,48,0.0006058158319870759,0.07142857142857142
