data_inizio,data_fine,delay,frequenza_delay
2020-02-19,2020-02-20,15,0.002028397565922921
2020-02-21,2020-02-22,15,0.002028397565922921
2020-02-23,2020-02-24,17,0.002028397565922921
2020-02-23,2020-02-24,19,0.002028397565922921
2020-02-25,2020-02-26,8,0.002028397565922921
2020-02-26,2020-02-27,19,0.002028397565922921
2020-02-27,2020-02-28,10,0.002028397565922921
2020-02-27,2020-02-28,13,0.002028397565922921
2020-02-27,2020-02-28,12,0.002028397565922921
2020-02-27,2020-02-28,21,0.002028397565922921
2020-02-28,2020-02-29,16,0.002028397565922921
2020-02-29,2020-03-01,14,0.002028397565922921
2020-02-29,2020-03-01,33,0.002028397565922921
2020-03-01,2020-03-02,12,0.004056795131845842
2020-03-01,2020-03-02,37,0.002028397565922921
2020-03-02,2020-03-03,20,0.002028397565922921
2020-03-02,2020-03-03,30,0.002028397565922921
2020-03-03,2020-03-04,3,0.002028397565922921
2020-03-03,2020-03-04,7,0.002028397565922921
2020-03-03,2020-03-04,14,0.002028397565922921
2020-03-04,2020-03-05,17,0.002028397565922921
2020-03-04,2020-03-05,22,0.002028397565922921
2020-03-05,2020-03-06,2,0.002028397565922921
2020-03-05,2020-03-06,25,0.002028397565922921
2020-03-05,2020-03-06,23,0.002028397565922921
2020-03-05,2020-03-06,11,0.002028397565922921
2020-03-05,2020-03-06,26,0.002028397565922921
2020-03-06,2020-03-07,15,0.002028397565922921
2020-03-07,2020-03-08,4,0.004056795131845842
2020-03-07,2020-03-08,6,0.004056795131845842
2020-03-07,2020-03-08,31,0.002028397565922921
2020-03-08,2020-03-09,2,0.002028397565922921
2020-03-09,2020-03-10,3,0.002028397565922921
2020-03-09,2020-03-10,9,0.002028397565922921
2020-03-09,2020-03-10,27,0.002028397565922921
2020-03-10,2020-03-11,3,0.004056795131845842
2020-03-10,2020-03-11,5,0.004056795131845842
2020-03-11,2020-03-12,23,0.002028397565922921
2020-03-12,2020-03-13,10,0.002028397565922921
2020-03-12,2020-03-13,18,0.004056795131845842
2020-03-13,2020-03-14,4,0.004056795131845842
2020-03-14,2020-03-15,7,0.002028397565922921
2020-03-14,2020-03-15,55,0.002028397565922921
2020-03-14,2020-03-15,28,0.002028397565922921
2020-03-15,2020-03-16,3,0.002028397565922921
2020-03-15,2020-03-16,32,0.002028397565922921
2020-03-16,2020-03-17,19,0.002028397565922921
2020-03-16,2020-03-17,24,0.004056795131845842
2020-03-17,2020-03-18,15,0.002028397565922921
2020-03-18,2020-03-19,18,0.002028397565922921
2020-03-18,2020-03-19,39,0.002028397565922921
2020-03-19,2020-03-20,21,0.004056795131845842
2020-03-20,2020-03-21,20,0.004056795131845842
2020-03-21,2020-03-22,11,0.002028397565922921
2020-03-21,2020-03-22,41,0.002028397565922921
2020-03-22,2020-03-23,91,0.002028397565922921
2020-03-22,2020-03-23,1,0.002028397565922921
2020-03-22,2020-03-23,34,0.002028397565922921
2020-03-23,2020-03-24,5,0.004056795131845842
2020-03-23,2020-03-24,76,0.002028397565922921
2020-03-24,2020-03-25,3,0.006085192697768763
2020-03-24,2020-03-25,43,0.002028397565922921
2020-03-25,2020-03-26,1,0.002028397565922921
2020-03-26,2020-03-27,3,0.010141987829614604
2020-03-26,2020-03-27,29,0.004056795131845842
2020-03-27,2020-03-28,5,0.010141987829614604
2020-03-28,2020-03-29,19,0.002028397565922921
2020-03-28,2020-03-29,42,0.002028397565922921
2020-03-29,2020-03-30,3,0.006085192697768763
2020-03-29,2020-03-30,63,0.002028397565922921
2020-03-29,2020-03-30,50,0.002028397565922921
2020-03-30,2020-03-31,18,0.008113590263691683
2020-03-31,2020-04-01,11,0.008113590263691683
2020-04-01,2020-04-02,44,0.002028397565922921
2020-04-01,2020-04-02,68,0.002028397565922921
2020-04-02,2020-04-03,3,0.002028397565922921
2020-04-02,2020-04-03,36,0.002028397565922921
2020-04-02,2020-04-03,57,0.002028397565922921
2020-04-03,2020-04-04,2,0.012170385395537525
2020-04-03,2020-04-04,35,0.002028397565922921
2020-04-03,2020-04-04,38,0.002028397565922921
2020-04-03,2020-04-04,51,0.002028397565922921
2020-04-04,2020-04-05,21,0.002028397565922921
2020-04-04,2020-04-05,61,0.002028397565922921
2020-04-05,2020-04-06,11,0.010141987829614604
2020-04-05,2020-04-06,113,0.002028397565922921
2020-04-05,2020-04-06,101,0.002028397565922921
2020-04-06,2020-04-07,14,0.004056795131845842
2020-04-06,2020-04-07,122,0.002028397565922921
2020-04-06,2020-04-07,120,0.002028397565922921
2020-04-06,2020-04-07,206,0.002028397565922921
2020-04-07,2020-04-08,2,0.004056795131845842
2020-04-07,2020-04-08,40,0.002028397565922921
2020-04-07,2020-04-08,83,0.002028397565922921
2020-04-07,2020-04-08,163,0.002028397565922921
2020-04-08,2020-04-09,2,0.006085192697768763
2020-04-08,2020-04-09,46,0.002028397565922921
2020-04-09,2020-04-10,3,0.010141987829614604
2020-04-09,2020-04-10,70,0.002028397565922921
2020-04-09,2020-04-10,54,0.002028397565922921
