data_inizio,data_fine,delay,frequenza_delay
2020-02-19,2020-02-19,22,0.00273224043715847
2020-03-01,2020-03-01,22,0.00273224043715847
2020-03-01,2020-03-01,28,0.00273224043715847
2020-03-02,2020-03-02,31,0.00273224043715847
2020-03-03,2020-03-03,15,0.00273224043715847
2020-03-04,2020-03-04,24,0.00273224043715847
2020-03-04,2020-03-04,26,0.00273224043715847
2020-03-06,2020-03-06,7,0.00273224043715847
2020-03-06,2020-03-06,16,0.00273224043715847
2020-03-07,2020-03-07,57,0.00273224043715847
2020-03-08,2020-03-08,21,0.00273224043715847
2020-03-08,2020-03-08,40,0.00273224043715847
2020-03-10,2020-03-10,17,0.00273224043715847
2020-03-10,2020-03-10,35,0.00273224043715847
2020-03-10,2020-03-10,38,0.00273224043715847
2020-03-11,2020-03-11,18,0.00273224043715847
2020-03-11,2020-03-11,11,0.00273224043715847
2020-03-11,2020-03-11,30,0.00273224043715847
2020-03-11,2020-03-11,60,0.00273224043715847
2020-03-12,2020-03-12,18,0.00273224043715847
2020-03-13,2020-03-13,16,0.00273224043715847
2020-03-13,2020-03-13,25,0.00273224043715847
2020-03-14,2020-03-14,20,0.00546448087431694
2020-03-15,2020-03-15,20,0.00546448087431694
2020-03-15,2020-03-15,9,0.00273224043715847
2020-03-15,2020-03-15,23,0.00273224043715847
2020-03-15,2020-03-15,29,0.00273224043715847
2020-03-16,2020-03-16,21,0.00819672131147541
2020-03-17,2020-03-17,16,0.00273224043715847
2020-03-17,2020-03-17,32,0.00273224043715847
2020-03-18,2020-03-18,21,0.00273224043715847
2020-03-19,2020-03-19,19,0.00273224043715847
2020-03-19,2020-03-19,8,0.00273224043715847
2020-03-19,2020-03-19,27,0.00273224043715847
2020-03-20,2020-03-20,23,0.00273224043715847
2020-03-21,2020-03-21,17,0.00273224043715847
2020-03-22,2020-03-22,15,0.00273224043715847
2020-03-22,2020-03-22,12,0.00273224043715847
2020-03-23,2020-03-23,21,0.00273224043715847
2020-03-24,2020-03-24,16,0.00546448087431694
2020-03-24,2020-03-24,6,0.00273224043715847
