data_inizio,data_fine,delay,frequenza_delay
2020-02-17,2020-02-18,18,0.0019267822736030828
2020-02-21,2020-02-22,13,0.0019267822736030828
2020-02-23,2020-02-24,12,0.0019267822736030828
2020-02-23,2020-02-24,16,0.0019267822736030828
2020-02-24,2020-02-25,12,0.0019267822736030828
2020-02-25,2020-02-26,17,0.0019267822736030828
2020-02-26,2020-02-27,6,0.0019267822736030828
2020-02-26,2020-02-27,9,0.0019267822736030828
2020-02-26,2020-02-27,15,0.0019267822736030828
2020-02-27,2020-02-28,6,0.0019267822736030828
2020-02-28,2020-02-29,13,0.0019267822736030828
2020-02-28,2020-02-29,14,0.0019267822736030828
2020-02-29,2020-03-01,2,0.0019267822736030828
2020-02-29,2020-03-01,11,0.0019267822736030828
2020-03-01,2020-03-02,2,0.0019267822736030828
2020-03-01,2020-03-02,3,0.0019267822736030828
2020-03-01,2020-03-02,7,0.0019267822736030828
2020-03-03,2020-03-04,2,0.0038535645472061657
2020-03-04,2020-03-05,1,0.0019267822736030828
2020-03-04,2020-03-05,4,0.005780346820809248
2020-03-04,2020-03-05,5,0.0019267822736030828
2020-03-04,2020-03-05,8,0.0038535645472061657
2020-03-04,2020-03-05,10,0.0019267822736030828
2020-03-04,2020-03-05,19,0.0019267822736030828
2020-03-05,2020-03-06,1,0.0019267822736030828
2020-03-06,2020-03-07,3,0.0019267822736030828
2020-03-07,2020-03-08,0,0.0019267822736030828
2020-03-08,2020-03-09,1,0.0019267822736030828
2020-03-09,2020-03-10,1,0.0038535645472061657
2020-03-10,2020-03-11,1,0.0038535645472061657
2020-03-11,2020-03-12,0,0.0019267822736030828
2020-03-12,2020-03-13,1,0.0019267822736030828
2020-03-13,2020-03-14,1,0.007707129094412331
2020-03-14,2020-03-15,0,0.0019267822736030828
2020-03-15,2020-03-16,1,0.0038535645472061657
2020-03-16,2020-03-17,0,0.0019267822736030828
2020-03-17,2020-03-18,0,0.0019267822736030828
2020-03-18,2020-03-19,0,0.005780346820809248
2020-03-19,2020-03-20,0,0.0038535645472061657
2020-03-20,2020-03-21,1,0.005780346820809248
2020-03-21,2020-03-22,0,0.005780346820809248
2020-03-22,2020-03-23,0,0.005780346820809248
2020-03-23,2020-03-24,0,0.0038535645472061657
2020-03-24,2020-03-25,0,0.0019267822736030828
2020-03-25,2020-03-26,0,0.0019267822736030828
2020-03-26,2020-03-27,1,0.011560693641618497
2020-03-27,2020-03-28,0,0.007707129094412331
2020-03-28,2020-03-29,0,0.007707129094412331
2020-03-29,2020-03-30,0,0.0038535645472061657
2020-03-30,2020-03-31,1,0.0038535645472061657
2020-03-31,2020-04-01,1,0.005780346820809248
2020-04-01,2020-04-02,0,0.0019267822736030828
2020-04-02,2020-04-03,0,0.0019267822736030828
2020-04-03,2020-04-04,0,0.0019267822736030828
2020-04-04,2020-04-05,0,0.0038535645472061657
2020-04-05,2020-04-06,0,0.0038535645472061657
2020-04-06,2020-04-07,1,0.007707129094412331
2020-04-07,2020-04-08,0,0.0038535645472061657
2020-04-08,2020-04-09,0,0.0038535645472061657
2020-04-09,2020-04-10,1,0.0019267822736030828
2020-04-10,2020-04-11,0,0.005780346820809248
2020-04-11,2020-04-12,0,0.0019267822736030828
2020-04-12,2020-04-13,0,0.0019267822736030828
2020-04-13,2020-04-14,2,0.0038535645472061657
2020-04-14,2020-04-15,0,0.0019267822736030828
2020-04-15,2020-04-16,0,0.0019267822736030828
2020-04-16,2020-04-17,0,0.0019267822736030828
2020-04-17,2020-04-18,0,0.0019267822736030828
2020-04-18,2020-04-19,0,0.005780346820809248
2020-04-19,2020-04-20,0,0.0019267822736030828
2020-04-20,2020-04-21,0,0.0019267822736030828
2020-04-21,2020-04-22,1,0.0019267822736030828
2020-04-22,2020-04-23,1,0.0038535645472061657
2020-04-23,2020-04-24,6,0.0019267822736030828
2020-04-24,2020-04-25,0,0.0019267822736030828
2020-04-25,2020-04-26,0,0.0019267822736030828
2020-04-26,2020-04-27,2,0.0019267822736030828
2020-04-27,2020-04-28,1,0.0038535645472061657
2020-04-28,2020-04-29,0,0.0019267822736030828
2020-04-29,2020-04-30,1,0.0038535645472061657
2020-04-30,2020-05-01,2,0.0019267822736030828
2020-05-01,2020-05-02,0,0.0038535645472061657
2020-05-02,2020-05-03,0,0.0038535645472061657
2020-05-04,2020-05-05,4,0.0038535645472061657
2020-05-05,2020-05-06,0,0.0019267822736030828
2020-05-06,2020-05-07,2,0.0019267822736030828
2020-05-07,2020-05-08,0,0.0019267822736030828
2020-05-08,2020-05-09,1,0.0019267822736030828
2020-05-09,2020-05-10,1,0.0038535645472061657
2020-05-10,2020-05-11,2,0.0038535645472061657
2020-05-11,2020-05-12,1,0.0019267822736030828
2020-05-12,2020-05-13,2,0.0019267822736030828
2020-05-14,2020-05-15,1,0.0019267822736030828
2020-05-16,2020-05-17,3,0.0038535645472061657
2020-05-17,2020-05-18,9,0.0019267822736030828
2020-05-18,2020-05-19,1,0.0019267822736030828
2020-05-19,2020-05-20,10,0.0019267822736030828
2020-05-20,2020-05-21,1,0.0019267822736030828
2020-05-22,2020-05-23,2,0.0019267822736030828
2020-05-23,2020-05-24,3,0.0019267822736030828
2020-05-25,2020-05-26,0,0.0019267822736030828
2020-05-26,2020-05-27,0,0.0019267822736030828
2020-05-29,2020-05-30,1,0.0019267822736030828
2020-06-03,2020-06-04,2,0.0019267822736030828
2020-06-04,2020-06-05,8,0.0019267822736030828
2020-06-05,2020-06-06,6,0.0019267822736030828
2020-06-08,2020-06-09,2,0.0038535645472061657
2020-06-10,2020-06-11,1,0.0019267822736030828
2020-06-18,2020-06-19,1,0.0019267822736030828
2020-06-22,2020-06-23,1,0.0019267822736030828
2020-06-24,2020-06-25,9,0.0019267822736030828
2020-06-25,2020-06-26,4,0.0019267822736030828
2020-06-29,2020-06-30,2,0.0019267822736030828
2020-07-07,2020-07-08,7,0.0019267822736030828
2020-07-09,2020-07-10,0,0.0019267822736030828
2020-07-14,2020-07-15,9,0.0019267822736030828
2020-07-18,2020-07-19,13,0.0019267822736030828
2020-07-22,2020-07-23,7,0.0019267822736030828
2020-07-28,2020-07-29,10,0.0019267822736030828
2020-08-01,2020-08-02,6,0.0019267822736030828
2020-08-03,2020-08-04,1,0.0019267822736030828
2020-08-12,2020-08-13,3,0.0019267822736030828
2020-08-17,2020-08-18,3,0.0019267822736030828
2020-08-18,2020-08-19,9,0.0019267822736030828
2020-08-19,2020-08-20,6,0.0019267822736030828
2020-08-20,2020-08-21,6,0.0019267822736030828
2020-08-22,2020-08-23,17,0.0019267822736030828
2020-08-23,2020-08-24,2,0.0019267822736030828
2020-08-26,2020-08-27,6,0.0019267822736030828
2020-08-27,2020-08-28,4,0.0019267822736030828
2020-08-28,2020-08-29,4,0.0019267822736030828
2020-09-01,2020-09-02,8,0.0019267822736030828
2020-09-02,2020-09-03,2,0.0019267822736030828
2020-09-03,2020-09-04,0,0.0019267822736030828
2020-09-05,2020-09-06,17,0.0019267822736030828
2020-09-06,2020-09-07,6,0.0019267822736030828
2020-09-09,2020-09-10,1,0.0019267822736030828
2020-09-12,2020-09-13,2,0.0019267822736030828
2020-09-14,2020-09-15,1,0.0038535645472061657
2020-09-15,2020-09-16,2,0.0019267822736030828
2020-09-16,2020-09-17,7,0.0038535645472061657
2020-09-18,2020-09-19,4,0.0019267822736030828
2020-09-19,2020-09-20,2,0.0019267822736030828
2020-09-20,2020-09-21,10,0.0019267822736030828
2020-09-21,2020-09-22,1,0.0019267822736030828
2020-09-22,2020-09-23,1,0.0019267822736030828
2020-09-23,2020-09-24,3,0.0019267822736030828
2020-09-24,2020-09-25,0,0.0019267822736030828
2020-09-24,2020-09-25,20,0.0019267822736030828
2020-09-25,2020-09-26,1,0.0019267822736030828
2020-09-26,2020-09-27,5,0.0019267822736030828
2020-09-27,2020-09-28,1,0.0019267822736030828
2020-09-28,2020-09-29,0,0.0019267822736030828
2020-09-29,2020-09-30,6,0.0019267822736030828
2020-09-30,2020-10-01,0,0.0038535645472061657
2020-10-01,2020-10-02,1,0.0019267822736030828
2020-10-02,2020-10-03,6,0.0019267822736030828
2020-10-03,2020-10-04,2,0.0038535645472061657
2020-10-04,2020-10-05,1,0.0019267822736030828
2020-10-05,2020-10-06,1,0.0019267822736030828
2020-10-06,2020-10-07,0,0.0019267822736030828
2020-10-07,2020-10-08,1,0.007707129094412331
2020-10-08,2020-10-09,0,0.0019267822736030828
2020-10-09,2020-10-10,1,0.0038535645472061657
2020-10-10,2020-10-11,2,0.0038535645472061657
2020-10-11,2020-10-12,0,0.0019267822736030828
2020-10-12,2020-10-13,1,0.005780346820809248
2020-10-13,2020-10-14,0,0.0019267822736030828
