data_inizio,data_fine,delay,frequenza_delay
2020-02-19,2020-02-19,5,0.0026109660574412533
2020-03-01,2020-03-01,3,0.0026109660574412533
2020-03-01,2020-03-01,13,0.0026109660574412533
2020-03-02,2020-03-02,13,0.0026109660574412533
2020-03-03,2020-03-03,2,0.0026109660574412533
2020-03-04,2020-03-04,11,0.0026109660574412533
2020-03-04,2020-03-04,12,0.0026109660574412533
2020-03-06,2020-03-06,3,0.0026109660574412533
2020-03-07,2020-03-07,11,0.0026109660574412533
2020-03-07,2020-03-07,17,0.0026109660574412533
2020-03-08,2020-03-08,5,0.0026109660574412533
2020-03-08,2020-03-08,16,0.0026109660574412533
2020-03-10,2020-03-10,19,0.0026109660574412533
2020-03-10,2020-03-10,15,0.0026109660574412533
2020-03-10,2020-03-10,18,0.0026109660574412533
2020-03-11,2020-03-11,4,0.0026109660574412533
2020-03-12,2020-03-12,10,0.005221932114882507
2020-03-13,2020-03-13,3,0.005221932114882507
2020-03-14,2020-03-14,1,0.0026109660574412533
2020-03-15,2020-03-15,2,0.0026109660574412533
2020-03-15,2020-03-15,1,0.007832898172323759
2020-03-15,2020-03-15,6,0.005221932114882507
2020-03-15,2020-03-15,9,0.0026109660574412533
2020-03-16,2020-03-16,2,0.005221932114882507
2020-03-16,2020-03-16,7,0.0026109660574412533
2020-03-17,2020-03-17,6,0.0026109660574412533
2020-03-18,2020-03-18,4,0.0026109660574412533
2020-03-18,2020-03-18,8,0.0026109660574412533
2020-03-19,2020-03-19,3,0.0026109660574412533
2020-03-20,2020-03-20,6,0.0026109660574412533
2020-03-21,2020-03-21,4,0.0026109660574412533
2020-03-22,2020-03-22,2,0.005221932114882507
2020-03-23,2020-03-23,2,0.005221932114882507
2020-03-24,2020-03-24,4,0.010443864229765013
2020-03-25,2020-03-25,5,0.0026109660574412533
2020-03-26,2020-03-26,1,0.005221932114882507
2020-03-26,2020-03-26,14,0.0026109660574412533
2020-03-27,2020-03-27,2,0.0026109660574412533
2020-03-28,2020-03-28,1,0.0026109660574412533
2020-03-28,2020-03-28,20,0.0026109660574412533
2020-03-29,2020-03-29,1,0.0026109660574412533
2020-03-30,2020-03-30,2,0.005221932114882507
2020-03-31,2020-03-31,2,0.005221932114882507
2020-04-01,2020-04-01,2,0.0026109660574412533
2020-04-02,2020-04-02,1,0.005221932114882507
2020-04-03,2020-04-03,2,0.0026109660574412533
2020-04-04,2020-04-04,5,0.0026109660574412533
2020-04-05,2020-04-05,2,0.0026109660574412533
2020-04-06,2020-04-06,3,0.0026109660574412533
2020-04-07,2020-04-07,3,0.0026109660574412533
2020-04-08,2020-04-08,1,0.0026109660574412533
2020-04-09,2020-04-09,3,0.005221932114882507
2020-04-10,2020-04-10,2,0.0026109660574412533
2020-04-11,2020-04-11,3,0.0026109660574412533
2020-04-12,2020-04-12,2,0.0026109660574412533
2020-04-13,2020-04-13,2,0.005221932114882507
2020-04-14,2020-04-14,7,0.0026109660574412533
2020-04-15,2020-04-15,3,0.0026109660574412533
2020-04-16,2020-04-16,7,0.0026109660574412533
2020-04-17,2020-04-17,5,0.0026109660574412533
2020-04-18,2020-04-18,2,0.0026109660574412533
2020-04-19,2020-04-19,8,0.0026109660574412533
2020-04-20,2020-04-20,5,0.005221932114882507
2020-04-21,2020-04-21,3,0.0026109660574412533
2020-04-22,2020-04-22,1,0.0026109660574412533
2020-04-23,2020-04-23,2,0.0026109660574412533
2020-04-23,2020-04-23,22,0.0026109660574412533
2020-04-24,2020-04-24,1,0.0026109660574412533
2020-04-25,2020-04-25,3,0.0026109660574412533
2020-04-26,2020-04-26,3,0.0026109660574412533
2020-04-27,2020-04-27,2,0.0026109660574412533
2020-04-28,2020-04-28,3,0.005221932114882507
2020-04-29,2020-04-29,4,0.0026109660574412533
2020-04-30,2020-04-30,3,0.005221932114882507
2020-05-01,2020-05-01,2,0.0026109660574412533
2020-05-02,2020-05-02,6,0.0026109660574412533
2020-05-03,2020-05-03,4,0.0026109660574412533
2020-05-04,2020-05-04,5,0.0026109660574412533
2020-05-05,2020-05-05,3,0.0026109660574412533
2020-05-07,2020-05-07,4,0.0026109660574412533
2020-05-08,2020-05-08,2,0.0026109660574412533
2020-05-09,2020-05-09,15,0.0026109660574412533
2020-05-10,2020-05-10,3,0.0026109660574412533
2020-05-11,2020-05-11,3,0.0026109660574412533
2020-05-14,2020-05-14,5,0.0026109660574412533
2020-05-16,2020-05-16,7,0.0026109660574412533
2020-05-17,2020-05-17,9,0.0026109660574412533
2020-05-18,2020-05-18,3,0.0026109660574412533
2020-05-19,2020-05-19,1,0.0026109660574412533
2020-05-20,2020-05-20,5,0.0026109660574412533
2020-05-21,2020-05-21,6,0.0026109660574412533
2020-05-22,2020-05-22,20,0.0026109660574412533
2020-05-28,2020-05-28,7,0.0026109660574412533
2020-06-04,2020-06-04,6,0.0026109660574412533
2020-06-09,2020-06-09,1,0.0026109660574412533
2020-06-12,2020-06-12,5,0.0026109660574412533
2020-06-16,2020-06-16,9,0.0026109660574412533
2020-07-23,2020-07-23,2,0.0026109660574412533
2020-08-14,2020-08-14,4,0.0026109660574412533
2020-08-16,2020-08-16,13,0.0026109660574412533
2020-08-17,2020-08-17,17,0.0026109660574412533
2020-08-22,2020-08-22,10,0.0026109660574412533
2020-08-23,2020-08-23,7,0.0026109660574412533
2020-08-24,2020-08-24,10,0.0026109660574412533
2020-08-25,2020-08-25,6,0.0026109660574412533
2020-08-27,2020-08-27,9,0.0026109660574412533
2020-08-28,2020-08-28,7,0.0026109660574412533
2020-08-29,2020-08-29,16,0.0026109660574412533
2020-08-30,2020-08-30,7,0.0026109660574412533
2020-09-02,2020-09-02,3,0.0026109660574412533
2020-09-05,2020-09-05,2,0.0026109660574412533
2020-09-06,2020-09-06,1,0.0026109660574412533
2020-09-07,2020-09-07,2,0.0026109660574412533
2020-09-08,2020-09-08,4,0.0026109660574412533
2020-09-09,2020-09-09,7,0.0026109660574412533
2020-09-10,2020-09-10,5,0.005221932114882507
2020-09-11,2020-09-11,1,0.005221932114882507
2020-09-12,2020-09-12,13,0.0026109660574412533
2020-09-13,2020-09-13,2,0.0026109660574412533
2020-09-14,2020-09-14,6,0.005221932114882507
2020-09-15,2020-09-15,5,0.0026109660574412533
2020-09-17,2020-09-17,16,0.0026109660574412533
2020-09-18,2020-09-18,1,0.0026109660574412533
2020-09-19,2020-09-19,1,0.0026109660574412533
2020-09-20,2020-09-20,6,0.0026109660574412533
2020-09-21,2020-09-21,2,0.0026109660574412533
2020-09-22,2020-09-22,3,0.0026109660574412533
2020-09-23,2020-09-23,13,0.0026109660574412533
2020-09-25,2020-09-25,3,0.0026109660574412533
2020-09-26,2020-09-26,8,0.0026109660574412533
2020-09-28,2020-09-28,12,0.0026109660574412533
2020-09-29,2020-09-29,9,0.0026109660574412533
2020-09-30,2020-09-30,7,0.0026109660574412533
2020-10-01,2020-10-01,2,0.0026109660574412533
2020-10-02,2020-10-02,2,0.0026109660574412533
2020-10-03,2020-10-03,5,0.0026109660574412533
2020-10-04,2020-10-04,2,0.0026109660574412533
2020-10-05,2020-10-05,4,0.0026109660574412533
2020-10-06,2020-10-06,1,0.0026109660574412533
2020-10-07,2020-10-07,1,0.0026109660574412533
2020-10-08,2020-10-08,1,0.007832898172323759
2020-10-09,2020-10-09,1,0.005221932114882507
2020-10-10,2020-10-10,1,0.005221932114882507
2020-10-11,2020-10-11,1,0.0026109660574412533
2020-10-12,2020-10-12,1,0.010443864229765013
2020-10-13,2020-10-13,3,0.0026109660574412533
2020-10-14,2020-10-14,4,0.0026109660574412533
2020-10-15,2020-10-15,1,0.0026109660574412533
2020-10-15,2020-10-15,21,0.0026109660574412533
2020-10-16,2020-10-16,3,0.010443864229765013
2020-10-17,2020-10-17,2,0.0026109660574412533
2020-10-18,2020-10-18,2,0.005221932114882507
2020-10-19,2020-10-19,2,0.005221932114882507
2020-10-20,2020-10-20,1,0.010443864229765013
2020-10-21,2020-10-21,1,0.0026109660574412533
2020-10-22,2020-10-22,1,0.007832898172323759
2020-10-23,2020-10-23,3,0.007832898172323759
2020-10-24,2020-10-24,1,0.007832898172323759
2020-10-25,2020-10-25,4,0.015665796344647518
2020-10-26,2020-10-26,5,0.007832898172323759
2020-10-27,2020-10-27,1,0.005221932114882507
2020-10-28,2020-10-28,1,0.0026109660574412533
2020-10-29,2020-10-29,2,0.010443864229765013
2020-10-30,2020-10-30,2,0.0026109660574412533
2020-10-31,2020-10-31,2,0.013054830287206266
2020-11-01,2020-11-01,3,0.013054830287206266
2020-11-02,2020-11-02,1,0.015665796344647518
2020-11-03,2020-11-03,1,0.013054830287206266
2020-11-04,2020-11-04,1,0.010443864229765013
2020-11-05,2020-11-05,1,0.013054830287206266
2020-11-06,2020-11-06,2,0.015665796344647518
2020-11-07,2020-11-07,2,0.010443864229765013
2020-11-08,2020-11-08,1,0.013054830287206266
2020-11-09,2020-11-09,2,0.02349869451697128
2020-11-10,2020-11-10,2,0.02610966057441253
2020-11-11,2020-11-11,1,0.013054830287206266
2020-11-12,2020-11-12,2,0.018276762402088774
2020-11-13,2020-11-13,3,0.013054830287206266
2020-11-14,2020-11-14,2,0.018276762402088774
2020-11-15,2020-11-15,1,0.007832898172323759
2020-11-16,2020-11-16,3,0.007832898172323759
2020-11-17,2020-11-17,1,0.013054830287206266
2020-11-18,2020-11-18,2,0.018276762402088774
2020-11-19,2020-11-19,3,0.010443864229765013
2020-11-20,2020-11-20,2,0.010443864229765013
2020-11-21,2020-11-21,1,0.007832898172323759
2020-11-22,2020-11-22,3,0.010443864229765013
2020-11-23,2020-11-23,3,0.010443864229765013
2020-11-24,2020-11-24,2,0.0026109660574412533
2020-11-25,2020-11-25,1,0.007832898172323759
2020-11-26,2020-11-26,2,0.0026109660574412533
2020-11-27,2020-11-27,1,0.0026109660574412533
2020-11-28,2020-11-28,2,0.005221932114882507
2020-11-29,2020-11-29,3,0.005221932114882507
2020-11-30,2020-11-30,1,0.010443864229765013
2020-12-01,2020-12-01,1,0.010443864229765013
2020-12-02,2020-12-02,3,0.010443864229765013
2020-12-03,2020-12-03,1,0.007832898172323759
2020-12-04,2020-12-04,3,0.005221932114882507
2020-12-05,2020-12-05,1,0.005221932114882507
2020-12-06,2020-12-06,3,0.0026109660574412533
2020-12-07,2020-12-07,6,0.005221932114882507
2020-12-08,2020-12-08,2,0.005221932114882507
2020-12-09,2020-12-09,4,0.0026109660574412533
2020-12-10,2020-12-10,3,0.0026109660574412533
2020-12-11,2020-12-11,6,0.0026109660574412533
2020-12-12,2020-12-12,1,0.0026109660574412533
2020-12-13,2020-12-13,4,0.0026109660574412533
