data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-15,2020-02-29,9,0.04499100179964007,0.539568345323741
2020-02-15,2020-02-29,12,0.028194361127774445,0.3381294964028777
2020-02-15,2020-02-29,17,0.010197960407918417,0.1223021582733813
2020-03-01,2020-03-15,5,0.09538092381523695,0.10543766578249338
2020-03-01,2020-03-15,3,0.11037792441511697,0.1220159151193634
2020-03-01,2020-03-15,7,0.07138572285542892,0.07891246684350132
2020-03-01,2020-03-15,1,0.10077984403119376,0.11140583554376658
2020-03-01,2020-03-15,2,0.11817636472705459,0.1306366047745358
2020-03-01,2020-03-15,4,0.10677864427114576,0.11803713527851459
2020-03-01,2020-03-15,6,0.07678464307138572,0.08488063660477453
2020-03-01,2020-03-15,8,0.055188962207558485,0.0610079575596817
2020-03-01,2020-03-15,10,0.041991601679664065,0.046419098143236075
2020-03-01,2020-03-15,15,0.020395920815836834,0.022546419098143235
2020-03-01,2020-03-15,14,0.022795440911817635,0.025198938992042442
2020-03-01,2020-03-15,13,0.03119376124775045,0.034482758620689655
2020-03-01,2020-03-15,11,0.03479304139172166,0.038461538461538464
2020-03-01,2020-03-15,19,0.005398920215956809,0.005968169761273209
2020-03-01,2020-03-15,16,0.013197360527894421,0.014588859416445624
2020-03-16,2020-03-30,20,0.005398920215956809,1.0
2020-03-31,2020-04-14,18,0.00599880023995201,1.0
2020-09-27,2020-10-11,21,0.0005998800239952009,1.0
