data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,9,0.0443213296398892,0.0447427293064877
2020-01-01,2020-04-30,3,0.11080332409972299,0.11185682326621924
2020-01-01,2020-04-30,1,0.1706371191135734,0.17225950782997762
2020-01-01,2020-04-30,4,0.09529085872576178,0.09619686800894854
2020-01-01,2020-04-30,15,0.021606648199445983,0.02181208053691275
2020-01-01,2020-04-30,2,0.13240997229916898,0.13366890380313198
2020-01-01,2020-04-30,7,0.0592797783933518,0.059843400447427295
2020-01-01,2020-04-30,6,0.0703601108033241,0.07102908277404922
2020-01-01,2020-04-30,5,0.06814404432132964,0.06879194630872483
2020-01-01,2020-04-30,11,0.032686980609418284,0.032997762863534674
2020-01-01,2020-04-30,8,0.05263157894736842,0.053131991051454136
2020-01-01,2020-04-30,12,0.032686980609418284,0.032997762863534674
2020-01-01,2020-04-30,10,0.03822714681440443,0.03859060402684564
2020-01-01,2020-04-30,13,0.027146814404432132,0.027404921700223715
2020-01-01,2020-04-30,14,0.013850415512465374,0.013982102908277404
2020-01-01,2020-04-30,18,0.00775623268698061,0.007829977628635347
2020-01-01,2020-04-30,16,0.012742382271468145,0.012863534675615212
2020-05-01,2020-08-29,17,0.00554016620498615,1.0
2020-08-30,2020-12-28,19,0.0033240997229916896,0.8571428571428571
2020-08-30,2020-12-28,20,0.000554016620498615,0.14285714285714285
