data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-15,2020-02-15,13,0.03867403314917127,1.0
2020-02-20,2020-02-20,15,0.022099447513812154,1.0
2020-02-23,2020-02-23,19,0.0013812154696132596,1.0
2020-02-24,2020-02-24,14,0.020718232044198894,1.0
2020-02-28,2020-02-28,10,0.029005524861878452,1.0
2020-03-03,2020-03-03,6,0.062154696132596686,0.6081081081081081
2020-03-03,2020-03-03,8,0.04005524861878453,0.3918918918918919
2020-03-04,2020-03-04,1,0.18232044198895028,0.8979591836734694
2020-03-04,2020-03-04,16,0.016574585635359115,0.08163265306122448
2020-03-04,2020-03-04,17,0.004143646408839779,0.02040816326530612
2020-03-08,2020-03-08,4,0.09668508287292818,0.7608695652173914
2020-03-08,2020-03-08,12,0.03038674033149171,0.2391304347826087
2020-03-09,2020-03-09,5,0.06906077348066299,0.6944444444444444
2020-03-09,2020-03-09,11,0.03038674033149171,0.3055555555555556
2020-03-10,2020-03-10,3,0.10773480662983426,1.0
2020-03-14,2020-03-14,7,0.05386740331491713,1.0
2020-03-16,2020-03-16,9,0.052486187845303865,1.0
2020-03-17,2020-03-17,2,0.13535911602209943,1.0
2020-03-24,2020-03-24,18,0.0055248618784530384,1.0
2020-09-27,2020-09-27,20,0.0013812154696132596,1.0
