data_inizio,data_fine,delay,frequenza_delay
2020-02-19,2020-02-19,12,0.0008920606601248885
2020-02-21,2020-02-21,14,0.0008920606601248885
2020-02-22,2020-02-22,13,0.0008920606601248885
2020-02-23,2020-02-23,14,0.0008920606601248885
2020-02-23,2020-02-23,16,0.0008920606601248885
2020-02-25,2020-02-25,6,0.0008920606601248885
2020-02-26,2020-02-26,11,0.0008920606601248885
2020-02-26,2020-02-26,15,0.0008920606601248885
2020-02-26,2020-02-26,17,0.0008920606601248885
2020-02-27,2020-02-27,7,0.0008920606601248885
2020-02-27,2020-02-27,8,0.0008920606601248885
2020-02-27,2020-02-27,18,0.0008920606601248885
2020-02-27,2020-02-27,19,0.0008920606601248885
2020-02-28,2020-02-28,7,0.0008920606601248885
2020-02-29,2020-02-29,7,0.0008920606601248885
2020-03-01,2020-03-01,10,0.0008920606601248885
2020-03-02,2020-03-02,5,0.0008920606601248885
2020-03-03,2020-03-03,1,0.0008920606601248885
2020-03-03,2020-03-03,9,0.001784121320249777
2020-03-04,2020-03-04,8,0.0008920606601248885
2020-03-05,2020-03-05,5,0.0026761819803746653
2020-03-06,2020-03-06,4,0.0008920606601248885
2020-03-07,2020-03-07,1,0.0008920606601248885
2020-03-07,2020-03-07,3,0.0008920606601248885
2020-03-08,2020-03-08,1,0.0008920606601248885
2020-03-09,2020-03-09,1,0.001784121320249777
2020-03-09,2020-03-09,2,0.0008920606601248885
2020-03-10,2020-03-10,1,0.001784121320249777
2020-03-11,2020-03-11,2,0.0008920606601248885
2020-03-12,2020-03-12,1,0.001784121320249777
2020-03-13,2020-03-13,1,0.0053523639607493305
2020-03-14,2020-03-14,2,0.0008920606601248885
2020-03-15,2020-03-15,1,0.003568242640499554
2020-03-16,2020-03-16,1,0.0026761819803746653
2020-03-17,2020-03-17,1,0.003568242640499554
2020-03-18,2020-03-18,1,0.003568242640499554
2020-03-19,2020-03-19,1,0.0008920606601248885
2020-03-20,2020-03-20,1,0.001784121320249777
2020-03-21,2020-03-21,1,0.0044603033006244425
2020-03-22,2020-03-22,1,0.007136485280999108
2020-03-23,2020-03-23,2,0.006244424620874219
2020-03-24,2020-03-24,1,0.0044603033006244425
2020-03-25,2020-03-25,1,0.0053523639607493305
2020-03-26,2020-03-26,1,0.0044603033006244425
2020-03-27,2020-03-27,1,0.0053523639607493305
2020-03-28,2020-03-28,1,0.0053523639607493305
2020-03-29,2020-03-29,1,0.0053523639607493305
2020-03-30,2020-03-30,1,0.006244424620874219
2020-03-31,2020-03-31,1,0.007136485280999108
2020-04-01,2020-04-01,1,0.0026761819803746653
2020-04-02,2020-04-02,1,0.0044603033006244425
2020-04-03,2020-04-03,1,0.008028545941123996
2020-04-04,2020-04-04,1,0.008920606601248885
2020-04-05,2020-04-05,1,0.007136485280999108
2020-04-06,2020-04-06,1,0.008028545941123996
2020-04-07,2020-04-07,1,0.008920606601248885
2020-04-08,2020-04-08,1,0.009812667261373774
2020-04-09,2020-04-09,1,0.010704727921498661
2020-04-10,2020-04-10,1,0.013380909901873328
2020-04-11,2020-04-11,1,0.008920606601248885
2020-04-12,2020-04-12,1,0.0044603033006244425
2020-04-13,2020-04-13,1,0.003568242640499554
2020-04-14,2020-04-14,1,0.01159678858162355
2020-04-15,2020-04-15,1,0.01159678858162355
2020-04-16,2020-04-16,1,0.0053523639607493305
2020-04-17,2020-04-17,1,0.010704727921498661
2020-04-18,2020-04-18,1,0.0053523639607493305
2020-04-19,2020-04-19,1,0.006244424620874219
2020-04-20,2020-04-20,1,0.010704727921498661
2020-04-21,2020-04-21,1,0.006244424620874219
2020-04-22,2020-04-22,1,0.006244424620874219
2020-04-23,2020-04-23,1,0.007136485280999108
2020-04-24,2020-04-24,1,0.0026761819803746653
2020-04-25,2020-04-25,1,0.001784121320249777
2020-04-26,2020-04-26,1,0.0026761819803746653
2020-04-27,2020-04-27,1,0.007136485280999108
2020-04-28,2020-04-28,1,0.0026761819803746653
2020-04-29,2020-04-29,1,0.0026761819803746653
2020-04-30,2020-04-30,1,0.003568242640499554
2020-05-01,2020-05-01,1,0.0026761819803746653
2020-05-02,2020-05-02,1,0.0008920606601248885
2020-05-03,2020-05-03,1,0.0008920606601248885
2020-05-04,2020-05-04,1,0.0008920606601248885
