data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,2,0.23848238482384823,0.26112759643916916
2020-01-01,2020-04-30,3,0.1951219512195122,0.21364985163204747
2020-01-01,2020-04-30,1,0.2791327913279133,0.3056379821958457
2020-01-01,2020-04-30,9,0.013550135501355014,0.01483679525222552
2020-01-01,2020-04-30,0,0.06504065040650407,0.0712166172106825
2020-01-01,2020-04-30,4,0.0921409214092141,0.10089020771513353
2020-01-01,2020-04-30,28,0.0027100271002710027,0.002967359050445104
2020-01-01,2020-04-30,10,0.005420054200542005,0.005934718100890208
2020-01-01,2020-04-30,72,0.0027100271002710027,0.002967359050445104
2020-01-01,2020-04-30,7,0.018970189701897018,0.020771513353115726
2020-05-01,2020-08-29,142,0.0027100271002710027,1.0
2020-08-30,2020-12-28,14,0.0027100271002710027,0.03225806451612903
2020-08-30,2020-12-28,18,0.008130081300813009,0.0967741935483871
2020-08-30,2020-12-28,16,0.005420054200542005,0.06451612903225806
2020-08-30,2020-12-28,5,0.018970189701897018,0.22580645161290322
2020-08-30,2020-12-28,6,0.018970189701897018,0.22580645161290322
2020-08-30,2020-12-28,15,0.0027100271002710027,0.03225806451612903
2020-08-30,2020-12-28,12,0.0027100271002710027,0.03225806451612903
2020-08-30,2020-12-28,8,0.005420054200542005,0.06451612903225806
2020-08-30,2020-12-28,40,0.0027100271002710027,0.03225806451612903
2020-08-30,2020-12-28,11,0.005420054200542005,0.06451612903225806
2020-08-30,2020-12-28,17,0.0027100271002710027,0.03225806451612903
2020-08-30,2020-12-28,13,0.0027100271002710027,0.03225806451612903
2020-08-30,2020-12-28,21,0.0027100271002710027,0.03225806451612903
2020-08-30,2020-12-28,26,0.0027100271002710027,0.03225806451612903
