data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-14,2020-03-06,45,0.0022222222222222222,1.0
2020-03-07,2020-03-28,30,0.005555555555555556,0.007451564828614009
2020-03-07,2020-03-28,2,0.07444444444444444,0.09985096870342772
2020-03-07,2020-03-28,7,0.04777777777777778,0.06408345752608048
2020-03-07,2020-03-28,1,0.04888888888888889,0.06557377049180328
2020-03-07,2020-03-28,39,0.0011111111111111111,0.0014903129657228018
2020-03-07,2020-03-28,6,0.06222222222222222,0.08345752608047691
2020-03-07,2020-03-28,54,0.0033333333333333335,0.004470938897168405
2020-03-07,2020-03-28,3,0.09111111111111111,0.12220566318926974
2020-03-07,2020-03-28,8,0.04555555555555556,0.06110283159463487
2020-03-07,2020-03-28,10,0.03111111111111111,0.041728763040238454
2020-03-07,2020-03-28,16,0.022222222222222223,0.029806259314456036
2020-03-07,2020-03-28,9,0.04,0.05365126676602087
2020-03-07,2020-03-28,4,0.06444444444444444,0.08643815201192251
2020-03-07,2020-03-28,44,0.005555555555555556,0.007451564828614009
2020-03-07,2020-03-28,42,0.0044444444444444444,0.005961251862891207
2020-03-07,2020-03-28,37,0.0033333333333333335,0.004470938897168405
2020-03-07,2020-03-28,14,0.025555555555555557,0.03427719821162444
2020-03-07,2020-03-28,15,0.023333333333333334,0.03129657228017884
2020-03-07,2020-03-28,31,0.01,0.013412816691505217
2020-03-07,2020-03-28,21,0.014444444444444444,0.019374068554396422
2020-03-07,2020-03-28,5,0.07666666666666666,0.10283159463487332
2020-03-07,2020-03-28,24,0.0077777777777777776,0.010432190760059613
2020-03-07,2020-03-28,63,0.0011111111111111111,0.0014903129657228018
2020-03-07,2020-03-28,26,0.0044444444444444444,0.005961251862891207
2020-03-07,2020-03-28,17,0.01888888888888889,0.02533532041728763
2020-03-07,2020-03-28,19,0.011111111111111112,0.014903129657228018
2020-03-07,2020-03-28,65,0.0011111111111111111,0.0014903129657228018
2020-03-29,2020-04-19,11,0.03,0.24770642201834864
2020-03-29,2020-04-19,22,0.015555555555555555,0.12844036697247707
2020-03-29,2020-04-19,12,0.03222222222222222,0.26605504587155965
2020-03-29,2020-04-19,20,0.015555555555555555,0.12844036697247707
2020-03-29,2020-04-19,32,0.008888888888888889,0.07339449541284404
2020-03-29,2020-04-19,23,0.012222222222222223,0.10091743119266056
2020-03-29,2020-04-19,38,0.0033333333333333335,0.027522935779816515
2020-03-29,2020-04-19,43,0.0033333333333333335,0.027522935779816515
2020-04-20,2020-05-11,34,0.006666666666666667,0.2727272727272727
2020-04-20,2020-05-11,28,0.016666666666666666,0.6818181818181818
2020-04-20,2020-05-11,55,0.0011111111111111111,0.045454545454545456
2020-05-12,2020-06-02,81,0.0011111111111111111,1.0
2020-06-25,2020-07-16,101,0.0011111111111111111,1.0
2020-09-21,2020-10-12,13,0.02,0.4090909090909091
2020-09-21,2020-10-12,25,0.015555555555555555,0.3181818181818182
2020-09-21,2020-10-12,51,0.0011111111111111111,0.022727272727272728
2020-09-21,2020-10-12,40,0.0033333333333333335,0.06818181818181818
2020-09-21,2020-10-12,27,0.0077777777777777776,0.1590909090909091
2020-09-21,2020-10-12,82,0.0011111111111111111,0.022727272727272728
2020-10-13,2020-11-03,29,0.008888888888888889,0.23529411764705882
2020-10-13,2020-11-03,47,0.0022222222222222222,0.058823529411764705
2020-10-13,2020-11-03,36,0.0044444444444444444,0.11764705882352941
2020-10-13,2020-11-03,50,0.0011111111111111111,0.029411764705882353
2020-10-13,2020-11-03,18,0.015555555555555555,0.4117647058823529
2020-10-13,2020-11-03,48,0.0033333333333333335,0.08823529411764706
2020-10-13,2020-11-03,56,0.0011111111111111111,0.029411764705882353
2020-10-13,2020-11-03,57,0.0011111111111111111,0.029411764705882353
2020-11-04,2020-11-25,53,0.0033333333333333335,0.1875
2020-11-04,2020-11-25,49,0.0011111111111111111,0.0625
2020-11-04,2020-11-25,52,0.0022222222222222222,0.125
2020-11-04,2020-11-25,46,0.0011111111111111111,0.0625
2020-11-04,2020-11-25,35,0.0044444444444444444,0.25
2020-11-04,2020-11-25,33,0.0033333333333333335,0.1875
2020-11-04,2020-11-25,41,0.0022222222222222222,0.125
