data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-01,2020-03-15,15,0.02564102564102564,0.42857142857142855
2020-03-01,2020-03-15,9,0.03418803418803419,0.5714285714285714
2020-03-16,2020-03-30,11,0.027777777777777776,0.05327868852459016
2020-03-16,2020-03-30,4,0.09188034188034189,0.1762295081967213
2020-03-16,2020-03-30,6,0.0811965811965812,0.1557377049180328
2020-03-16,2020-03-30,3,0.12393162393162394,0.23770491803278687
2020-03-16,2020-03-30,2,0.10897435897435898,0.20901639344262296
2020-03-16,2020-03-30,48,0.00641025641025641,0.012295081967213115
2020-03-16,2020-03-30,28,0.002136752136752137,0.004098360655737705
2020-03-16,2020-03-30,24,0.00641025641025641,0.012295081967213115
2020-03-16,2020-03-30,1,0.07051282051282051,0.13524590163934427
2020-03-16,2020-03-30,59,0.002136752136752137,0.004098360655737705
2020-03-31,2020-04-14,16,0.01282051282051282,0.1
2020-03-31,2020-04-14,13,0.027777777777777776,0.21666666666666667
2020-03-31,2020-04-14,10,0.03632478632478633,0.2833333333333333
2020-03-31,2020-04-14,7,0.0405982905982906,0.31666666666666665
2020-03-31,2020-04-14,19,0.010683760683760684,0.08333333333333333
2020-04-15,2020-04-29,17,0.014957264957264958,0.11666666666666667
2020-04-15,2020-04-29,8,0.038461538461538464,0.3
2020-04-15,2020-04-29,5,0.07478632478632478,0.5833333333333334
2020-04-30,2020-05-14,14,0.01282051282051282,1.0
2020-08-28,2020-09-11,25,0.004273504273504274,0.5
2020-08-28,2020-09-11,33,0.004273504273504274,0.5
2020-10-12,2020-10-26,20,0.01282051282051282,0.24
2020-10-12,2020-10-26,31,0.004273504273504274,0.08
2020-10-12,2020-10-26,40,0.002136752136752137,0.04
2020-10-12,2020-10-26,56,0.002136752136752137,0.04
2020-10-12,2020-10-26,42,0.004273504273504274,0.08
2020-10-12,2020-10-26,18,0.010683760683760684,0.2
2020-10-12,2020-10-26,30,0.00641025641025641,0.12
2020-10-12,2020-10-26,23,0.010683760683760684,0.2
2020-10-27,2020-11-10,21,0.008547008547008548,0.13793103448275862
2020-10-27,2020-11-10,55,0.002136752136752137,0.034482758620689655
2020-10-27,2020-11-10,35,0.004273504273504274,0.06896551724137931
2020-10-27,2020-11-10,58,0.002136752136752137,0.034482758620689655
2020-10-27,2020-11-10,22,0.00641025641025641,0.10344827586206896
2020-10-27,2020-11-10,44,0.002136752136752137,0.034482758620689655
2020-10-27,2020-11-10,27,0.008547008547008548,0.13793103448275862
2020-10-27,2020-11-10,45,0.004273504273504274,0.06896551724137931
2020-10-27,2020-11-10,32,0.004273504273504274,0.06896551724137931
2020-10-27,2020-11-10,46,0.004273504273504274,0.06896551724137931
2020-10-27,2020-11-10,12,0.014957264957264958,0.2413793103448276
2020-11-11,2020-11-25,34,0.004273504273504274,0.2222222222222222
2020-11-11,2020-11-25,43,0.00641025641025641,0.3333333333333333
2020-11-11,2020-11-25,39,0.002136752136752137,0.1111111111111111
2020-11-11,2020-11-25,37,0.004273504273504274,0.2222222222222222
2020-11-11,2020-11-25,38,0.002136752136752137,0.1111111111111111
2020-11-26,2020-12-10,26,0.00641025641025641,1.0
