data_inizio,data_fine,delay,frequenza_delay
2020-02-27,2020-02-27,18,0.002232142857142857
2020-02-28,2020-02-28,8,0.002232142857142857
2020-02-28,2020-02-28,13,0.002232142857142857
2020-02-28,2020-02-28,4,0.002232142857142857
2020-03-03,2020-03-03,5,0.002232142857142857
2020-03-04,2020-03-04,3,0.002232142857142857
2020-03-05,2020-03-05,20,0.002232142857142857
2020-03-05,2020-03-05,10,0.002232142857142857
2020-03-06,2020-03-06,9,0.002232142857142857
2020-03-06,2020-03-06,23,0.002232142857142857
2020-03-06,2020-03-06,24,0.002232142857142857
2020-03-07,2020-03-07,5,0.002232142857142857
2020-03-07,2020-03-07,17,0.002232142857142857
2020-03-07,2020-03-07,14,0.002232142857142857
2020-03-08,2020-03-08,23,0.002232142857142857
2020-03-08,2020-03-08,11,0.004464285714285714
2020-03-08,2020-03-08,52,0.002232142857142857
2020-03-09,2020-03-09,5,0.004464285714285714
2020-03-09,2020-03-09,16,0.002232142857142857
2020-03-10,2020-03-10,12,0.002232142857142857
2020-03-11,2020-03-11,21,0.002232142857142857
2020-03-11,2020-03-11,65,0.002232142857142857
2020-03-11,2020-03-11,32,0.002232142857142857
2020-03-11,2020-03-11,25,0.002232142857142857
2020-03-11,2020-03-11,46,0.002232142857142857
2020-03-11,2020-03-11,15,0.002232142857142857
2020-03-12,2020-03-12,22,0.002232142857142857
2020-03-12,2020-03-12,1,0.002232142857142857
2020-03-12,2020-03-12,7,0.002232142857142857
2020-03-12,2020-03-12,39,0.002232142857142857
2020-03-13,2020-03-13,6,0.006696428571428571
2020-03-13,2020-03-13,2,0.004464285714285714
2020-03-13,2020-03-13,31,0.002232142857142857
2020-03-14,2020-03-14,2,0.004464285714285714
2020-03-14,2020-03-14,34,0.002232142857142857
2020-03-15,2020-03-15,6,0.006696428571428571
2020-03-16,2020-03-16,39,0.002232142857142857
2020-03-17,2020-03-17,5,0.002232142857142857
2020-03-17,2020-03-17,26,0.002232142857142857
2020-03-17,2020-03-17,29,0.002232142857142857
2020-03-17,2020-03-17,38,0.002232142857142857
2020-03-18,2020-03-18,6,0.004464285714285714
2020-03-18,2020-03-18,19,0.002232142857142857
2020-03-18,2020-03-18,58,0.002232142857142857
2020-03-18,2020-03-18,64,0.002232142857142857
2020-03-19,2020-03-19,94,0.002232142857142857
2020-03-19,2020-03-19,89,0.002232142857142857
2020-03-20,2020-03-20,10,0.002232142857142857
2020-03-20,2020-03-20,84,0.002232142857142857
2020-03-20,2020-03-20,28,0.002232142857142857
2020-03-21,2020-03-21,2,0.004464285714285714
2020-03-21,2020-03-21,43,0.002232142857142857
2020-03-22,2020-03-22,28,0.002232142857142857
2020-03-23,2020-03-23,6,0.002232142857142857
2020-03-23,2020-03-23,27,0.002232142857142857
2020-03-23,2020-03-23,67,0.002232142857142857
2020-03-23,2020-03-23,53,0.002232142857142857
2020-03-24,2020-03-24,11,0.004464285714285714
2020-03-24,2020-03-24,49,0.002232142857142857
2020-03-25,2020-03-25,12,0.002232142857142857
2020-03-25,2020-03-25,41,0.002232142857142857
2020-03-25,2020-03-25,42,0.002232142857142857
2020-03-26,2020-03-26,10,0.002232142857142857
2020-03-27,2020-03-27,38,0.002232142857142857
2020-03-27,2020-03-27,33,0.002232142857142857
2020-03-27,2020-03-27,51,0.002232142857142857
2020-03-28,2020-03-28,28,0.002232142857142857
2020-03-28,2020-03-28,36,0.002232142857142857
2020-03-29,2020-03-29,17,0.004464285714285714
2020-03-29,2020-03-29,45,0.002232142857142857
2020-03-30,2020-03-30,3,0.002232142857142857
2020-03-30,2020-03-30,37,0.002232142857142857
