data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-05,2020-03-06,10,0.032520325203252036,1.0
2020-03-11,2020-03-12,5,0.051490514905149054,1.0
2020-03-15,2020-03-16,31,0.02168021680216802,0.2222222222222222
2020-03-15,2020-03-16,27,0.024390243902439025,0.25
2020-03-15,2020-03-16,6,0.051490514905149054,0.5277777777777778
2020-03-17,2020-03-18,50,0.0027100271002710027,1.0
2020-03-19,2020-03-20,3,0.06775067750677506,0.5555555555555556
2020-03-19,2020-03-20,2,0.05420054200542006,0.4444444444444444
2020-03-21,2020-03-22,1,0.04336043360433604,0.7619047619047619
2020-03-21,2020-03-22,51,0.005420054200542005,0.09523809523809523
2020-03-21,2020-03-22,23,0.008130081300813009,0.14285714285714285
2020-03-23,2020-03-24,43,0.005420054200542005,0.05
2020-03-23,2020-03-24,12,0.024390243902439025,0.225
2020-03-23,2020-03-24,11,0.02710027100271003,0.25
2020-03-23,2020-03-24,28,0.024390243902439025,0.225
2020-03-23,2020-03-24,15,0.02710027100271003,0.25
2020-03-25,2020-03-26,17,0.02168021680216802,1.0
2020-03-27,2020-03-28,18,0.02168021680216802,0.26666666666666666
2020-03-27,2020-03-28,25,0.013550135501355014,0.16666666666666666
2020-03-27,2020-03-28,7,0.04607046070460705,0.5666666666666667
2020-03-29,2020-03-30,36,0.005420054200542005,1.0
2020-04-04,2020-04-05,8,0.037940379403794036,1.0
2020-04-06,2020-04-07,83,0.0027100271002710027,1.0
2020-04-08,2020-04-09,19,0.024390243902439025,1.0
2020-04-12,2020-04-13,14,0.013550135501355014,1.0
2020-04-14,2020-04-15,45,0.005420054200542005,1.0
2020-04-16,2020-04-17,13,0.032520325203252036,1.0
2020-04-18,2020-04-19,32,0.013550135501355014,1.0
2020-04-24,2020-04-25,38,0.01084010840108401,1.0
2020-05-04,2020-05-05,30,0.016260162601626018,1.0
2020-05-08,2020-05-09,44,0.013550135501355014,1.0
2020-05-14,2020-05-15,152,0.0027100271002710027,1.0
2020-05-20,2020-05-21,16,0.02981029810298103,1.0
2020-09-15,2020-09-16,22,0.02168021680216802,1.0
2020-10-05,2020-10-06,33,0.01084010840108401,1.0
2020-10-15,2020-10-16,29,0.01084010840108401,1.0
2020-10-17,2020-10-18,63,0.0027100271002710027,1.0
2020-10-21,2020-10-22,26,0.013550135501355014,1.0
2020-10-23,2020-10-24,4,0.051490514905149054,1.0
2020-10-27,2020-10-28,20,0.005420054200542005,0.3333333333333333
2020-10-27,2020-10-28,21,0.01084010840108401,0.6666666666666666
2020-10-29,2020-10-30,58,0.0027100271002710027,0.1111111111111111
2020-10-29,2020-10-30,9,0.02168021680216802,0.8888888888888888
2020-10-31,2020-11-01,35,0.008130081300813009,0.6
2020-10-31,2020-11-01,54,0.0027100271002710027,0.2
2020-10-31,2020-11-01,56,0.0027100271002710027,0.2
2020-11-02,2020-11-03,37,0.018970189701897018,0.875
2020-11-02,2020-11-03,46,0.0027100271002710027,0.125
2020-11-04,2020-11-05,53,0.0027100271002710027,0.3333333333333333
2020-11-04,2020-11-05,40,0.0027100271002710027,0.3333333333333333
2020-11-04,2020-11-05,42,0.0027100271002710027,0.3333333333333333
2020-11-06,2020-11-07,34,0.005420054200542005,1.0
2020-11-10,2020-11-11,41,0.008130081300813009,1.0
2020-11-12,2020-11-13,39,0.0027100271002710027,1.0
2020-11-14,2020-11-15,24,0.005420054200542005,1.0
