data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-08-28,8,0.04743083003952569,0.047441545238902066
2020-01-01,2020-08-28,11,0.0510446075663467,0.051056139161866035
2020-01-01,2020-08-28,4,0.020101637492941842,0.020106178696487068
2020-01-01,2020-08-28,48,0.005420666290231507,0.005421890884445951
2020-01-01,2020-08-28,38,0.008582721626199887,0.008584660567039422
2020-01-01,2020-08-28,24,0.0132128740824393,0.013215859030837005
2020-01-01,2020-08-28,66,0.0014680971202710334,0.0014684287812041115
2020-01-01,2020-08-28,27,0.013325804630152456,0.01332881509092963
2020-01-01,2020-08-28,9,0.04652738565782044,0.04653789675816108
2020-01-01,2020-08-28,33,0.010502540937323546,0.010504913588614028
2020-01-01,2020-08-28,13,0.03828345567476002,0.03829210437139952
2020-01-01,2020-08-28,12,0.045736871823828344,0.045747204337512705
2020-01-01,2020-08-28,14,0.03173348390739695,0.031740652886027336
2020-01-01,2020-08-28,10,0.04935064935064935,0.04936179826047667
2020-01-01,2020-08-28,6,0.034105025409373234,0.03411273014797244
2020-01-01,2020-08-28,5,0.031507622811970636,0.03151474076584209
2020-01-01,2020-08-28,41,0.006888763410502541,0.006890319665650062
2020-01-01,2020-08-28,18,0.026538678712591756,0.026544674121766632
2020-01-01,2020-08-28,25,0.014003387916431395,0.014006551451485372
2020-01-01,2020-08-28,165,0.00011293054771315641,0.00011295606009262397
2020-01-01,2020-08-28,29,0.014793901750423489,0.01479724387213374
2020-01-01,2020-08-28,7,0.04031620553359684,0.04032531345306676
2020-01-01,2020-08-28,37,0.009599096555618294,0.009601265107873038
2020-01-01,2020-08-28,3,0.014342179559570864,0.014345419631763244
2020-01-01,2020-08-28,20,0.023150762281197064,0.023155992318987913
2020-01-01,2020-08-28,21,0.018633540372670808,0.018637749915282956
2020-01-01,2020-08-28,26,0.016826651609260303,0.01683045295380097
2020-01-01,2020-08-28,28,0.012422360248447204,0.012425166610188637
2020-01-01,2020-08-28,57,0.003049124788255223,0.003049813622500847
2020-01-01,2020-08-28,132,0.00022586109542631282,0.00022591212018524794
2020-01-01,2020-08-28,36,0.009937888198757764,0.00994013328815091
2020-01-01,2020-08-28,44,0.006662902315076228,0.006664407545464815
2020-01-01,2020-08-28,42,0.006662902315076228,0.006664407545464815
2020-01-01,2020-08-28,47,0.004856013551665725,0.00485711058398283
2020-01-01,2020-08-28,39,0.008243929983060418,0.00824579238676155
2020-01-01,2020-08-28,15,0.028458498023715414,0.02846492714334124
2020-01-01,2020-08-28,43,0.007792207792207792,0.007793968146391054
2020-01-01,2020-08-28,30,0.0132128740824393,0.013215859030837005
2020-01-01,2020-08-28,32,0.009147374364765669,0.009149440867502542
2020-01-01,2020-08-28,97,0.0003387916431394692,0.00033886818027787193
2020-01-01,2020-08-28,292,0.00011293054771315641,0.00011295606009262397
2020-01-01,2020-08-28,17,0.02518351214003388,0.025189201400655146
2020-01-01,2020-08-28,23,0.01637492941840768,0.016378628713430477
2020-01-01,2020-08-28,16,0.027893845285149634,0.027900146842878122
2020-01-01,2020-08-28,65,0.0020327498588368154,0.0020332090816672314
2020-01-01,2020-08-28,85,0.0003387916431394692,0.00033886818027787193
2020-01-01,2020-08-28,112,0.00045172219085262564,0.0004518242403704959
2020-01-01,2020-08-28,22,0.018068887634105024,0.018072969614819835
2020-01-01,2020-08-28,2,0.0032749858836815357,0.003275725742686095
2020-01-01,2020-08-28,70,0.0018068887634105025,0.0018072969614819836
2020-01-01,2020-08-28,31,0.0132128740824393,0.013215859030837005
2020-01-01,2020-08-28,35,0.011970638057594579,0.011973342369818141
2020-01-01,2020-08-28,46,0.0053077357425183515,0.0053089348243533264
2020-01-01,2020-08-28,168,0.00022586109542631282,0.00022591212018524794
2020-01-01,2020-08-28,49,0.0065499717673630714,0.00655145148537219
2020-01-01,2020-08-28,55,0.0044042913608131,0.004405286343612335
2020-01-01,2020-08-28,74,0.00045172219085262564,0.0004518242403704959
2020-01-01,2020-08-28,34,0.011180124223602485,0.011182649949169773
2020-01-01,2020-08-28,50,0.00722755505364201,0.007229187845927934
2020-01-01,2020-08-28,117,0.0003387916431394692,0.00033886818027787193
2020-01-01,2020-08-28,19,0.02236024844720497,0.022365299898339547
2020-01-01,2020-08-28,90,0.00045172219085262564,0.0004518242403704959
2020-01-01,2020-08-28,56,0.0032749858836815357,0.003275725742686095
2020-01-01,2020-08-28,64,0.0014680971202710334,0.0014684287812041115
2020-01-01,2020-08-28,182,0.00022586109542631282,0.00022591212018524794
