data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-03,2020-03-04,24,0.01015228426395939,1.0
2020-03-05,2020-03-06,9,0.03299492385786802,0.5379310344827586
2020-03-05,2020-03-06,12,0.028341793570219966,0.46206896551724136
2020-03-07,2020-03-08,11,0.03764805414551607,0.413953488372093
2020-03-07,2020-03-08,19,0.048646362098138746,0.5348837209302325
2020-03-07,2020-03-08,41,0.004653130287648054,0.05116279069767442
2020-03-09,2020-03-10,165,0.00042301184433164127,0.010869565217391304
2020-03-09,2020-03-10,37,0.00972927241962775,0.25
2020-03-09,2020-03-10,3,0.021573604060913704,0.5543478260869565
2020-03-09,2020-03-10,28,0.0071912013536379014,0.18478260869565216
2020-03-11,2020-03-12,132,0.00042301184433164127,0.0024096385542168677
2020-03-11,2020-03-12,36,0.008037225042301184,0.04578313253012048
2020-03-11,2020-03-12,23,0.01353637901861252,0.07710843373493977
2020-03-11,2020-03-12,17,0.05626057529610829,0.3204819277108434
2020-03-11,2020-03-12,15,0.06387478849407784,0.363855421686747
2020-03-11,2020-03-12,6,0.03341793570219966,0.19036144578313252
2020-03-13,2020-03-14,7,0.032148900169204735,0.09844559585492228
2020-03-13,2020-03-14,20,0.0461082910321489,0.1411917098445596
2020-03-13,2020-03-14,39,0.00676818950930626,0.02072538860103627
2020-03-13,2020-03-14,18,0.05287648054145516,0.16191709844559585
2020-03-13,2020-03-14,16,0.06175972927241963,0.18911917098445596
2020-03-13,2020-03-14,25,0.01015228426395939,0.031088082901554404
2020-03-13,2020-03-14,292,0.00042301184433164127,0.0012953367875647669
2020-03-13,2020-03-14,14,0.047377326565143825,0.14507772020725387
2020-03-13,2020-03-14,8,0.03426395939086294,0.10492227979274611
2020-03-13,2020-03-14,21,0.03468697123519458,0.10621761658031088
2020-03-15,2020-03-16,85,0.0008460236886632825,0.03225806451612903
2020-03-15,2020-03-16,22,0.010575296108291032,0.4032258064516129
2020-03-15,2020-03-16,47,0.0021150592216582064,0.08064516129032258
2020-03-15,2020-03-16,1,0.012690355329949238,0.4838709677419355
2020-03-17,2020-03-18,88,0.0008460236886632825,0.3333333333333333
2020-03-17,2020-03-18,65,0.0012690355329949238,0.5
2020-03-17,2020-03-18,150,0.00042301184433164127,0.16666666666666666
2020-03-19,2020-03-20,33,0.008037225042301184,0.5588235294117647
2020-03-19,2020-03-20,90,0.0008460236886632825,0.058823529411764705
2020-03-19,2020-03-20,43,0.005076142131979695,0.35294117647058826
2020-03-19,2020-03-20,64,0.00042301184433164127,0.029411764705882353
2020-03-21,2020-03-22,26,0.011421319796954314,0.2
2020-03-21,2020-03-22,45,0.007614213197969543,0.13333333333333333
2020-03-21,2020-03-22,5,0.020727580372250424,0.362962962962963
2020-03-21,2020-03-22,2,0.010575296108291032,0.18518518518518517
2020-03-21,2020-03-22,30,0.00676818950930626,0.11851851851851852
2020-03-23,2020-03-24,38,0.008037225042301184,0.13194444444444445
2020-03-23,2020-03-24,4,0.01649746192893401,0.2708333333333333
2020-03-23,2020-03-24,80,0.0012690355329949238,0.020833333333333332
2020-03-23,2020-03-24,99,0.0012690355329949238,0.020833333333333332
2020-03-23,2020-03-24,57,0.0008460236886632825,0.013888888888888888
2020-03-23,2020-03-24,31,0.010998307952622674,0.18055555555555555
2020-03-23,2020-03-24,13,0.021996615905245348,0.3611111111111111
2020-03-25,2020-03-26,29,0.007614213197969543,0.9473684210526315
2020-03-25,2020-03-26,135,0.00042301184433164127,0.05263157894736842
2020-03-27,2020-03-28,10,0.032148900169204735,1.0
2020-03-31,2020-04-01,60,0.0008460236886632825,0.06666666666666667
2020-03-31,2020-04-01,42,0.0012690355329949238,0.1
2020-03-31,2020-04-01,44,0.002961082910321489,0.23333333333333334
2020-03-31,2020-04-01,51,0.002961082910321489,0.23333333333333334
2020-03-31,2020-04-01,63,0.0012690355329949238,0.1
2020-03-31,2020-04-01,32,0.00338409475465313,0.26666666666666666
2020-04-04,2020-04-05,98,0.00042301184433164127,0.023255813953488372
2020-04-04,2020-04-05,46,0.00338409475465313,0.18604651162790697
2020-04-04,2020-04-05,55,0.004653130287648054,0.2558139534883721
2020-04-04,2020-04-05,77,0.00042301184433164127,0.023255813953488372
2020-04-04,2020-04-05,34,0.009306260575296108,0.5116279069767442
2020-04-06,2020-04-07,54,0.0025380710659898475,0.2
2020-04-06,2020-04-07,151,0.00042301184433164127,0.03333333333333333
2020-04-06,2020-04-07,27,0.00972927241962775,0.7666666666666667
2020-04-08,2020-04-09,69,0.0021150592216582064,0.45454545454545453
2020-04-08,2020-04-09,179,0.00042301184433164127,0.09090909090909091
2020-04-08,2020-04-09,71,0.0012690355329949238,0.2727272727272727
2020-04-08,2020-04-09,100,0.00042301184433164127,0.09090909090909091
2020-04-08,2020-04-09,118,0.00042301184433164127,0.09090909090909091
2020-04-10,2020-04-11,197,0.00042301184433164127,0.05555555555555555
2020-04-10,2020-04-11,35,0.006345177664974619,0.8333333333333334
2020-04-10,2020-04-11,107,0.00042301184433164127,0.05555555555555555
2020-04-10,2020-04-11,79,0.00042301184433164127,0.05555555555555555
2020-04-12,2020-04-13,259,0.00042301184433164127,0.09090909090909091
2020-04-12,2020-04-13,101,0.00042301184433164127,0.09090909090909091
2020-04-12,2020-04-13,52,0.00338409475465313,0.7272727272727273
2020-04-12,2020-04-13,115,0.00042301184433164127,0.09090909090909091
2020-04-14,2020-04-15,50,0.0021150592216582064,1.0
2020-04-16,2020-04-17,70,0.0021150592216582064,0.35714285714285715
2020-04-16,2020-04-17,106,0.00042301184433164127,0.07142857142857142
2020-04-16,2020-04-17,59,0.002961082910321489,0.5
2020-04-16,2020-04-17,87,0.00042301184433164127,0.07142857142857142
2020-04-18,2020-04-19,78,0.0008460236886632825,0.4
2020-04-18,2020-04-19,86,0.00042301184433164127,0.2
2020-04-18,2020-04-19,253,0.00042301184433164127,0.2
2020-04-18,2020-04-19,121,0.00042301184433164127,0.2
2020-04-20,2020-04-21,255,0.00042301184433164127,0.5
2020-04-20,2020-04-21,93,0.00042301184433164127,0.5
2020-04-22,2020-04-23,53,0.001692047377326565,0.5
2020-04-22,2020-04-23,72,0.00042301184433164127,0.125
2020-04-22,2020-04-23,97,0.00042301184433164127,0.125
2020-04-22,2020-04-23,164,0.00042301184433164127,0.125
2020-04-22,2020-04-23,252,0.00042301184433164127,0.125
2020-04-24,2020-04-25,49,0.00338409475465313,1.0
2020-04-28,2020-04-29,128,0.0008460236886632825,0.1111111111111111
2020-04-28,2020-04-29,40,0.004230118443316413,0.5555555555555556
2020-04-28,2020-04-29,84,0.0012690355329949238,0.16666666666666666
2020-04-28,2020-04-29,67,0.0012690355329949238,0.16666666666666666
2020-05-02,2020-05-03,48,0.0025380710659898475,1.0
2020-05-22,2020-05-23,160,0.00042301184433164127,1.0
2020-05-28,2020-05-29,110,0.00042301184433164127,1.0
2020-09-25,2020-09-26,96,0.00042301184433164127,1.0
2020-10-13,2020-10-14,75,0.00042301184433164127,1.0
2020-10-19,2020-10-20,73,0.00042301184433164127,1.0
2020-10-21,2020-10-22,56,0.001692047377326565,1.0
2020-10-25,2020-10-26,66,0.00042301184433164127,1.0
2020-10-29,2020-10-30,61,0.0008460236886632825,1.0
2020-10-31,2020-11-01,58,0.001692047377326565,1.0
