data_inizio,data_fine,delay,frequenza_delay
2020-02-24,2020-02-25,15,0.00010183299389002037
2020-02-27,2020-02-28,19,0.00010183299389002037
2020-02-27,2020-02-28,18,0.00010183299389002037
2020-02-27,2020-02-28,17,0.00010183299389002037
2020-02-29,2020-03-01,15,0.00010183299389002037
2020-02-29,2020-03-01,20,0.00010183299389002037
2020-03-01,2020-03-02,14,0.00010183299389002037
2020-03-02,2020-03-03,14,0.00010183299389002037
2020-03-03,2020-03-04,16,0.00010183299389002037
2020-03-04,2020-03-05,20,0.00010183299389002037
2020-03-05,2020-03-06,21,0.00020366598778004074
2020-03-06,2020-03-07,18,0.00020366598778004074
2020-03-07,2020-03-08,20,0.0005091649694501018
2020-03-08,2020-03-09,19,0.0006109979633401223
2020-03-09,2020-03-10,17,0.0003054989816700611
2020-03-10,2020-03-11,20,0.0007128309572301426
2020-03-11,2020-03-12,16,0.0009164969450101833
2020-03-12,2020-03-13,18,0.0010183299389002036
2020-03-13,2020-03-14,15,0.0017311608961303462
2020-03-14,2020-03-15,20,0.001629327902240326
2020-03-15,2020-03-16,20,0.0010183299389002036
2020-03-16,2020-03-17,19,0.002138492871690428
2020-03-17,2020-03-18,17,0.0017311608961303462
2020-03-18,2020-03-19,19,0.0025458248472505093
2020-03-19,2020-03-20,20,0.0017311608961303462
2020-03-20,2020-03-21,16,0.0015274949083503055
2020-03-21,2020-03-22,15,0.0026476578411405295
2020-03-22,2020-03-23,15,0.003564154786150713
2020-03-23,2020-03-24,19,0.002036659877800407
2020-03-24,2020-03-25,16,0.001934826883910387
2020-03-25,2020-03-26,18,0.003360488798370672
2020-03-26,2020-03-27,15,0.0015274949083503055
2020-03-27,2020-03-28,16,0.0036659877800407333
2020-03-28,2020-03-29,20,0.002240325865580448
2020-03-29,2020-03-30,15,0.0034623217922606924
2020-03-30,2020-03-31,14,0.0009164969450101833
2020-03-31,2020-04-01,18,0.0037678207739307535
2020-04-01,2020-04-02,21,0.0014256619144602852
2020-04-02,2020-04-03,16,0.0027494908350305497
2020-04-03,2020-04-04,16,0.001629327902240326
2020-04-04,2020-04-05,15,0.002443991853360489
2020-04-05,2020-04-06,18,0.0027494908350305497
2020-04-06,2020-04-07,17,0.0018329938900203666
2020-04-07,2020-04-08,20,0.001934826883910387
2020-04-08,2020-04-09,15,0.002036659877800407
2020-04-09,2020-04-10,18,0.0023421588594704683
2020-04-10,2020-04-11,15,0.0023421588594704683
2020-04-11,2020-04-12,17,0.002138492871690428
2020-04-12,2020-04-13,16,0.0015274949083503055
2020-04-13,2020-04-14,14,0.0006109979633401223
2020-04-14,2020-04-15,16,0.0010183299389002036
2020-04-15,2020-04-16,16,0.0029531568228105907
2020-04-16,2020-04-17,17,0.0023421588594704683
2020-04-17,2020-04-18,18,0.002240325865580448
2020-04-18,2020-04-19,20,0.0027494908350305497
2020-04-19,2020-04-20,19,0.0009164969450101833
2020-04-20,2020-04-21,20,0.001934826883910387
2020-04-21,2020-04-22,18,0.002138492871690428
2020-04-22,2020-04-23,19,0.002240325865580448
2020-04-23,2020-04-24,18,0.0026476578411405295
2020-04-24,2020-04-25,20,0.0023421588594704683
2020-04-25,2020-04-26,19,0.0014256619144602852
2020-04-26,2020-04-27,19,0.001120162932790224
2020-04-27,2020-04-28,18,0.0010183299389002036
2020-04-28,2020-04-29,18,0.002138492871690428
2020-04-29,2020-04-30,16,0.0015274949083503055
2020-04-30,2020-05-01,16,0.0023421588594704683
2020-05-01,2020-05-02,19,0.0009164969450101833
2020-05-02,2020-05-03,17,0.0007128309572301426
2020-05-03,2020-05-04,20,0.0007128309572301426
2020-05-04,2020-05-05,19,0.0009164969450101833
2020-05-05,2020-05-06,18,0.000814663951120163
2020-05-06,2020-05-07,15,0.001120162932790224
2020-05-07,2020-05-08,17,0.0012219959266802445
2020-05-08,2020-05-09,20,0.0006109979633401223
2020-05-09,2020-05-10,17,0.0007128309572301426
2020-05-10,2020-05-11,20,0.0004073319755600815
2020-05-11,2020-05-12,19,0.0004073319755600815
2020-05-12,2020-05-13,19,0.0004073319755600815
2020-05-13,2020-05-14,19,0.001120162932790224
2020-05-14,2020-05-15,19,0.0007128309572301426
2020-05-15,2020-05-16,16,0.0004073319755600815
2020-05-16,2020-05-17,16,0.0005091649694501018
2020-05-17,2020-05-18,20,0.00020366598778004074
2020-05-18,2020-05-19,20,0.00020366598778004074
2020-05-19,2020-05-20,18,0.0004073319755600815
2020-05-20,2020-05-21,16,0.0010183299389002036
2020-05-21,2020-05-22,20,0.0007128309572301426
2020-05-22,2020-05-23,17,0.00020366598778004074
2020-05-23,2020-05-24,19,0.000814663951120163
2020-05-24,2020-05-25,18,0.0003054989816700611
2020-05-25,2020-05-26,20,0.00010183299389002037
2020-05-26,2020-05-27,17,0.00020366598778004074
2020-05-27,2020-05-28,19,0.0005091649694501018
2020-05-28,2020-05-29,15,0.00020366598778004074
2020-05-29,2020-05-30,14,0.0003054989816700611
2020-05-30,2020-05-31,16,0.0005091649694501018
2020-05-31,2020-06-01,17,0.00010183299389002037
2020-06-01,2020-06-02,15,0.00010183299389002037
2020-06-02,2020-06-03,18,0.00010183299389002037
2020-06-03,2020-06-04,14,0.00020366598778004074
2020-06-04,2020-06-05,17,0.00010183299389002037
2020-06-05,2020-06-06,18,0.00010183299389002037
2020-06-06,2020-06-07,19,0.00010183299389002037
2020-06-07,2020-06-08,19,0.00020366598778004074
2020-06-08,2020-06-09,16,0.00010183299389002037
2020-06-09,2020-06-10,16,0.00020366598778004074
2020-06-10,2020-06-11,17,0.0004073319755600815
2020-06-11,2020-06-12,14,0.00020366598778004074
2020-06-12,2020-06-13,20,0.00020366598778004074
2020-06-13,2020-06-14,18,0.0003054989816700611
2020-06-14,2020-06-15,21,0.00010183299389002037
2020-06-15,2020-06-16,18,0.0003054989816700611
2020-06-16,2020-06-17,16,0.0003054989816700611
2020-06-17,2020-06-18,14,0.00010183299389002037
2020-06-18,2020-06-19,15,0.0003054989816700611
2020-06-19,2020-06-20,19,0.0003054989816700611
2020-06-20,2020-06-21,20,0.00010183299389002037
2020-06-21,2020-06-22,16,0.00010183299389002037
2020-06-22,2020-06-23,17,0.00010183299389002037
2020-06-23,2020-06-24,16,0.0006109979633401223
2020-06-24,2020-06-25,20,0.00010183299389002037
2020-06-25,2020-06-26,15,0.00020366598778004074
2020-06-26,2020-06-27,18,0.00020366598778004074
2020-06-27,2020-06-28,20,0.00010183299389002037
2020-06-28,2020-06-29,16,0.00010183299389002037
2020-06-29,2020-06-30,17,0.00010183299389002037
2020-06-30,2020-07-01,15,0.00010183299389002037
2020-07-01,2020-07-02,18,0.00010183299389002037
2020-07-02,2020-07-03,15,0.00010183299389002037
2020-07-03,2020-07-04,14,0.00010183299389002037
2020-07-04,2020-07-05,21,0.00010183299389002037
2020-07-05,2020-07-06,14,0.00010183299389002037
2020-07-06,2020-07-07,19,0.00010183299389002037
2020-07-07,2020-07-08,15,0.00010183299389002037
2020-07-08,2020-07-09,21,0.00020366598778004074
2020-07-09,2020-07-10,15,0.00020366598778004074
2020-07-10,2020-07-11,19,0.00010183299389002037
2020-07-11,2020-07-12,14,0.00010183299389002037
2020-07-12,2020-07-13,15,0.00020366598778004074
2020-07-13,2020-07-14,15,0.00010183299389002037
2020-07-16,2020-07-17,21,0.00010183299389002037
2020-07-17,2020-07-18,16,0.00010183299389002037
2020-07-19,2020-07-20,17,0.00010183299389002037
2020-07-20,2020-07-21,17,0.00010183299389002037
2020-07-21,2020-07-22,20,0.00010183299389002037
2020-07-22,2020-07-23,17,0.00010183299389002037
2020-07-23,2020-07-24,19,0.00010183299389002037
2020-07-24,2020-07-25,16,0.00010183299389002037
2020-07-25,2020-07-26,20,0.00020366598778004074
2020-07-26,2020-07-27,15,0.00010183299389002037
2020-07-27,2020-07-28,20,0.00010183299389002037
2020-07-28,2020-07-29,15,0.00010183299389002037
2020-07-29,2020-07-30,16,0.00020366598778004074
2020-07-30,2020-07-31,19,0.00010183299389002037
2020-07-31,2020-08-01,15,0.0003054989816700611
2020-08-01,2020-08-02,21,0.00010183299389002037
2020-08-02,2020-08-03,18,0.00010183299389002037
2020-08-03,2020-08-04,19,0.00020366598778004074
2020-08-04,2020-08-05,21,0.00020366598778004074
2020-08-05,2020-08-06,14,0.00020366598778004074
2020-08-06,2020-08-07,18,0.00020366598778004074
2020-08-07,2020-08-08,20,0.00020366598778004074
2020-08-08,2020-08-09,17,0.00020366598778004074
2020-08-09,2020-08-10,19,0.00010183299389002037
2020-08-10,2020-08-11,18,0.00010183299389002037
2020-08-11,2020-08-12,16,0.00020366598778004074
2020-08-12,2020-08-13,16,0.00020366598778004074
2020-08-13,2020-08-14,18,0.00010183299389002037
2020-08-14,2020-08-15,19,0.0003054989816700611
2020-08-15,2020-08-16,15,0.00010183299389002037
2020-08-16,2020-08-17,17,0.00020366598778004074
2020-08-17,2020-08-18,17,0.00020366598778004074
2020-08-18,2020-08-19,20,0.00010183299389002037
2020-08-19,2020-08-20,16,0.00010183299389002037
2020-08-20,2020-08-21,20,0.00010183299389002037
2020-08-21,2020-08-22,17,0.0004073319755600815
2020-08-22,2020-08-23,19,0.0004073319755600815
2020-08-23,2020-08-24,19,0.00020366598778004074
2020-08-24,2020-08-25,17,0.00020366598778004074
2020-08-25,2020-08-26,14,0.00020366598778004074
2020-08-26,2020-08-27,17,0.00010183299389002037
2020-08-27,2020-08-28,20,0.00020366598778004074
2020-08-28,2020-08-29,16,0.0004073319755600815
2020-08-29,2020-08-30,19,0.0004073319755600815
2020-08-30,2020-08-31,16,0.0003054989816700611
2020-08-31,2020-09-01,16,0.0003054989816700611
2020-09-01,2020-09-02,19,0.0003054989816700611
2020-09-02,2020-09-03,14,0.00010183299389002037
2020-09-03,2020-09-04,19,0.0004073319755600815
2020-09-04,2020-09-05,17,0.00010183299389002037
2020-09-05,2020-09-06,20,0.0005091649694501018
2020-09-06,2020-09-07,17,0.00010183299389002037
2020-09-07,2020-09-08,18,0.0003054989816700611
2020-09-08,2020-09-09,15,0.0005091649694501018
