data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,17,0.1271043771043771,0.12783970650486806
2020-01-01,2020-04-30,16,0.12065095398428732,0.12134894877945535
2020-01-01,2020-04-30,14,0.06930415263748597,0.06970509383378017
2020-01-01,2020-04-30,2,0.027356902356902357,0.027515168618597433
2020-01-01,2020-04-30,18,0.12668350168350168,0.1274163962184281
2020-01-01,2020-04-30,19,0.11840628507295174,0.11909129391844221
2020-01-01,2020-04-30,20,0.11882716049382716,0.11951460420488218
2020-01-01,2020-04-30,21,0.060886644219977554,0.06123888810498095
2020-01-01,2020-04-30,15,0.1362233445566779,0.1370114293777339
2020-01-01,2020-04-30,6,0.0025252525252525255,0.0025398617186397627
2020-01-01,2020-04-30,1,0.03212682379349046,0.03231268519825032
2020-01-01,2020-04-30,3,0.02048260381593715,0.020601100606744745
2020-01-01,2020-04-30,9,0.0009820426487093155,0.0009877240016932412
2020-01-01,2020-04-30,5,0.004769921436588103,0.0047975165796528855
2020-01-01,2020-04-30,4,0.009399551066217733,0.009453929730492451
2020-01-01,2020-04-30,43,0.0002805836139169473,0.00028220685762664035
2020-01-01,2020-04-30,12,0.0030864197530864196,0.0031042754338930435
2020-01-01,2020-04-30,28,0.00042087542087542086,0.0004233102864399605
2020-01-01,2020-04-30,10,0.006593714927048261,0.006631861154226048
2020-01-01,2020-04-30,8,0.0014029180695847362,0.0014110342881332016
2020-01-01,2020-04-30,72,0.00014029180695847364,0.00014110342881332017
2020-01-01,2020-04-30,7,0.0012626262626262627,0.0012699308593198814
2020-01-01,2020-04-30,13,0.005331088664421998,0.005361930294906166
2020-05-01,2020-08-29,142,0.00014029180695847364,1.0
2020-08-30,2020-12-28,33,0.00014029180695847364,0.025
2020-08-30,2020-12-28,11,0.004068462401795735,0.725
2020-08-30,2020-12-28,30,0.00014029180695847364,0.025
2020-08-30,2020-12-28,23,0.0002805836139169473,0.05
2020-08-30,2020-12-28,26,0.00042087542087542086,0.075
2020-08-30,2020-12-28,35,0.00014029180695847364,0.025
2020-08-30,2020-12-28,22,0.00014029180695847364,0.025
2020-08-30,2020-12-28,40,0.00014029180695847364,0.025
2020-08-30,2020-12-28,37,0.00014029180695847364,0.025
