data_inizio,data_fine,delay,frequenza_delay
2020-02-27,2020-02-28,17,0.00010529640939243972
2020-02-27,2020-02-28,16,0.00010529640939243972
2020-02-27,2020-02-28,18,0.00010529640939243972
2020-02-28,2020-02-29,15,0.00010529640939243972
2020-02-28,2020-02-29,20,0.00010529640939243972
2020-02-28,2020-02-29,19,0.00010529640939243972
2020-02-29,2020-03-01,18,0.00010529640939243972
2020-03-01,2020-03-02,16,0.00010529640939243972
2020-03-02,2020-03-03,17,0.00010529640939243972
2020-03-03,2020-03-04,18,0.00010529640939243972
2020-03-04,2020-03-05,18,0.00010529640939243972
2020-03-05,2020-03-06,20,0.00010529640939243972
2020-03-06,2020-03-07,17,0.00010529640939243972
2020-03-06,2020-03-07,14,0.00021059281878487945
2020-03-07,2020-03-08,21,0.00021059281878487945
2020-03-08,2020-03-09,16,0.00031588922817731913
2020-03-09,2020-03-10,20,0.0004211856375697589
2020-03-10,2020-03-11,21,0.00031588922817731913
2020-03-11,2020-03-12,14,0.0004211856375697589
2020-03-12,2020-03-13,19,0.0005264820469621986
2020-03-13,2020-03-14,20,0.0005264820469621986
2020-03-14,2020-03-15,19,0.0006317784563546383
2020-03-15,2020-03-16,15,0.0004211856375697589
2020-03-16,2020-03-17,21,0.00021059281878487945
2020-03-17,2020-03-18,14,0.0005264820469621986
2020-03-18,2020-03-19,15,0.001052964093924397
2020-03-19,2020-03-20,19,0.0005264820469621986
2020-03-20,2020-03-21,15,0.001158260503316837
2020-03-21,2020-03-22,18,0.0006317784563546383
2020-03-22,2020-03-23,15,0.0008423712751395178
2020-03-23,2020-03-24,17,0.0005264820469621986
2020-03-24,2020-03-25,15,0.001158260503316837
2020-03-25,2020-03-26,20,0.000737074865747078
2020-03-26,2020-03-27,19,0.001052964093924397
2020-03-27,2020-03-28,16,0.0015794461408865958
2020-03-28,2020-03-29,19,0.0009476676845319575
2020-03-29,2020-03-30,18,0.001158260503316837
2020-03-30,2020-03-31,18,0.001052964093924397
2020-03-31,2020-04-01,15,0.0009476676845319575
2020-04-01,2020-04-02,18,0.000737074865747078
2020-04-02,2020-04-03,15,0.0012635569127092765
2020-04-03,2020-04-04,17,0.0012635569127092765
2020-04-04,2020-04-05,19,0.001474149731494156
2020-04-05,2020-04-06,14,0.0012635569127092765
2020-04-06,2020-04-07,16,0.0009476676845319575
2020-04-07,2020-04-08,21,0.0008423712751395178
2020-04-08,2020-04-09,18,0.0017900389596714752
2020-04-09,2020-04-10,15,0.0012635569127092765
2020-04-10,2020-04-11,18,0.0022112245972412342
2020-04-11,2020-04-12,17,0.0016847425502790356
2020-04-12,2020-04-13,15,0.000737074865747078
2020-04-13,2020-04-14,17,0.0009476676845319575
2020-04-14,2020-04-15,16,0.0004211856375697589
2020-04-15,2020-04-16,20,0.0017900389596714752
2020-04-16,2020-04-17,19,0.0012635569127092765
2020-04-17,2020-04-18,21,0.0004211856375697589
2020-04-18,2020-04-19,17,0.0012635569127092765
2020-04-19,2020-04-20,18,0.00031588922817731913
2020-04-20,2020-04-21,18,0.001052964093924397
2020-04-21,2020-04-22,17,0.001895335369063915
2020-04-22,2020-04-23,19,0.0009476676845319575
