data_inizio,data_fine,delay,frequenza_delay
2020-03-05,2020-03-06,13,0.027777777777777776
2020-03-16,2020-03-17,11,0.027777777777777776
2020-03-20,2020-03-21,15,0.027777777777777776
2020-04-03,2020-04-04,16,0.027777777777777776
2020-04-21,2020-04-22,20,0.027777777777777776
2020-08-27,2020-08-28,17,0.027777777777777776
2020-09-28,2020-09-29,10,0.027777777777777776
2020-10-01,2020-10-02,12,0.027777777777777776
2020-10-02,2020-10-03,16,0.027777777777777776
2020-10-04,2020-10-05,17,0.027777777777777776
2020-10-09,2020-10-10,9,0.027777777777777776
2020-10-09,2020-10-10,18,0.027777777777777776
2020-10-10,2020-10-11,14,0.027777777777777776
2020-10-15,2020-10-16,11,0.027777777777777776
2020-10-18,2020-10-19,9,0.05555555555555555
2020-10-20,2020-10-21,21,0.027777777777777776
2020-10-21,2020-10-22,16,0.027777777777777776
2020-10-22,2020-10-23,4,0.027777777777777776
2020-10-24,2020-10-25,5,0.027777777777777776
2020-10-28,2020-10-29,14,0.027777777777777776
2020-10-30,2020-10-31,5,0.027777777777777776
2020-10-31,2020-11-01,6,0.027777777777777776
2020-11-02,2020-11-03,4,0.027777777777777776
2020-11-04,2020-11-05,15,0.027777777777777776
2020-11-07,2020-11-08,1,0.027777777777777776
2020-11-08,2020-11-09,10,0.027777777777777776
2020-11-13,2020-11-14,8,0.027777777777777776
2020-11-14,2020-11-15,21,0.027777777777777776
2020-11-15,2020-11-16,19,0.027777777777777776
2020-11-17,2020-11-18,13,0.027777777777777776
2020-11-17,2020-11-18,19,0.027777777777777776
2020-11-22,2020-11-23,9,0.027777777777777776
2020-11-25,2020-11-26,8,0.027777777777777776
2020-11-26,2020-11-27,2,0.027777777777777776
2020-12-03,2020-12-04,8,0.027777777777777776
