data_inizio,data_fine,delay,frequenza_delay
2020-02-14,2020-02-15,13,0.004464285714285714
2020-02-20,2020-02-21,19,0.004464285714285714
2020-02-22,2020-02-23,17,0.004464285714285714
2020-02-22,2020-02-23,18,0.004464285714285714
2020-02-24,2020-02-25,9,0.004464285714285714
2020-02-25,2020-02-26,2,0.004464285714285714
2020-02-27,2020-02-28,18,0.004464285714285714
2020-02-28,2020-02-29,14,0.004464285714285714
2020-02-29,2020-03-01,17,0.004464285714285714
2020-02-29,2020-03-01,20,0.004464285714285714
2020-03-01,2020-03-02,17,0.004464285714285714
2020-03-01,2020-03-02,23,0.004464285714285714
2020-03-02,2020-03-03,14,0.004464285714285714
2020-03-03,2020-03-04,8,0.004464285714285714
2020-03-03,2020-03-04,16,0.004464285714285714
2020-03-04,2020-03-05,3,0.004464285714285714
2020-03-04,2020-03-05,24,0.004464285714285714
2020-03-05,2020-03-06,1,0.004464285714285714
2020-03-05,2020-03-06,22,0.004464285714285714
2020-03-05,2020-03-06,26,0.004464285714285714
2020-03-06,2020-03-07,9,0.004464285714285714
2020-03-07,2020-03-08,10,0.004464285714285714
2020-03-08,2020-03-09,8,0.004464285714285714
2020-03-08,2020-03-09,12,0.004464285714285714
2020-03-08,2020-03-09,41,0.004464285714285714
2020-03-09,2020-03-10,10,0.004464285714285714
2020-03-10,2020-03-11,3,0.004464285714285714
2020-03-10,2020-03-11,4,0.004464285714285714
2020-03-10,2020-03-11,15,0.008928571428571428
2020-03-10,2020-03-11,21,0.004464285714285714
2020-03-11,2020-03-12,3,0.004464285714285714
2020-03-11,2020-03-12,11,0.004464285714285714
2020-03-11,2020-03-12,7,0.004464285714285714
2020-03-12,2020-03-13,5,0.004464285714285714
2020-03-12,2020-03-13,6,0.004464285714285714
2020-03-12,2020-03-13,45,0.004464285714285714
2020-03-13,2020-03-14,5,0.004464285714285714
2020-03-14,2020-03-15,6,0.004464285714285714
2020-03-15,2020-03-16,10,0.004464285714285714
2020-03-15,2020-03-16,25,0.004464285714285714
2020-03-16,2020-03-17,1,0.004464285714285714
2020-03-17,2020-03-18,9,0.004464285714285714
2020-03-17,2020-03-18,28,0.004464285714285714
2020-03-18,2020-03-19,5,0.004464285714285714
2020-03-19,2020-03-20,4,0.004464285714285714
2020-03-20,2020-03-21,4,0.004464285714285714
2020-03-21,2020-03-22,7,0.004464285714285714
2020-03-22,2020-03-23,5,0.008928571428571428
2020-03-23,2020-03-24,2,0.004464285714285714
2020-03-24,2020-03-25,6,0.004464285714285714
2020-03-25,2020-03-26,14,0.008928571428571428
2020-03-26,2020-03-27,1,0.004464285714285714
2020-03-27,2020-03-28,5,0.004464285714285714
2020-03-28,2020-03-29,3,0.004464285714285714
2020-03-29,2020-03-30,7,0.004464285714285714
2020-03-30,2020-03-31,6,0.004464285714285714
2020-03-31,2020-04-01,12,0.004464285714285714
2020-04-01,2020-04-02,2,0.004464285714285714
2020-04-02,2020-04-03,9,0.004464285714285714
2020-04-03,2020-04-04,8,0.004464285714285714
2020-04-04,2020-04-05,12,0.004464285714285714
2020-04-05,2020-04-06,3,0.004464285714285714
2020-04-06,2020-04-07,2,0.004464285714285714
2020-04-07,2020-04-08,15,0.008928571428571428
2020-04-08,2020-04-09,6,0.008928571428571428
2020-04-09,2020-04-10,12,0.004464285714285714
2020-04-10,2020-04-11,2,0.008928571428571428
2020-04-11,2020-04-12,5,0.004464285714285714
2020-04-12,2020-04-13,10,0.004464285714285714
2020-04-12,2020-04-13,34,0.004464285714285714
2020-04-13,2020-04-14,4,0.004464285714285714
2020-04-13,2020-04-14,30,0.004464285714285714
2020-04-14,2020-04-15,1,0.004464285714285714
2020-04-15,2020-04-16,4,0.004464285714285714
2020-04-16,2020-04-17,12,0.004464285714285714
2020-04-17,2020-04-18,9,0.004464285714285714
2020-04-18,2020-04-19,6,0.004464285714285714
2020-04-19,2020-04-20,4,0.004464285714285714
2020-04-20,2020-04-21,7,0.004464285714285714
2020-04-21,2020-04-22,4,0.004464285714285714
2020-04-22,2020-04-23,8,0.004464285714285714
2020-04-23,2020-04-24,6,0.004464285714285714
2020-04-24,2020-04-25,12,0.004464285714285714
2020-04-25,2020-04-26,2,0.004464285714285714
2020-04-26,2020-04-27,14,0.004464285714285714
2020-04-27,2020-04-28,7,0.004464285714285714
2020-04-29,2020-04-30,7,0.004464285714285714
2020-05-02,2020-05-03,4,0.004464285714285714
2020-05-03,2020-05-04,4,0.004464285714285714
2020-05-04,2020-05-05,22,0.004464285714285714
2020-05-05,2020-05-06,5,0.004464285714285714
2020-05-12,2020-05-13,14,0.004464285714285714
2020-05-13,2020-05-14,9,0.004464285714285714
2020-05-14,2020-05-15,12,0.004464285714285714
2020-05-16,2020-05-17,14,0.004464285714285714
2020-06-04,2020-06-05,2,0.004464285714285714
2020-07-09,2020-07-10,11,0.004464285714285714
2020-07-14,2020-07-15,9,0.004464285714285714
2020-08-06,2020-08-07,15,0.004464285714285714
2020-08-16,2020-08-17,4,0.004464285714285714
2020-08-17,2020-08-18,20,0.004464285714285714
2020-08-22,2020-08-23,11,0.004464285714285714
2020-08-29,2020-08-30,8,0.004464285714285714
2020-08-31,2020-09-01,13,0.004464285714285714
2020-09-01,2020-09-02,10,0.004464285714285714
2020-09-02,2020-09-03,2,0.004464285714285714
2020-09-04,2020-09-05,15,0.004464285714285714
2020-09-05,2020-09-06,6,0.004464285714285714
2020-09-10,2020-09-11,12,0.004464285714285714
2020-09-12,2020-09-13,9,0.004464285714285714
2020-09-13,2020-09-14,16,0.004464285714285714
2020-09-14,2020-09-15,5,0.004464285714285714
2020-09-17,2020-09-18,23,0.004464285714285714
2020-09-21,2020-09-22,15,0.004464285714285714
2020-09-23,2020-09-24,9,0.004464285714285714
2020-09-24,2020-09-25,21,0.004464285714285714
2020-09-28,2020-09-29,15,0.004464285714285714
2020-09-29,2020-09-30,3,0.004464285714285714
2020-09-29,2020-09-30,29,0.004464285714285714
