data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-23,2020-02-13,61,0.00421274354923644,1.0
2020-02-14,2020-03-06,45,0.010005265929436546,0.025065963060686015
2020-02-14,2020-03-06,16,0.034228541337546076,0.08575197889182058
2020-02-14,2020-03-06,10,0.023696682464454975,0.059366754617414245
2020-02-14,2020-03-06,73,0.000526592943654555,0.0013192612137203166
2020-02-14,2020-03-06,23,0.024749868351764088,0.06200527704485488
2020-02-14,2020-03-06,50,0.009478672985781991,0.023746701846965697
2020-02-14,2020-03-06,31,0.020010531858873092,0.05013192612137203
2020-02-14,2020-03-06,131,0.00105318588730911,0.002638522427440633
2020-02-14,2020-03-06,25,0.02632964718272775,0.06596306068601583
2020-02-14,2020-03-06,47,0.00842548709847288,0.021108179419525065
2020-02-14,2020-03-06,105,0.000526592943654555,0.0013192612137203166
2020-02-14,2020-03-06,33,0.01790416008425487,0.044854881266490766
2020-02-14,2020-03-06,29,0.021063717746182202,0.052770448548812667
2020-02-14,2020-03-06,20,0.040547656661400734,0.10158311345646438
2020-02-14,2020-03-06,300,0.000526592943654555,0.0013192612137203166
2020-02-14,2020-03-06,32,0.01685097419694576,0.04221635883905013
2020-02-14,2020-03-06,14,0.032122169562927856,0.08047493403693931
2020-02-14,2020-03-06,18,0.02738283307003686,0.06860158311345646
2020-02-14,2020-03-06,21,0.030542390731964193,0.07651715039577836
2020-02-14,2020-03-06,30,0.02317008952080042,0.05804749340369393
2020-02-14,2020-03-06,74,0.00421274354923644,0.010554089709762533
2020-02-14,2020-03-06,24,0.025803054239073198,0.06464379947229551
2020-03-07,2020-03-28,22,0.03370194839389152,0.064
2020-03-07,2020-03-28,17,0.02738283307003686,0.052
2020-03-07,2020-03-28,9,0.02422327540810953,0.046
2020-03-07,2020-03-28,13,0.022643496577145865,0.043
2020-03-07,2020-03-28,58,0.006845708267509215,0.013
2020-03-07,2020-03-28,19,0.03264876250658241,0.062
2020-03-07,2020-03-28,75,0.00210637177461822,0.004
2020-03-07,2020-03-28,34,0.016324381253291206,0.031
2020-03-07,2020-03-28,26,0.02843601895734597,0.054
2020-03-07,2020-03-28,44,0.009478672985781991,0.018
2020-03-07,2020-03-28,3,0.00631911532385466,0.012
2020-03-07,2020-03-28,40,0.010005265929436546,0.019
2020-03-07,2020-03-28,6,0.005792522380200105,0.011
2020-03-07,2020-03-28,12,0.025803054239073198,0.049
2020-03-07,2020-03-28,43,0.00842548709847288,0.016
2020-03-07,2020-03-28,27,0.026856240126382307,0.051
2020-03-07,2020-03-28,41,0.00737230121116377,0.014
2020-03-07,2020-03-28,38,0.007898894154818325,0.015
2020-03-07,2020-03-28,137,0.000526592943654555,0.001
2020-03-07,2020-03-28,49,0.009478672985781991,0.018
2020-03-07,2020-03-28,46,0.010531858873091101,0.02
2020-03-07,2020-03-28,11,0.02317008952080042,0.044
2020-03-07,2020-03-28,4,0.007898894154818325,0.015
2020-03-07,2020-03-28,280,0.000526592943654555,0.001
2020-03-07,2020-03-28,8,0.01474460242232754,0.028
2020-03-07,2020-03-28,93,0.00105318588730911,0.002
2020-03-07,2020-03-28,37,0.01158504476040021,0.022
2020-03-07,2020-03-28,118,0.00105318588730911,0.002
2020-03-07,2020-03-28,15,0.02948920484465508,0.056
2020-03-07,2020-03-28,52,0.0052659294365455505,0.01
2020-03-07,2020-03-28,60,0.00315955766192733,0.006
2020-03-07,2020-03-28,59,0.003686150605581885,0.007
2020-03-07,2020-03-28,79,0.00210637177461822,0.004
2020-03-07,2020-03-28,7,0.013164823591363875,0.025
2020-03-07,2020-03-28,68,0.00421274354923644,0.008
2020-03-07,2020-03-28,35,0.01685097419694576,0.032
2020-03-07,2020-03-28,100,0.000526592943654555,0.001
2020-03-07,2020-03-28,57,0.0052659294365455505,0.01
2020-03-07,2020-03-28,62,0.0026329647182727752,0.005
2020-03-07,2020-03-28,28,0.020537124802527645,0.039
2020-03-07,2020-03-28,39,0.008952080042127435,0.017
2020-03-07,2020-03-28,51,0.006845708267509215,0.013
2020-03-07,2020-03-28,108,0.000526592943654555,0.001
2020-03-07,2020-03-28,154,0.000526592943654555,0.001
2020-03-07,2020-03-28,90,0.000526592943654555,0.001
2020-03-07,2020-03-28,158,0.000526592943654555,0.001
2020-03-07,2020-03-28,64,0.001579778830963665,0.003
