data_inizio,data_fine,delay,frequenza_delay
2020-02-20,2020-02-20,37,0.0035971223021582736
2020-02-22,2020-02-22,43,0.0035971223021582736
2020-02-24,2020-02-24,27,0.0035971223021582736
2020-02-25,2020-02-25,26,0.0035971223021582736
2020-02-25,2020-02-25,30,0.0035971223021582736
2020-02-26,2020-02-26,37,0.0035971223021582736
2020-02-27,2020-02-27,16,0.0035971223021582736
2020-02-28,2020-02-28,22,0.0035971223021582736
2020-02-28,2020-02-28,31,0.0035971223021582736
2020-02-29,2020-02-29,29,0.0035971223021582736
2020-02-29,2020-02-29,41,0.0035971223021582736
2020-03-02,2020-03-02,15,0.0035971223021582736
2020-03-02,2020-03-02,40,0.0035971223021582736
2020-03-02,2020-03-02,33,0.0035971223021582736
2020-03-02,2020-03-02,44,0.0035971223021582736
2020-03-03,2020-03-03,23,0.0035971223021582736
2020-03-04,2020-03-04,21,0.007194244604316547
2020-03-04,2020-03-04,85,0.0035971223021582736
2020-03-05,2020-03-05,32,0.0035971223021582736
2020-03-05,2020-03-05,18,0.0035971223021582736
2020-03-05,2020-03-05,20,0.0035971223021582736
2020-03-05,2020-03-05,38,0.007194244604316547
2020-03-06,2020-03-06,21,0.007194244604316547
2020-03-07,2020-03-07,15,0.0035971223021582736
2020-03-07,2020-03-07,28,0.007194244604316547
2020-03-07,2020-03-07,36,0.0035971223021582736
2020-03-07,2020-03-07,66,0.0035971223021582736
2020-03-08,2020-03-08,24,0.0035971223021582736
2020-03-08,2020-03-08,12,0.0035971223021582736
2020-03-08,2020-03-08,14,0.0035971223021582736
2020-03-08,2020-03-08,69,0.0035971223021582736
2020-03-08,2020-03-08,34,0.0035971223021582736
2020-03-09,2020-03-09,17,0.0035971223021582736
2020-03-10,2020-03-10,18,0.0035971223021582736
2020-03-10,2020-03-10,25,0.0035971223021582736
2020-03-11,2020-03-11,18,0.0035971223021582736
2020-03-11,2020-03-11,39,0.0035971223021582736
2020-03-11,2020-03-11,35,0.0035971223021582736
2020-03-12,2020-03-12,11,0.0035971223021582736
2020-03-12,2020-03-12,62,0.0035971223021582736
2020-03-12,2020-03-12,68,0.0035971223021582736
2020-03-13,2020-03-13,16,0.0035971223021582736
2020-03-13,2020-03-13,8,0.0035971223021582736
2020-03-14,2020-03-14,101,0.0035971223021582736
2020-03-15,2020-03-15,13,0.0035971223021582736
2020-03-15,2020-03-15,17,0.0035971223021582736
2020-03-15,2020-03-15,72,0.0035971223021582736
2020-03-15,2020-03-15,47,0.0035971223021582736
