data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-15,2020-02-29,23,0.04933333333333333,0.13285457809694792
2020-02-15,2020-02-29,15,0.023333333333333334,0.06283662477558348
2020-02-15,2020-02-29,26,0.037333333333333336,0.10053859964093358
2020-02-15,2020-02-29,8,0.008666666666666666,0.02333931777378815
2020-02-15,2020-02-29,17,0.034666666666666665,0.0933572710951526
2020-02-15,2020-02-29,29,0.032,0.08617594254937164
2020-02-15,2020-02-29,54,0.0033333333333333335,0.008976660682226212
2020-02-15,2020-02-29,37,0.014,0.03770197486535009
2020-02-15,2020-02-29,32,0.028666666666666667,0.07719928186714542
2020-02-15,2020-02-29,27,0.030666666666666665,0.08258527827648116
2020-02-15,2020-02-29,46,0.004,0.010771992818671455
2020-02-15,2020-02-29,25,0.042666666666666665,0.11490125673249552
2020-02-15,2020-02-29,39,0.009333333333333334,0.025134649910233394
2020-02-15,2020-02-29,36,0.014666666666666666,0.03949730700179533
2020-02-15,2020-02-29,40,0.011333333333333334,0.03052064631956912
2020-02-15,2020-02-29,31,0.027333333333333334,0.07360861759425494
2020-03-01,2020-03-15,13,0.028,0.0639269406392694
2020-03-01,2020-03-15,42,0.007333333333333333,0.0167427701674277
2020-03-01,2020-03-15,20,0.04133333333333333,0.0943683409436834
2020-03-01,2020-03-15,47,0.0033333333333333335,0.0076103500761035
2020-03-01,2020-03-15,19,0.03333333333333333,0.076103500761035
2020-03-01,2020-03-15,22,0.04133333333333333,0.0943683409436834
2020-03-01,2020-03-15,24,0.04,0.091324200913242
2020-03-01,2020-03-15,18,0.04666666666666667,0.106544901065449
2020-03-01,2020-03-15,11,0.015333333333333332,0.0350076103500761
2020-03-01,2020-03-15,14,0.02,0.045662100456621
2020-03-01,2020-03-15,35,0.018666666666666668,0.0426179604261796
2020-03-01,2020-03-15,75,0.0013333333333333333,0.0030441400304414
2020-03-01,2020-03-15,30,0.028666666666666667,0.0654490106544901
2020-03-01,2020-03-15,28,0.032,0.0730593607305936
2020-03-01,2020-03-15,60,0.0026666666666666666,0.0060882800608828
2020-03-01,2020-03-15,34,0.019333333333333334,0.0441400304414003
2020-03-01,2020-03-15,16,0.032,0.0730593607305936
2020-03-01,2020-03-15,43,0.008,0.0182648401826484
2020-03-01,2020-03-15,41,0.01,0.0228310502283105
2020-03-01,2020-03-15,161,0.0006666666666666666,0.0015220700152207
2020-03-01,2020-03-15,44,0.005333333333333333,0.0121765601217656
2020-03-01,2020-03-15,67,0.0026666666666666666,0.0060882800608828
2020-03-16,2020-03-30,5,0.004666666666666667,0.036458333333333336
2020-03-16,2020-03-30,12,0.028666666666666667,0.22395833333333334
2020-03-16,2020-03-30,9,0.011333333333333334,0.08854166666666667
2020-03-16,2020-03-30,21,0.03266666666666666,0.2552083333333333
2020-03-16,2020-03-30,50,0.005333333333333333,0.041666666666666664
2020-03-16,2020-03-30,10,0.014,0.109375
2020-03-16,2020-03-30,64,0.0026666666666666666,0.020833333333333332
2020-03-16,2020-03-30,51,0.004,0.03125
2020-03-16,2020-03-30,56,0.002,0.015625
2020-03-16,2020-03-30,58,0.002,0.015625
2020-03-16,2020-03-30,57,0.0033333333333333335,0.026041666666666668
2020-03-16,2020-03-30,38,0.007333333333333333,0.057291666666666664
2020-03-16,2020-03-30,52,0.005333333333333333,0.041666666666666664
2020-03-16,2020-03-30,48,0.004666666666666667,0.036458333333333336
2020-03-31,2020-04-14,78,0.0013333333333333333,0.0392156862745098
2020-03-31,2020-04-14,55,0.0033333333333333335,0.09803921568627451
2020-03-31,2020-04-14,33,0.018,0.5294117647058824
2020-03-31,2020-04-14,63,0.0026666666666666666,0.0784313725490196
2020-03-31,2020-04-14,45,0.008,0.23529411764705882
2020-03-31,2020-04-14,94,0.0006666666666666666,0.0196078431372549
2020-04-30,2020-05-14,53,0.004,1.0
2020-08-28,2020-09-11,76,0.002,1.0
2020-09-12,2020-09-26,98,0.0006666666666666666,0.5
2020-09-12,2020-09-26,91,0.0006666666666666666,0.5
2020-09-27,2020-10-11,88,0.0006666666666666666,0.16666666666666666
2020-09-27,2020-10-11,71,0.0013333333333333333,0.3333333333333333
2020-09-27,2020-10-11,65,0.0013333333333333333,0.3333333333333333
2020-09-27,2020-10-11,70,0.0006666666666666666,0.16666666666666666
2020-10-12,2020-10-26,68,0.002,0.15
2020-10-12,2020-10-26,6,0.0006666666666666666,0.05
2020-10-12,2020-10-26,73,0.0006666666666666666,0.05
2020-10-12,2020-10-26,66,0.002,0.15
2020-10-12,2020-10-26,69,0.0013333333333333333,0.1
2020-10-12,2020-10-26,59,0.0013333333333333333,0.1
2020-10-12,2020-10-26,61,0.0013333333333333333,0.1
2020-10-12,2020-10-26,49,0.0033333333333333335,0.25
2020-10-12,2020-10-26,72,0.0006666666666666666,0.05
2020-10-27,2020-11-10,62,0.0006666666666666666,0.2
2020-10-27,2020-11-10,7,0.0026666666666666666,0.8
2020-11-11,2020-11-25,4,0.0006666666666666666,1.0
