data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-26,2020-02-27,33,0.05194805194805195,1.0
2020-03-03,2020-03-04,37,0.025974025974025976,1.0
2020-03-07,2020-03-08,30,0.025974025974025976,1.0
2020-03-23,2020-03-24,31,0.06493506493506493,1.0
2020-03-25,2020-03-26,25,0.03896103896103896,1.0
2020-03-31,2020-04-01,32,0.03896103896103896,1.0
2020-04-08,2020-04-09,28,0.07792207792207792,1.0
2020-09-25,2020-09-26,36,0.05194805194805195,1.0
2020-10-01,2020-10-02,23,0.05194805194805195,1.0
2020-10-03,2020-10-04,29,0.09090909090909091,1.0
2020-10-09,2020-10-10,21,0.05194805194805195,0.6666666666666666
2020-10-09,2020-10-10,39,0.025974025974025976,0.3333333333333333
2020-10-19,2020-10-20,34,0.05194805194805195,1.0
2020-10-21,2020-10-22,18,0.03896103896103896,0.42857142857142855
2020-10-21,2020-10-22,35,0.05194805194805195,0.5714285714285714
2020-10-23,2020-10-24,27,0.05194805194805195,1.0
2020-10-25,2020-10-26,26,0.03896103896103896,1.0
2020-10-31,2020-11-01,22,0.06493506493506493,1.0
2020-11-02,2020-11-03,17,0.025974025974025976,1.0
2020-11-10,2020-11-11,24,0.05194805194805195,1.0
2020-11-16,2020-11-17,38,0.012987012987012988,1.0
2020-12-08,2020-12-09,16,0.012987012987012988,1.0
