data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-09,2020-03-09,33,0.13157894736842105,1.0
2020-03-25,2020-03-25,23,0.07894736842105263,1.0
2020-04-13,2020-04-13,36,0.05263157894736842,1.0
2020-05-16,2020-05-16,22,0.05263157894736842,1.0
2020-05-20,2020-05-20,64,0.02631578947368421,1.0
2020-09-28,2020-09-28,27,0.02631578947368421,1.0
2020-10-05,2020-10-05,35,0.05263157894736842,1.0
2020-10-06,2020-10-06,39,0.02631578947368421,1.0
2020-10-09,2020-10-09,29,0.05263157894736842,1.0
2020-10-13,2020-10-13,24,0.02631578947368421,1.0
2020-10-16,2020-10-16,17,0.07894736842105263,1.0
2020-10-17,2020-10-17,15,0.05263157894736842,1.0
2020-10-19,2020-10-19,34,0.05263157894736842,1.0
2020-10-20,2020-10-20,38,0.02631578947368421,1.0
2020-10-28,2020-10-28,21,0.05263157894736842,1.0
2020-10-29,2020-10-29,7,0.02631578947368421,1.0
2020-10-30,2020-10-30,16,0.02631578947368421,1.0
2020-11-01,2020-11-01,32,0.02631578947368421,1.0
2020-11-04,2020-11-04,18,0.05263157894736842,1.0
2020-11-09,2020-11-09,37,0.02631578947368421,1.0
2020-11-10,2020-11-10,8,0.02631578947368421,1.0
2020-11-13,2020-11-13,19,0.02631578947368421,1.0
