data_inizio,data_fine,delay,frequenza_delay
2020-02-21,2020-02-21,37,0.009900990099009901
2020-03-04,2020-03-04,31,0.009900990099009901
2020-03-05,2020-03-05,33,0.009900990099009901
2020-03-08,2020-03-08,30,0.009900990099009901
2020-03-10,2020-03-10,27,0.009900990099009901
2020-03-13,2020-03-13,21,0.009900990099009901
2020-03-14,2020-03-14,26,0.009900990099009901
2020-03-16,2020-03-16,29,0.009900990099009901
2020-03-16,2020-03-16,36,0.009900990099009901
2020-03-17,2020-03-17,35,0.009900990099009901
2020-03-19,2020-03-19,33,0.009900990099009901
2020-03-20,2020-03-20,40,0.009900990099009901
2020-03-21,2020-03-21,33,0.009900990099009901
2020-03-22,2020-03-22,38,0.009900990099009901
2020-03-25,2020-03-25,32,0.009900990099009901
2020-03-26,2020-03-26,27,0.009900990099009901
2020-03-28,2020-03-28,30,0.009900990099009901
2020-03-29,2020-03-29,37,0.009900990099009901
2020-03-30,2020-03-30,27,0.009900990099009901
2020-03-31,2020-03-31,20,0.009900990099009901
2020-04-01,2020-04-01,25,0.009900990099009901
2020-04-02,2020-04-02,28,0.009900990099009901
2020-04-04,2020-04-04,25,0.009900990099009901
2020-04-05,2020-04-05,26,0.009900990099009901
2020-04-06,2020-04-06,31,0.009900990099009901
2020-04-07,2020-04-07,27,0.009900990099009901
2020-04-08,2020-04-08,16,0.009900990099009901
2020-04-08,2020-04-08,34,0.009900990099009901
2020-04-09,2020-04-09,33,0.009900990099009901
2020-04-10,2020-04-10,31,0.009900990099009901
2020-04-11,2020-04-11,21,0.009900990099009901
2020-04-13,2020-04-13,25,0.009900990099009901
2020-04-14,2020-04-14,20,0.009900990099009901
2020-04-14,2020-04-14,22,0.009900990099009901
2020-04-17,2020-04-17,20,0.009900990099009901
2020-04-18,2020-04-18,23,0.009900990099009901
2020-04-19,2020-04-19,21,0.009900990099009901
2020-04-20,2020-04-20,22,0.009900990099009901
2020-04-21,2020-04-21,23,0.009900990099009901
2020-04-24,2020-04-24,25,0.009900990099009901
2020-05-01,2020-05-01,24,0.009900990099009901
2020-05-05,2020-05-05,26,0.009900990099009901
2020-05-12,2020-05-12,22,0.009900990099009901
2020-05-18,2020-05-18,36,0.009900990099009901
2020-08-02,2020-08-02,35,0.009900990099009901
2020-08-25,2020-08-25,25,0.009900990099009901
2020-09-02,2020-09-02,22,0.009900990099009901
2020-10-04,2020-10-04,26,0.009900990099009901
2020-10-05,2020-10-05,35,0.009900990099009901
2020-10-06,2020-10-06,31,0.009900990099009901
2020-10-07,2020-10-07,32,0.009900990099009901
2020-10-09,2020-10-09,31,0.009900990099009901
2020-10-10,2020-10-10,31,0.009900990099009901
2020-10-11,2020-10-11,35,0.009900990099009901
2020-10-12,2020-10-12,22,0.009900990099009901
2020-10-15,2020-10-15,31,0.009900990099009901
2020-10-16,2020-10-16,31,0.009900990099009901
2020-10-17,2020-10-17,33,0.009900990099009901
2020-10-18,2020-10-18,24,0.009900990099009901
2020-10-19,2020-10-19,29,0.009900990099009901
2020-10-20,2020-10-20,31,0.009900990099009901
2020-10-22,2020-10-22,21,0.009900990099009901
2020-10-23,2020-10-23,23,0.009900990099009901
2020-10-24,2020-10-24,23,0.009900990099009901
2020-10-25,2020-10-25,22,0.009900990099009901
2020-10-26,2020-10-26,25,0.009900990099009901
2020-10-27,2020-10-27,23,0.009900990099009901
2020-10-28,2020-10-28,17,0.009900990099009901
2020-10-29,2020-10-29,21,0.009900990099009901
2020-10-30,2020-10-30,21,0.009900990099009901
2020-10-31,2020-10-31,35,0.009900990099009901
2020-11-01,2020-11-01,32,0.009900990099009901
2020-11-02,2020-11-02,23,0.009900990099009901
2020-11-03,2020-11-03,26,0.009900990099009901
2020-11-04,2020-11-04,21,0.009900990099009901
2020-11-05,2020-11-05,17,0.009900990099009901
2020-11-07,2020-11-07,20,0.009900990099009901
2020-11-08,2020-11-08,26,0.009900990099009901
2020-11-09,2020-11-09,19,0.009900990099009901
2020-11-10,2020-11-10,38,0.009900990099009901
2020-11-11,2020-11-11,22,0.009900990099009901
2020-11-11,2020-11-11,19,0.009900990099009901
2020-11-12,2020-11-12,29,0.009900990099009901
2020-11-14,2020-11-14,34,0.009900990099009901
2020-11-15,2020-11-15,25,0.009900990099009901
2020-11-17,2020-11-17,22,0.009900990099009901
2020-11-19,2020-11-19,30,0.009900990099009901
2020-11-20,2020-11-20,19,0.009900990099009901
2020-11-21,2020-11-21,18,0.009900990099009901
2020-11-23,2020-11-23,18,0.009900990099009901
2020-11-24,2020-11-24,27,0.009900990099009901
2020-11-25,2020-11-25,25,0.009900990099009901
2020-11-26,2020-11-26,24,0.009900990099009901
2020-11-27,2020-11-27,25,0.009900990099009901
2020-11-29,2020-11-29,21,0.009900990099009901
2020-11-30,2020-11-30,25,0.009900990099009901
2020-12-01,2020-12-01,23,0.009900990099009901
2020-12-02,2020-12-02,23,0.009900990099009901
2020-12-03,2020-12-03,22,0.009900990099009901
2020-12-04,2020-12-04,21,0.009900990099009901
2020-12-08,2020-12-08,17,0.009900990099009901
