data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-01,2020-03-02,34,0.046801872074883,0.2912621359223301
2020-02-01,2020-03-02,35,0.0343213728549142,0.21359223300970873
2020-02-01,2020-03-02,32,0.057722308892355696,0.3592233009708738
2020-02-01,2020-03-02,38,0.0218408736349454,0.13592233009708737
2020-03-03,2020-04-02,22,0.059282371294851796,0.1450381679389313
2020-03-03,2020-04-02,24,0.0514820592823713,0.12595419847328243
2020-03-03,2020-04-02,30,0.0405616224648986,0.09923664122137404
2020-03-03,2020-04-02,23,0.0452418096723869,0.11068702290076336
2020-03-03,2020-04-02,29,0.0405616224648986,0.09923664122137404
2020-03-03,2020-04-02,18,0.0327613104524181,0.08015267175572519
2020-03-03,2020-04-02,21,0.0483619344773791,0.1183206106870229
2020-03-03,2020-04-02,31,0.06396255850234009,0.15648854961832062
2020-03-03,2020-04-02,36,0.0265210608424337,0.0648854961832061
2020-04-03,2020-05-03,20,0.0530421216848674,0.1878453038674033
2020-04-03,2020-05-03,27,0.0374414976599064,0.13259668508287292
2020-04-03,2020-05-03,26,0.0530421216848674,0.1878453038674033
2020-04-03,2020-05-03,19,0.031201248049921998,0.11049723756906077
2020-04-03,2020-05-03,28,0.0421216848673947,0.14917127071823205
2020-04-03,2020-05-03,33,0.057722308892355696,0.20441988950276244
2020-04-03,2020-05-03,40,0.0078003120124804995,0.027624309392265192
2020-05-04,2020-06-03,16,0.0124804992199688,1.0
2020-08-05,2020-09-04,11,0.0046801872074883,0.05263157894736842
2020-08-05,2020-09-04,25,0.0452418096723869,0.5087719298245614
2020-08-05,2020-09-04,37,0.0390015600624025,0.43859649122807015
2020-09-05,2020-10-05,53,0.0015600624024961,1.0
2020-10-06,2020-11-05,5,0.0031201248049922,0.07142857142857142
2020-10-06,2020-11-05,12,0.0015600624024961,0.03571428571428571
2020-10-06,2020-11-05,17,0.0171606864274571,0.39285714285714285
2020-10-06,2020-11-05,39,0.0078003120124804995,0.17857142857142858
2020-10-06,2020-11-05,3,0.0015600624024961,0.03571428571428571
2020-10-06,2020-11-05,14,0.0046801872074883,0.10714285714285714
2020-10-06,2020-11-05,8,0.0031201248049922,0.07142857142857142
2020-10-06,2020-11-05,7,0.0015600624024961,0.03571428571428571
2020-10-06,2020-11-05,10,0.0031201248049922,0.07142857142857142
2020-11-06,2020-12-06,9,0.0015600624024961,1.0
