data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-01,2020-03-02,36,0.04182509505703422,0.12643678160919541
2020-02-01,2020-03-02,27,0.044359949302915085,0.13409961685823754
2020-02-01,2020-03-02,38,0.02788339670468948,0.0842911877394636
2020-02-01,2020-03-02,29,0.051964512040557666,0.15708812260536398
2020-02-01,2020-03-02,34,0.046894803548795945,0.1417624521072797
2020-02-01,2020-03-02,32,0.050697084917617236,0.1532567049808429
2020-02-01,2020-03-02,37,0.030418250950570342,0.09195402298850575
2020-02-01,2020-03-02,35,0.036755386565272496,0.1111111111111111
2020-03-03,2020-04-02,17,0.011406844106463879,0.018072289156626505
2020-03-03,2020-04-02,21,0.03929024081115336,0.06224899598393574
2020-03-03,2020-04-02,19,0.024081115335868188,0.03815261044176707
2020-03-03,2020-04-02,26,0.05449936628643853,0.08634538152610442
2020-03-03,2020-04-02,20,0.03929024081115336,0.06224899598393574
2020-03-03,2020-04-02,18,0.030418250950570342,0.04819277108433735
2020-03-03,2020-04-02,23,0.062103929024081114,0.09839357429718876
2020-03-03,2020-04-02,30,0.057034220532319393,0.09036144578313253
2020-03-03,2020-04-02,24,0.053231939163498096,0.08433734939759036
2020-03-03,2020-04-02,31,0.05449936628643853,0.08634538152610442
2020-03-03,2020-04-02,22,0.053231939163498096,0.08433734939759036
2020-03-03,2020-04-02,28,0.053231939163498096,0.08433734939759036
2020-03-03,2020-04-02,33,0.05576679340937896,0.08835341365461848
2020-03-03,2020-04-02,25,0.043092522179974654,0.06827309236947791
2020-04-03,2020-05-03,16,0.011406844106463879,0.45
2020-04-03,2020-05-03,39,0.01394169835234474,0.55
2020-08-05,2020-09-04,40,0.008871989860583017,1.0
2020-10-06,2020-11-05,15,0.0025348542458808617,1.0
2020-12-07,2021-01-06,13,0.0012674271229404308,1.0
