data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-15,2020-02-29,0,0.08365843086259211,0.10891647855530474
2020-02-15,2020-02-29,1,0.15257910706545297,0.1986455981941309
2020-02-15,2020-02-29,5,0.08712613784135241,0.113431151241535
2020-02-15,2020-02-29,4,0.08149111400086692,0.10609480812641084
2020-02-15,2020-02-29,11,0.028175119202427396,0.03668171557562077
2020-02-15,2020-02-29,10,0.033810143042912875,0.04401805869074492
2020-02-15,2020-02-29,6,0.06935413957520589,0.09029345372460497
2020-02-15,2020-02-29,8,0.045513654096228866,0.05925507900677201
2020-02-15,2020-02-29,12,0.02600780234070221,0.033860045146726865
2020-02-15,2020-02-29,7,0.056783701777199824,0.07392776523702031
2020-02-15,2020-02-29,15,0.01517121803207629,0.019751693002257337
2020-02-15,2020-02-29,3,0.08842652795838751,0.11512415349887133
2020-03-01,2020-03-15,2,0.12743823146944083,0.5675675675675675
2020-03-01,2020-03-15,9,0.04291287386215865,0.19111969111969113
2020-03-01,2020-03-15,13,0.01907238838318162,0.08494208494208494
2020-03-01,2020-03-15,14,0.018638925010836586,0.08301158301158301
2020-03-01,2020-03-15,17,0.006501950585175552,0.02895752895752896
2020-03-01,2020-03-15,16,0.009969657563935847,0.0444015444015444
2020-03-16,2020-03-30,19,0.0013003901170351106,0.21428571428571427
2020-03-16,2020-03-30,18,0.004768097095795405,0.7857142857142857
2020-09-27,2020-10-11,20,0.0013003901170351106,1.0
