data_inizio,data_fine,delay,frequenza_delay
2020-02-14,2020-02-15,8,0.0013869625520110957
2020-02-16,2020-02-17,13,0.0013869625520110957
2020-02-17,2020-02-18,2,0.0013869625520110957
2020-02-20,2020-02-21,3,0.0013869625520110957
2020-02-20,2020-02-21,12,0.0013869625520110957
2020-02-21,2020-02-22,0,0.0013869625520110957
2020-02-22,2020-02-23,8,0.0013869625520110957
2020-02-22,2020-02-23,17,0.0013869625520110957
2020-02-23,2020-02-24,5,0.0013869625520110957
2020-02-23,2020-02-24,20,0.0013869625520110957
2020-02-24,2020-02-25,2,0.0027739251040221915
2020-02-24,2020-02-25,6,0.0013869625520110957
2020-02-25,2020-02-26,1,0.0027739251040221915
2020-02-25,2020-02-26,4,0.0027739251040221915
2020-02-25,2020-02-26,11,0.0013869625520110957
2020-02-25,2020-02-26,10,0.0013869625520110957
2020-02-25,2020-02-26,9,0.0013869625520110957
2020-02-26,2020-02-27,2,0.0027739251040221915
2020-02-26,2020-02-27,14,0.0013869625520110957
2020-02-27,2020-02-28,3,0.0027739251040221915
2020-02-27,2020-02-28,15,0.0013869625520110957
2020-02-28,2020-02-29,3,0.0027739251040221915
2020-02-28,2020-02-29,7,0.0013869625520110957
2020-02-29,2020-03-01,2,0.0013869625520110957
2020-02-29,2020-03-01,16,0.0027739251040221915
2020-03-01,2020-03-02,7,0.0013869625520110957
2020-03-02,2020-03-03,4,0.0013869625520110957
2020-03-03,2020-03-04,3,0.0027739251040221915
2020-03-04,2020-03-05,1,0.005547850208044383
2020-03-04,2020-03-05,19,0.0013869625520110957
2020-03-05,2020-03-06,0,0.0027739251040221915
2020-03-06,2020-03-07,1,0.008321775312066574
2020-03-07,2020-03-08,3,0.0027739251040221915
2020-03-08,2020-03-09,2,0.0013869625520110957
2020-03-09,2020-03-10,1,0.004160887656033287
2020-03-10,2020-03-11,0,0.0013869625520110957
2020-03-11,2020-03-12,2,0.005547850208044383
2020-03-12,2020-03-13,2,0.004160887656033287
2020-03-13,2020-03-14,0,0.0027739251040221915
2020-03-14,2020-03-15,1,0.004160887656033287
2020-03-15,2020-03-16,1,0.008321775312066574
2020-03-16,2020-03-17,0,0.0013869625520110957
2020-03-17,2020-03-18,1,0.005547850208044383
2020-03-18,2020-03-19,2,0.008321775312066574
2020-03-19,2020-03-20,2,0.008321775312066574
2020-03-20,2020-03-21,0,0.005547850208044383
2020-03-20,2020-03-21,18,0.0013869625520110957
2020-03-21,2020-03-22,0,0.006934812760055479
2020-03-22,2020-03-23,2,0.008321775312066574
2020-03-23,2020-03-24,2,0.005547850208044383
2020-03-24,2020-03-25,2,0.006934812760055479
2020-03-25,2020-03-26,2,0.004160887656033287
2020-03-26,2020-03-27,0,0.005547850208044383
2020-03-27,2020-03-28,0,0.005547850208044383
2020-03-28,2020-03-29,0,0.0027739251040221915
2020-03-29,2020-03-30,0,0.0027739251040221915
2020-03-30,2020-03-31,2,0.0027739251040221915
2020-03-31,2020-04-01,1,0.0027739251040221915
2020-04-01,2020-04-02,1,0.004160887656033287
2020-04-02,2020-04-03,1,0.0027739251040221915
2020-04-03,2020-04-04,3,0.004160887656033287
2020-04-04,2020-04-05,2,0.0027739251040221915
2020-04-05,2020-04-06,0,0.0013869625520110957
2020-04-06,2020-04-07,1,0.005547850208044383
2020-04-07,2020-04-08,0,0.0013869625520110957
2020-04-08,2020-04-09,1,0.006934812760055479
2020-04-09,2020-04-10,1,0.0013869625520110957
2020-04-10,2020-04-11,1,0.005547850208044383
2020-04-11,2020-04-12,1,0.006934812760055479
2020-04-12,2020-04-13,1,0.0013869625520110957
2020-04-13,2020-04-14,1,0.0027739251040221915
2020-04-14,2020-04-15,1,0.006934812760055479
2020-04-15,2020-04-16,1,0.0027739251040221915
2020-04-16,2020-04-17,1,0.0027739251040221915
2020-04-17,2020-04-18,2,0.004160887656033287
2020-04-18,2020-04-19,2,0.0027739251040221915
2020-04-19,2020-04-20,0,0.0013869625520110957
2020-04-20,2020-04-21,0,0.0027739251040221915
2020-04-21,2020-04-22,2,0.005547850208044383
2020-04-22,2020-04-23,4,0.0013869625520110957
2020-04-23,2020-04-24,1,0.0027739251040221915
2020-04-24,2020-04-25,1,0.004160887656033287
2020-04-25,2020-04-26,1,0.005547850208044383
2020-04-26,2020-04-27,2,0.0013869625520110957
2020-04-27,2020-04-28,2,0.0013869625520110957
2020-04-28,2020-04-29,1,0.0013869625520110957
2020-04-29,2020-04-30,3,0.0013869625520110957
2020-04-30,2020-05-01,1,0.0013869625520110957
2020-05-01,2020-05-02,0,0.0013869625520110957
2020-05-02,2020-05-03,3,0.0013869625520110957
2020-05-03,2020-05-04,1,0.0027739251040221915
2020-05-04,2020-05-05,0,0.0013869625520110957
2020-05-05,2020-05-06,1,0.0013869625520110957
2020-05-06,2020-05-07,7,0.0013869625520110957
2020-05-07,2020-05-08,3,0.0013869625520110957
2020-05-08,2020-05-09,7,0.0013869625520110957
2020-05-09,2020-05-10,8,0.0013869625520110957
2020-05-10,2020-05-11,2,0.0013869625520110957
2020-05-11,2020-05-12,3,0.0027739251040221915
2020-05-12,2020-05-13,2,0.0027739251040221915
2020-05-13,2020-05-14,3,0.0013869625520110957
2020-05-14,2020-05-15,3,0.0013869625520110957
2020-05-15,2020-05-16,8,0.0013869625520110957
2020-05-16,2020-05-17,1,0.0013869625520110957
2020-05-18,2020-05-19,1,0.0013869625520110957
2020-05-19,2020-05-20,6,0.0013869625520110957
2020-05-20,2020-05-21,11,0.0013869625520110957
2020-05-21,2020-05-22,0,0.0013869625520110957
2020-05-22,2020-05-23,13,0.0013869625520110957
2020-05-26,2020-05-27,0,0.0013869625520110957
2020-05-28,2020-05-29,4,0.0013869625520110957
2020-05-30,2020-05-31,4,0.0013869625520110957
2020-05-31,2020-06-01,5,0.0013869625520110957
2020-06-01,2020-06-02,2,0.0013869625520110957
2020-06-02,2020-06-03,8,0.0013869625520110957
2020-06-04,2020-06-05,1,0.0013869625520110957
2020-06-07,2020-06-08,6,0.0013869625520110957
2020-06-08,2020-06-09,0,0.0013869625520110957
2020-06-09,2020-06-10,15,0.0013869625520110957
2020-06-12,2020-06-13,1,0.0013869625520110957
2020-06-23,2020-06-24,5,0.0013869625520110957
2020-06-30,2020-07-01,6,0.0013869625520110957
2020-07-02,2020-07-03,0,0.0013869625520110957
2020-07-06,2020-07-07,0,0.0013869625520110957
2020-07-09,2020-07-10,10,0.0013869625520110957
2020-07-14,2020-07-15,4,0.0013869625520110957
2020-07-25,2020-07-26,10,0.0013869625520110957
2020-08-02,2020-08-03,5,0.0013869625520110957
2020-08-04,2020-08-05,11,0.0013869625520110957
2020-08-05,2020-08-06,14,0.0013869625520110957
2020-08-06,2020-08-07,8,0.0013869625520110957
