data_inizio,data_fine,delay,frequenza_delay
2020-02-28,2020-02-29,36,0.005780346820809248
2020-03-01,2020-03-02,32,0.005780346820809248
2020-03-02,2020-03-03,31,0.005780346820809248
2020-03-02,2020-03-03,33,0.005780346820809248
2020-03-03,2020-03-04,35,0.005780346820809248
2020-03-05,2020-03-06,16,0.005780346820809248
2020-03-07,2020-03-08,33,0.005780346820809248
2020-03-07,2020-03-08,37,0.005780346820809248
2020-03-08,2020-03-09,24,0.005780346820809248
2020-03-09,2020-03-10,28,0.005780346820809248
2020-03-10,2020-03-11,28,0.005780346820809248
2020-03-11,2020-03-12,35,0.005780346820809248
2020-03-12,2020-03-13,22,0.005780346820809248
2020-03-14,2020-03-15,21,0.005780346820809248
2020-03-15,2020-03-16,34,0.005780346820809248
2020-03-16,2020-03-17,15,0.005780346820809248
2020-03-18,2020-03-19,24,0.005780346820809248
2020-03-18,2020-03-19,41,0.005780346820809248
2020-03-20,2020-03-21,21,0.005780346820809248
2020-03-21,2020-03-22,30,0.005780346820809248
2020-03-22,2020-03-23,30,0.005780346820809248
2020-03-23,2020-03-24,25,0.005780346820809248
2020-03-24,2020-03-25,30,0.005780346820809248
2020-03-27,2020-03-28,38,0.005780346820809248
2020-03-28,2020-03-29,28,0.005780346820809248
2020-03-29,2020-03-30,33,0.005780346820809248
2020-04-01,2020-04-02,25,0.005780346820809248
2020-04-01,2020-04-02,26,0.005780346820809248
2020-04-02,2020-04-03,30,0.005780346820809248
2020-04-03,2020-04-04,19,0.005780346820809248
2020-04-03,2020-04-04,29,0.005780346820809248
2020-04-05,2020-04-06,19,0.005780346820809248
2020-04-07,2020-04-08,20,0.005780346820809248
2020-04-10,2020-04-11,29,0.005780346820809248
2020-04-11,2020-04-12,26,0.005780346820809248
2020-04-12,2020-04-13,21,0.005780346820809248
2020-04-13,2020-04-14,23,0.005780346820809248
2020-04-17,2020-04-18,28,0.005780346820809248
2020-04-18,2020-04-19,21,0.005780346820809248
2020-04-19,2020-04-20,28,0.005780346820809248
2020-04-21,2020-04-22,25,0.011560693641618497
2020-04-22,2020-04-23,31,0.005780346820809248
2020-04-23,2020-04-24,19,0.005780346820809248
2020-04-24,2020-04-25,26,0.005780346820809248
2020-04-26,2020-04-27,26,0.005780346820809248
2020-04-27,2020-04-28,20,0.005780346820809248
2020-05-02,2020-05-03,28,0.005780346820809248
2020-05-05,2020-05-06,28,0.005780346820809248
2020-05-06,2020-05-07,32,0.005780346820809248
2020-06-02,2020-06-03,18,0.005780346820809248
2020-07-06,2020-07-07,39,0.005780346820809248
2020-08-01,2020-08-02,26,0.005780346820809248
2020-08-08,2020-08-09,21,0.005780346820809248
2020-08-09,2020-08-10,28,0.005780346820809248
2020-08-15,2020-08-16,22,0.005780346820809248
2020-08-24,2020-08-25,36,0.005780346820809248
2020-08-25,2020-08-26,20,0.005780346820809248
2020-08-26,2020-08-27,22,0.005780346820809248
2020-08-27,2020-08-28,18,0.005780346820809248
2020-08-30,2020-08-31,27,0.005780346820809248
2020-08-31,2020-09-01,37,0.005780346820809248
2020-09-04,2020-09-05,24,0.005780346820809248
2020-09-08,2020-09-09,30,0.005780346820809248
2020-09-10,2020-09-11,28,0.005780346820809248
2020-09-11,2020-09-12,33,0.005780346820809248
2020-09-12,2020-09-13,18,0.005780346820809248
2020-09-15,2020-09-16,32,0.005780346820809248
2020-09-16,2020-09-17,26,0.005780346820809248
2020-09-17,2020-09-18,33,0.005780346820809248
2020-09-19,2020-09-20,29,0.005780346820809248
2020-09-21,2020-09-22,34,0.005780346820809248
2020-09-22,2020-09-23,22,0.005780346820809248
2020-09-25,2020-09-26,31,0.005780346820809248
2020-09-26,2020-09-27,28,0.005780346820809248
2020-09-27,2020-09-28,30,0.005780346820809248
2020-09-28,2020-09-29,19,0.005780346820809248
2020-09-29,2020-09-30,33,0.005780346820809248
2020-09-30,2020-10-01,18,0.005780346820809248
2020-10-01,2020-10-02,26,0.005780346820809248
2020-10-02,2020-10-03,24,0.005780346820809248
2020-10-03,2020-10-04,22,0.005780346820809248
2020-10-03,2020-10-04,53,0.005780346820809248
2020-10-04,2020-10-05,25,0.005780346820809248
2020-10-04,2020-10-05,17,0.005780346820809248
2020-10-05,2020-10-06,20,0.005780346820809248
2020-10-06,2020-10-07,26,0.005780346820809248
2020-10-07,2020-10-08,19,0.005780346820809248
2020-10-08,2020-10-09,16,0.005780346820809248
2020-10-09,2020-10-10,20,0.005780346820809248
2020-10-10,2020-10-11,24,0.005780346820809248
2020-10-11,2020-10-12,19,0.005780346820809248
2020-10-11,2020-10-12,11,0.005780346820809248
2020-10-11,2020-10-12,40,0.005780346820809248
2020-10-12,2020-10-13,18,0.005780346820809248
2020-10-13,2020-10-14,18,0.005780346820809248
2020-10-14,2020-10-15,18,0.005780346820809248
2020-10-15,2020-10-16,28,0.005780346820809248
2020-10-16,2020-10-17,22,0.005780346820809248
2020-10-17,2020-10-18,24,0.005780346820809248
2020-10-18,2020-10-19,21,0.011560693641618497
2020-10-18,2020-10-19,10,0.005780346820809248
2020-10-18,2020-10-19,42,0.005780346820809248
2020-10-19,2020-10-20,18,0.005780346820809248
2020-10-20,2020-10-21,21,0.005780346820809248
2020-10-21,2020-10-22,20,0.011560693641618497
2020-10-22,2020-10-23,13,0.005780346820809248
2020-10-23,2020-10-24,22,0.005780346820809248
2020-10-24,2020-10-25,19,0.005780346820809248
2020-10-25,2020-10-26,18,0.005780346820809248
2020-10-26,2020-10-27,18,0.011560693641618497
2020-10-27,2020-10-28,17,0.005780346820809248
2020-10-28,2020-10-29,17,0.023121387283236993
