data_inizio,data_fine,delay,frequenza_delay
2020-02-17,2020-02-17,9,0.0040650406504065045
2020-02-23,2020-02-23,9,0.0040650406504065045
2020-02-24,2020-02-24,15,0.0040650406504065045
2020-02-26,2020-02-26,17,0.0040650406504065045
2020-02-27,2020-02-27,19,0.0040650406504065045
2020-02-27,2020-02-27,20,0.0040650406504065045
2020-02-28,2020-02-28,12,0.0040650406504065045
2020-02-28,2020-02-28,18,0.0040650406504065045
2020-02-29,2020-02-29,17,0.0040650406504065045
2020-03-01,2020-03-01,12,0.0040650406504065045
2020-03-02,2020-03-02,11,0.0040650406504065045
2020-03-03,2020-03-03,12,0.0040650406504065045
2020-03-04,2020-03-04,10,0.0040650406504065045
2020-03-04,2020-03-04,16,0.0040650406504065045
2020-03-05,2020-03-05,8,0.0040650406504065045
2020-03-06,2020-03-06,11,0.0040650406504065045
2020-03-06,2020-03-06,14,0.0040650406504065045
2020-03-07,2020-03-07,7,0.0040650406504065045
2020-03-07,2020-03-07,13,0.0040650406504065045
2020-03-08,2020-03-08,13,0.0040650406504065045
2020-03-09,2020-03-09,15,0.0040650406504065045
2020-03-10,2020-03-10,4,0.0040650406504065045
2020-03-11,2020-03-11,1,0.0040650406504065045
2020-03-12,2020-03-12,1,0.0040650406504065045
2020-03-12,2020-03-12,5,0.0040650406504065045
2020-03-13,2020-03-13,9,0.0040650406504065045
2020-03-14,2020-03-14,2,0.0040650406504065045
2020-03-15,2020-03-15,1,0.0040650406504065045
2020-03-15,2020-03-15,6,0.0040650406504065045
2020-03-16,2020-03-16,8,0.0040650406504065045
2020-03-17,2020-03-17,6,0.0040650406504065045
2020-03-18,2020-03-18,5,0.0040650406504065045
2020-03-19,2020-03-19,4,0.0040650406504065045
2020-03-20,2020-03-20,2,0.0040650406504065045
2020-03-21,2020-03-21,1,0.0040650406504065045
2020-03-22,2020-03-22,3,0.0040650406504065045
2020-03-23,2020-03-23,5,0.0040650406504065045
2020-03-24,2020-03-24,1,0.0040650406504065045
2020-03-25,2020-03-25,2,0.0040650406504065045
2020-03-26,2020-03-26,3,0.0040650406504065045
2020-03-27,2020-03-27,4,0.0040650406504065045
2020-03-28,2020-03-28,2,0.0040650406504065045
2020-03-29,2020-03-29,2,0.0040650406504065045
2020-03-30,2020-03-30,10,0.0040650406504065045
2020-03-31,2020-03-31,4,0.0040650406504065045
2020-04-01,2020-04-01,3,0.0040650406504065045
2020-04-02,2020-04-02,6,0.0040650406504065045
2020-04-03,2020-04-03,1,0.0040650406504065045
2020-04-04,2020-04-04,2,0.0040650406504065045
2020-04-05,2020-04-05,1,0.0040650406504065045
2020-04-06,2020-04-06,2,0.008130081300813009
2020-04-07,2020-04-07,5,0.0040650406504065045
2020-04-08,2020-04-08,1,0.0040650406504065045
2020-04-09,2020-04-09,1,0.008130081300813009
2020-04-10,2020-04-10,6,0.0040650406504065045
2020-04-11,2020-04-11,3,0.0040650406504065045
2020-04-12,2020-04-12,4,0.0040650406504065045
2020-04-13,2020-04-13,4,0.0040650406504065045
2020-04-14,2020-04-14,6,0.0040650406504065045
2020-04-15,2020-04-15,2,0.0040650406504065045
2020-04-16,2020-04-16,8,0.012195121951219513
2020-04-17,2020-04-17,6,0.0040650406504065045
2020-04-18,2020-04-18,11,0.0040650406504065045
2020-04-20,2020-04-20,2,0.0040650406504065045
2020-04-21,2020-04-21,3,0.0040650406504065045
2020-04-22,2020-04-22,3,0.0040650406504065045
2020-04-23,2020-04-23,8,0.0040650406504065045
2020-04-24,2020-04-24,5,0.0040650406504065045
2020-04-25,2020-04-25,3,0.0040650406504065045
2020-04-26,2020-04-26,5,0.0040650406504065045
2020-04-28,2020-04-28,3,0.0040650406504065045
2020-04-29,2020-04-29,8,0.0040650406504065045
2020-04-30,2020-04-30,14,0.0040650406504065045
2020-05-01,2020-05-01,7,0.0040650406504065045
2020-05-02,2020-05-02,5,0.0040650406504065045
2020-05-03,2020-05-03,3,0.0040650406504065045
2020-05-04,2020-05-04,6,0.0040650406504065045
2020-05-05,2020-05-05,3,0.0040650406504065045
2020-05-06,2020-05-06,6,0.0040650406504065045
2020-05-07,2020-05-07,5,0.0040650406504065045
2020-05-09,2020-05-09,4,0.0040650406504065045
2020-05-13,2020-05-13,11,0.0040650406504065045
2020-05-14,2020-05-14,12,0.0040650406504065045
2020-05-15,2020-05-15,5,0.0040650406504065045
2020-05-17,2020-05-17,4,0.0040650406504065045
2020-05-19,2020-05-19,6,0.0040650406504065045
2020-05-21,2020-05-21,11,0.0040650406504065045
2020-06-03,2020-06-03,12,0.0040650406504065045
2020-06-07,2020-06-07,4,0.0040650406504065045
2020-06-09,2020-06-09,14,0.0040650406504065045
2020-07-07,2020-07-07,17,0.0040650406504065045
2020-08-02,2020-08-02,19,0.0040650406504065045
2020-08-10,2020-08-10,17,0.0040650406504065045
2020-08-12,2020-08-12,7,0.0040650406504065045
2020-08-15,2020-08-15,17,0.0040650406504065045
2020-08-16,2020-08-16,12,0.0040650406504065045
2020-08-17,2020-08-17,11,0.0040650406504065045
2020-08-21,2020-08-21,15,0.0040650406504065045
2020-08-22,2020-08-22,5,0.0040650406504065045
2020-08-25,2020-08-25,8,0.0040650406504065045
2020-08-27,2020-08-27,9,0.0040650406504065045
2020-08-29,2020-08-29,10,0.0040650406504065045
2020-08-30,2020-08-30,4,0.0040650406504065045
2020-09-01,2020-09-01,10,0.0040650406504065045
2020-09-02,2020-09-02,16,0.0040650406504065045
2020-09-03,2020-09-03,9,0.0040650406504065045
2020-09-04,2020-09-04,2,0.0040650406504065045
2020-09-05,2020-09-05,16,0.0040650406504065045
2020-09-06,2020-09-06,9,0.0040650406504065045
2020-09-07,2020-09-07,5,0.0040650406504065045
2020-09-08,2020-09-08,4,0.0040650406504065045
2020-09-09,2020-09-09,14,0.0040650406504065045
2020-09-10,2020-09-10,7,0.0040650406504065045
2020-09-11,2020-09-11,17,0.0040650406504065045
2020-09-12,2020-09-12,13,0.0040650406504065045
2020-09-14,2020-09-14,14,0.0040650406504065045
2020-09-16,2020-09-16,3,0.0040650406504065045
2020-09-17,2020-09-17,18,0.0040650406504065045
2020-09-18,2020-09-18,7,0.0040650406504065045
2020-09-19,2020-09-19,8,0.0040650406504065045
2020-09-20,2020-09-20,16,0.012195121951219513
2020-09-21,2020-09-21,5,0.0040650406504065045
2020-09-22,2020-09-22,12,0.0040650406504065045
2020-09-23,2020-09-23,16,0.0040650406504065045
2020-09-24,2020-09-24,15,0.0040650406504065045
2020-09-25,2020-09-25,13,0.0040650406504065045
2020-09-26,2020-09-26,6,0.0040650406504065045
2020-09-27,2020-09-27,8,0.0040650406504065045
2020-09-28,2020-09-28,11,0.0040650406504065045
2020-09-29,2020-09-29,9,0.0040650406504065045
2020-09-30,2020-09-30,3,0.0040650406504065045
2020-10-01,2020-10-01,1,0.0040650406504065045
2020-10-02,2020-10-02,3,0.0040650406504065045
2020-10-03,2020-10-03,5,0.0040650406504065045
2020-10-04,2020-10-04,4,0.0040650406504065045
2020-10-05,2020-10-05,2,0.0040650406504065045
2020-10-06,2020-10-06,4,0.008130081300813009
2020-10-07,2020-10-07,5,0.008130081300813009
2020-10-08,2020-10-08,3,0.0040650406504065045
2020-10-09,2020-10-09,3,0.0040650406504065045
2020-10-10,2020-10-10,4,0.0040650406504065045
2020-10-11,2020-10-11,1,0.0040650406504065045
2020-10-12,2020-10-12,3,0.0040650406504065045
2020-10-13,2020-10-13,1,0.0040650406504065045
2020-10-14,2020-10-14,3,0.0040650406504065045
2020-10-15,2020-10-15,1,0.0040650406504065045
2020-10-16,2020-10-16,1,0.0040650406504065045
2020-10-17,2020-10-17,5,0.0040650406504065045
2020-10-18,2020-10-18,3,0.0040650406504065045
2020-10-19,2020-10-19,1,0.008130081300813009
2020-10-20,2020-10-20,2,0.012195121951219513
2020-10-21,2020-10-21,1,0.0040650406504065045
2020-10-22,2020-10-22,1,0.0040650406504065045
2020-10-23,2020-10-23,3,0.012195121951219513
2020-10-24,2020-10-24,1,0.008130081300813009
2020-10-25,2020-10-25,2,0.0040650406504065045
2020-10-26,2020-10-26,3,0.016260162601626018
2020-10-27,2020-10-27,1,0.0040650406504065045
2020-10-28,2020-10-28,3,0.008130081300813009
2020-10-29,2020-10-29,1,0.0040650406504065045
2020-10-30,2020-10-30,1,0.0040650406504065045
2020-10-31,2020-10-31,1,0.0040650406504065045
2020-11-01,2020-11-01,1,0.0040650406504065045
2020-11-02,2020-11-02,1,0.0040650406504065045
2020-11-03,2020-11-03,1,0.008130081300813009
2020-11-04,2020-11-04,1,0.012195121951219513
2020-11-05,2020-11-05,2,0.02032520325203252
2020-11-06,2020-11-06,1,0.0040650406504065045
2020-11-07,2020-11-07,2,0.008130081300813009
2020-11-08,2020-11-08,2,0.0040650406504065045
2020-11-09,2020-11-09,1,0.0040650406504065045
2020-11-10,2020-11-10,1,0.008130081300813009
2020-11-11,2020-11-11,1,0.0040650406504065045
2020-11-12,2020-11-12,2,0.008130081300813009
2020-11-13,2020-11-13,2,0.016260162601626018
2020-11-14,2020-11-14,2,0.008130081300813009
2020-11-15,2020-11-15,1,0.0040650406504065045
2020-11-16,2020-11-16,1,0.012195121951219513
2020-11-17,2020-11-17,1,0.008130081300813009
2020-11-18,2020-11-18,1,0.0040650406504065045
2020-11-19,2020-11-19,1,0.0040650406504065045
2020-11-20,2020-11-20,1,0.008130081300813009
2020-11-21,2020-11-21,2,0.008130081300813009
2020-11-22,2020-11-22,1,0.008130081300813009
2020-11-23,2020-11-23,2,0.012195121951219513
2020-11-24,2020-11-24,2,0.0040650406504065045
2020-11-25,2020-11-25,1,0.008130081300813009
2020-11-26,2020-11-26,2,0.0040650406504065045
2020-11-27,2020-11-27,3,0.012195121951219513
2020-11-28,2020-11-28,2,0.0040650406504065045
2020-11-29,2020-11-29,1,0.0040650406504065045
2020-11-30,2020-11-30,1,0.0040650406504065045
2020-12-01,2020-12-01,2,0.008130081300813009
2020-12-02,2020-12-02,2,0.0040650406504065045
2020-12-03,2020-12-03,1,0.0040650406504065045
2020-12-04,2020-12-04,2,0.0040650406504065045
2020-12-05,2020-12-05,7,0.0040650406504065045
2020-12-06,2020-12-06,3,0.0040650406504065045
2020-12-07,2020-12-07,4,0.0040650406504065045
2020-12-08,2020-12-08,2,0.0040650406504065045
2020-12-10,2020-12-10,4,0.0040650406504065045
2020-12-12,2020-12-12,3,0.0040650406504065045
