data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-18,2020-02-18,13,0.05801435406698564,1.0
2020-02-20,2020-02-20,16,0.056818181818181816,1.0
2020-02-22,2020-02-22,18,0.053229665071770335,1.0
2020-02-23,2020-02-23,11,0.05382775119617225,1.0
2020-02-24,2020-02-24,20,0.028708133971291867,1.0
2020-02-26,2020-02-26,14,0.05921052631578947,0.5439560439560439
2020-02-26,2020-02-26,19,0.049641148325358854,0.45604395604395603
2020-02-28,2020-02-28,17,0.050239234449760764,1.0
2020-03-01,2020-03-01,15,0.061004784688995214,1.0
2020-03-02,2020-03-02,3,0.04784688995215311,0.3463203463203463
2020-03-02,2020-03-02,5,0.04904306220095694,0.354978354978355
2020-03-02,2020-03-02,10,0.04126794258373206,0.2987012987012987
2020-03-04,2020-03-04,9,0.04904306220095694,1.0
2020-03-07,2020-03-07,4,0.05442583732057416,1.0
2020-03-08,2020-03-08,8,0.06220095693779904,0.5909090909090909
2020-03-08,2020-03-08,12,0.0430622009569378,0.4090909090909091
2020-03-09,2020-03-09,1,0.028110047846889953,1.0
2020-03-11,2020-03-11,6,0.04665071770334928,1.0
2020-03-12,2020-03-12,2,0.05921052631578947,0.55
2020-03-12,2020-03-12,7,0.04844497607655503,0.45
