data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-12,2020-02-12,15,0.05216459238968618,1.0
2020-02-18,2020-02-18,17,0.052938724468528556,1.0
2020-02-19,2020-02-19,18,0.053534210683022686,1.0
2020-02-21,2020-02-21,14,0.055499315190853334,1.0
2020-02-22,2020-02-22,11,0.05561841243375216,0.6933927245731255
2020-02-22,2020-02-22,20,0.024593580658607752,0.30660727542687455
2020-02-23,2020-02-23,19,0.051211814446495564,1.0
2020-02-24,2020-02-24,7,0.053176918954326205,1.0
2020-02-25,2020-02-25,3,0.053236467575775624,0.25601374570446733
2020-02-25,2020-02-25,12,0.050199487881855534,0.24140893470790378
2020-02-25,2020-02-25,13,0.05198594652533794,0.25
2020-02-25,2020-02-25,16,0.05252188411838266,0.25257731958762886
2020-02-29,2020-02-29,8,0.05216459238968618,1.0
2020-03-01,2020-03-01,9,0.048591675102721374,1.0
2020-03-03,2020-03-03,4,0.053236467575775624,0.33172541743970313
2020-03-03,2020-03-03,6,0.05508247484070744,0.3432282003710575
2020-03-03,2020-03-03,10,0.05216459238968618,0.3250463821892393
2020-03-05,2020-03-05,5,0.05246233549693324,1.0
2020-03-07,2020-03-07,2,0.05377240516882034,1.0
2020-03-08,2020-03-08,1,0.025844101709045435,1.0
