data_inizio,data_fine,delay,frequenza_delay
2020-02-16,2020-02-16,19,0.001447178002894356
2020-02-18,2020-02-18,19,0.001447178002894356
2020-02-19,2020-02-19,9,0.001447178002894356
2020-02-19,2020-02-19,17,0.001447178002894356
2020-02-19,2020-02-19,20,0.001447178002894356
2020-02-20,2020-02-20,9,0.001447178002894356
2020-02-21,2020-02-21,13,0.001447178002894356
2020-02-22,2020-02-22,15,0.001447178002894356
2020-02-23,2020-02-23,8,0.001447178002894356
2020-02-23,2020-02-23,11,0.001447178002894356
2020-02-23,2020-02-23,12,0.001447178002894356
2020-02-23,2020-02-23,18,0.001447178002894356
2020-02-24,2020-02-24,16,0.001447178002894356
2020-02-25,2020-02-25,15,0.001447178002894356
2020-02-26,2020-02-26,11,0.001447178002894356
2020-02-27,2020-02-27,11,0.001447178002894356
2020-02-27,2020-02-27,14,0.001447178002894356
2020-02-28,2020-02-28,12,0.001447178002894356
2020-02-29,2020-02-29,9,0.001447178002894356
2020-03-01,2020-03-01,11,0.001447178002894356
2020-03-02,2020-03-02,4,0.001447178002894356
2020-03-03,2020-03-03,7,0.001447178002894356
2020-03-04,2020-03-04,5,0.001447178002894356
2020-03-05,2020-03-05,6,0.001447178002894356
2020-03-06,2020-03-06,2,0.001447178002894356
2020-03-07,2020-03-07,1,0.001447178002894356
2020-03-07,2020-03-07,3,0.001447178002894356
2020-03-07,2020-03-07,10,0.001447178002894356
2020-03-08,2020-03-08,4,0.001447178002894356
2020-03-09,2020-03-09,5,0.002894356005788712
2020-03-10,2020-03-10,3,0.001447178002894356
2020-03-11,2020-03-11,3,0.001447178002894356
2020-03-12,2020-03-12,1,0.001447178002894356
2020-03-13,2020-03-13,3,0.001447178002894356
2020-03-14,2020-03-14,1,0.001447178002894356
2020-03-15,2020-03-15,4,0.001447178002894356
2020-03-16,2020-03-16,2,0.001447178002894356
2020-03-17,2020-03-17,4,0.001447178002894356
2020-03-18,2020-03-18,2,0.001447178002894356
2020-03-19,2020-03-19,2,0.001447178002894356
2020-03-20,2020-03-20,1,0.001447178002894356
2020-03-21,2020-03-21,1,0.001447178002894356
2020-03-22,2020-03-22,2,0.001447178002894356
2020-03-23,2020-03-23,2,0.001447178002894356
2020-03-24,2020-03-24,2,0.002894356005788712
2020-03-25,2020-03-25,2,0.004341534008683068
2020-03-26,2020-03-26,2,0.002894356005788712
2020-03-27,2020-03-27,2,0.001447178002894356
2020-03-28,2020-03-28,2,0.001447178002894356
2020-03-29,2020-03-29,2,0.002894356005788712
2020-03-30,2020-03-30,2,0.002894356005788712
2020-03-31,2020-03-31,1,0.001447178002894356
2020-04-01,2020-04-01,2,0.002894356005788712
2020-04-02,2020-04-02,2,0.001447178002894356
2020-04-03,2020-04-03,1,0.001447178002894356
2020-04-04,2020-04-04,1,0.001447178002894356
2020-04-05,2020-04-05,2,0.002894356005788712
2020-04-06,2020-04-06,1,0.001447178002894356
2020-04-07,2020-04-07,1,0.001447178002894356
2020-04-08,2020-04-08,3,0.001447178002894356
2020-04-09,2020-04-09,1,0.002894356005788712
2020-04-10,2020-04-10,3,0.001447178002894356
2020-04-11,2020-04-11,3,0.001447178002894356
2020-04-12,2020-04-12,5,0.001447178002894356
2020-04-13,2020-04-13,2,0.001447178002894356
2020-04-14,2020-04-14,2,0.002894356005788712
2020-04-15,2020-04-15,1,0.001447178002894356
2020-04-16,2020-04-16,5,0.002894356005788712
2020-04-17,2020-04-17,1,0.001447178002894356
2020-04-18,2020-04-18,2,0.001447178002894356
2020-04-19,2020-04-19,1,0.002894356005788712
2020-04-20,2020-04-20,1,0.001447178002894356
2020-04-21,2020-04-21,3,0.001447178002894356
2020-04-22,2020-04-22,1,0.001447178002894356
2020-04-23,2020-04-23,1,0.001447178002894356
2020-04-24,2020-04-24,3,0.001447178002894356
2020-04-25,2020-04-25,2,0.001447178002894356
2020-04-26,2020-04-26,2,0.004341534008683068
2020-04-27,2020-04-27,1,0.002894356005788712
2020-04-28,2020-04-28,1,0.004341534008683068
