data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-23,2020-02-23,1,0.027741655830082357,1.0
2020-02-24,2020-02-24,15,0.052882531426094496,0.3505747126436782
2020-02-24,2020-02-24,17,0.05114867793671435,0.3390804597701149
2020-02-24,2020-02-24,19,0.04681404421326398,0.3103448275862069
2020-02-25,2020-02-25,13,0.05114867793671435,0.6941176470588235
2020-02-25,2020-02-25,20,0.022540095361941917,0.3058823529411765
2020-02-26,2020-02-26,10,0.054616384915474644,0.5271966527196653
2020-02-26,2020-02-26,11,0.04898136107498916,0.47280334728033474
2020-02-27,2020-02-27,7,0.05244906805374946,1.0
2020-02-28,2020-02-28,4,0.0494148244473342,1.0
2020-02-29,2020-02-29,5,0.05851755526657997,1.0
2020-03-03,2020-03-03,14,0.055049848287819676,1.0
2020-03-04,2020-03-04,12,0.055483311660164715,1.0
2020-03-05,2020-03-05,2,0.06241872561768531,0.38095238095238093
2020-03-05,2020-03-05,9,0.04681404421326398,0.2857142857142857
2020-03-05,2020-03-05,16,0.054616384915474644,0.3333333333333333
2020-03-10,2020-03-10,8,0.05244906805374946,1.0
2020-03-11,2020-03-11,18,0.045080190723883834,1.0
2020-03-16,2020-03-16,6,0.05895101863892501,1.0
2020-03-22,2020-03-22,3,0.052882531426094496,1.0
