data_inizio,data_fine,delay,frequenza_delay
2020-02-27,2020-02-28,15,0.0007639419404125286
2020-02-27,2020-02-28,1,0.0007639419404125286
2020-02-29,2020-03-01,2,0.0007639419404125286
2020-02-29,2020-03-01,0,0.0007639419404125286
2020-03-01,2020-03-02,2,0.0015278838808250573
2020-03-02,2020-03-03,2,0.0007639419404125286
2020-03-03,2020-03-04,2,0.0007639419404125286
2020-03-03,2020-03-04,3,0.0007639419404125286
2020-03-04,2020-03-05,17,0.0007639419404125286
2020-03-05,2020-03-06,0,0.0007639419404125286
2020-03-05,2020-03-06,43,0.0007639419404125286
2020-03-06,2020-03-07,0,0.002291825821237586
2020-03-06,2020-03-07,9,0.0007639419404125286
2020-03-07,2020-03-08,2,0.0015278838808250573
2020-03-07,2020-03-08,8,0.0007639419404125286
2020-03-08,2020-03-09,0,0.0015278838808250573
2020-03-08,2020-03-09,14,0.0007639419404125286
2020-03-09,2020-03-10,0,0.0007639419404125286
2020-03-09,2020-03-10,22,0.0007639419404125286
2020-03-09,2020-03-10,23,0.0015278838808250573
2020-03-09,2020-03-10,12,0.0007639419404125286
2020-03-10,2020-03-11,0,0.0015278838808250573
2020-03-10,2020-03-11,65,0.0007639419404125286
2020-03-10,2020-03-11,7,0.0007639419404125286
2020-03-11,2020-03-12,0,0.002291825821237586
2020-03-11,2020-03-12,6,0.0007639419404125286
2020-03-11,2020-03-12,34,0.0007639419404125286
2020-03-12,2020-03-13,1,0.002291825821237586
2020-03-13,2020-03-14,8,0.0007639419404125286
2020-03-13,2020-03-14,4,0.0007639419404125286
2020-03-13,2020-03-14,25,0.0007639419404125286
2020-03-14,2020-03-15,1,0.0038197097020626434
2020-03-14,2020-03-15,31,0.0007639419404125286
2020-03-14,2020-03-15,41,0.0007639419404125286
2020-03-15,2020-03-16,1,0.006875477463712758
2020-03-15,2020-03-16,24,0.0007639419404125286
2020-03-15,2020-03-16,58,0.0007639419404125286
2020-03-15,2020-03-16,67,0.0007639419404125286
2020-03-16,2020-03-17,0,0.0053475935828877
2020-03-16,2020-03-17,18,0.0007639419404125286
2020-03-16,2020-03-17,10,0.0007639419404125286
2020-03-16,2020-03-17,16,0.0007639419404125286
2020-03-16,2020-03-17,19,0.0007639419404125286
2020-03-17,2020-03-18,2,0.002291825821237586
2020-03-17,2020-03-18,5,0.002291825821237586
2020-03-17,2020-03-18,13,0.0007639419404125286
2020-03-18,2020-03-19,2,0.0038197097020626434
2020-03-18,2020-03-19,20,0.0007639419404125286
2020-03-19,2020-03-20,0,0.0030557677616501145
2020-03-19,2020-03-20,85,0.0007639419404125286
2020-03-20,2020-03-21,24,0.0007639419404125286
2020-03-20,2020-03-21,11,0.0015278838808250573
2020-03-20,2020-03-21,73,0.0007639419404125286
2020-03-20,2020-03-21,37,0.0007639419404125286
2020-03-21,2020-03-22,34,0.0007639419404125286
2020-03-21,2020-03-22,33,0.0007639419404125286
2020-03-22,2020-03-23,1,0.0053475935828877
2020-03-23,2020-03-24,0,0.006111535523300229
2020-03-23,2020-03-24,57,0.0007639419404125286
2020-03-24,2020-03-25,0,0.006875477463712758
2020-03-25,2020-03-26,3,0.0030557677616501145
2020-03-25,2020-03-26,48,0.0007639419404125286
2020-03-25,2020-03-26,51,0.0007639419404125286
2020-03-25,2020-03-26,28,0.0007639419404125286
2020-03-26,2020-03-27,2,0.006111535523300229
2020-03-26,2020-03-27,21,0.0015278838808250573
2020-03-26,2020-03-27,42,0.0007639419404125286
2020-03-26,2020-03-27,53,0.0007639419404125286
2020-03-26,2020-03-27,32,0.0007639419404125286
2020-03-27,2020-03-28,1,0.006111535523300229
2020-03-28,2020-03-29,35,0.0015278838808250573
2020-03-29,2020-03-30,0,0.0030557677616501145
2020-03-30,2020-03-31,31,0.0007639419404125286
2020-03-31,2020-04-01,0,0.006111535523300229
2020-03-31,2020-04-01,69,0.0007639419404125286
2020-04-01,2020-04-02,0,0.006111535523300229
2020-04-01,2020-04-02,61,0.0007639419404125286
2020-04-02,2020-04-03,0,0.004583651642475172
2020-04-03,2020-04-04,8,0.0007639419404125286
2020-04-04,2020-04-05,8,0.0007639419404125286
2020-04-04,2020-04-05,27,0.0007639419404125286
2020-04-05,2020-04-06,0,0.006111535523300229
2020-04-05,2020-04-06,46,0.0007639419404125286
2020-04-05,2020-04-06,40,0.0007639419404125286
2020-04-06,2020-04-07,0,0.0106951871657754
2020-04-06,2020-04-07,38,0.0007639419404125286
2020-04-06,2020-04-07,79,0.0007639419404125286
2020-04-06,2020-04-07,44,0.0007639419404125286
2020-04-07,2020-04-08,0,0.0030557677616501145
2020-04-08,2020-04-09,0,0.0038197097020626434
2020-04-08,2020-04-09,29,0.0007639419404125286
2020-04-08,2020-04-09,39,0.0007639419404125286
2020-04-09,2020-04-10,2,0.002291825821237586
2020-04-10,2020-04-11,0,0.007639419404125287
2020-04-10,2020-04-11,26,0.0007639419404125286
2020-04-11,2020-04-12,4,0.0007639419404125286
2020-04-11,2020-04-12,47,0.0007639419404125286
2020-04-12,2020-04-13,0,0.009167303284950344
2020-04-13,2020-04-14,3,0.0053475935828877
