data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-04-03,2020-05-03,0,0.12790697674418605,0.3142857142857143
2020-04-03,2020-05-03,2,0.13953488372093023,0.34285714285714286
2020-04-03,2020-05-03,3,0.13953488372093023,0.34285714285714286
2020-05-04,2020-06-03,19,0.011627906976744186,1.0
2020-07-05,2020-08-04,1,0.1744186046511628,1.0
2020-08-05,2020-09-04,5,0.03488372093023256,1.0
2020-09-05,2020-10-05,16,0.023255813953488372,0.6666666666666666
2020-09-05,2020-10-05,7,0.011627906976744186,0.3333333333333333
2020-10-06,2020-11-05,38,0.011627906976744186,0.043478260869565216
2020-10-06,2020-11-05,11,0.023255813953488372,0.08695652173913043
2020-10-06,2020-11-05,4,0.03488372093023256,0.13043478260869565
2020-10-06,2020-11-05,8,0.046511627906976744,0.17391304347826086
2020-10-06,2020-11-05,6,0.08139534883720931,0.30434782608695654
2020-10-06,2020-11-05,12,0.05813953488372093,0.21739130434782608
2020-10-06,2020-11-05,10,0.011627906976744186,0.043478260869565216
2020-11-06,2020-12-06,37,0.023255813953488372,0.3333333333333333
2020-11-06,2020-12-06,40,0.011627906976744186,0.16666666666666666
2020-11-06,2020-12-06,15,0.011627906976744186,0.16666666666666666
2020-11-06,2020-12-06,9,0.011627906976744186,0.16666666666666666
2020-11-06,2020-12-06,32,0.011627906976744186,0.16666666666666666
