data_inizio,data_fine,delay,frequenza_delay
2020-03-07,2020-03-07,2,0.004608294930875576
2020-03-07,2020-03-07,30,0.004608294930875576
2020-03-10,2020-03-10,1,0.004608294930875576
2020-03-11,2020-03-11,4,0.004608294930875576
2020-03-15,2020-03-15,5,0.004608294930875576
2020-03-16,2020-03-16,12,0.004608294930875576
2020-03-16,2020-03-16,14,0.004608294930875576
2020-03-18,2020-03-18,0,0.004608294930875576
2020-03-19,2020-03-19,2,0.009216589861751152
2020-03-20,2020-03-20,6,0.009216589861751152
2020-03-21,2020-03-21,1,0.004608294930875576
2020-03-21,2020-03-21,11,0.004608294930875576
2020-03-21,2020-03-21,22,0.004608294930875576
2020-03-22,2020-03-22,1,0.004608294930875576
2020-03-22,2020-03-22,7,0.004608294930875576
2020-03-23,2020-03-23,1,0.004608294930875576
2020-03-23,2020-03-23,3,0.004608294930875576
2020-03-23,2020-03-23,10,0.004608294930875576
2020-03-24,2020-03-24,6,0.004608294930875576
2020-03-24,2020-03-24,34,0.004608294930875576
2020-03-26,2020-03-26,1,0.009216589861751152
2020-03-27,2020-03-27,0,0.004608294930875576
2020-03-29,2020-03-29,1,0.004608294930875576
2020-03-29,2020-03-29,20,0.004608294930875576
2020-03-30,2020-03-30,11,0.004608294930875576
2020-03-31,2020-03-31,13,0.004608294930875576
2020-04-01,2020-04-01,0,0.004608294930875576
2020-04-02,2020-04-02,6,0.004608294930875576
2020-04-05,2020-04-05,5,0.004608294930875576
2020-04-06,2020-04-06,3,0.004608294930875576
2020-04-07,2020-04-07,12,0.004608294930875576
2020-04-08,2020-04-08,4,0.004608294930875576
2020-04-09,2020-04-09,1,0.004608294930875576
2020-04-10,2020-04-10,3,0.004608294930875576
2020-04-11,2020-04-11,45,0.004608294930875576
2020-04-13,2020-04-13,16,0.004608294930875576
2020-04-13,2020-04-13,47,0.004608294930875576
2020-04-14,2020-04-14,10,0.004608294930875576
2020-04-15,2020-04-15,19,0.004608294930875576
2020-04-16,2020-04-16,3,0.004608294930875576
2020-04-19,2020-04-19,3,0.004608294930875576
2020-04-21,2020-04-21,6,0.004608294930875576
2020-04-23,2020-04-23,0,0.004608294930875576
2020-04-23,2020-04-23,17,0.004608294930875576
2020-04-24,2020-04-24,5,0.009216589861751152
2020-04-25,2020-04-25,0,0.004608294930875576
2020-04-26,2020-04-26,27,0.004608294930875576
2020-04-28,2020-04-28,1,0.004608294930875576
2020-04-28,2020-04-28,26,0.004608294930875576
2020-04-29,2020-04-29,7,0.004608294930875576
2020-04-30,2020-04-30,15,0.004608294930875576
2020-04-30,2020-04-30,18,0.004608294930875576
2020-05-01,2020-05-01,15,0.004608294930875576
2020-05-03,2020-05-03,29,0.004608294930875576
2020-05-06,2020-05-06,3,0.004608294930875576
2020-05-08,2020-05-08,10,0.004608294930875576
2020-05-09,2020-05-09,13,0.004608294930875576
2020-05-11,2020-05-11,3,0.004608294930875576
2020-05-13,2020-05-13,2,0.004608294930875576
2020-05-15,2020-05-15,4,0.004608294930875576
2020-05-16,2020-05-16,17,0.004608294930875576
2020-05-25,2020-05-25,2,0.004608294930875576
2020-06-02,2020-06-02,3,0.004608294930875576
2020-06-06,2020-06-06,3,0.004608294930875576
2020-07-31,2020-07-31,12,0.004608294930875576
2020-08-07,2020-08-07,2,0.004608294930875576
2020-08-13,2020-08-13,7,0.004608294930875576
2020-08-29,2020-08-29,0,0.004608294930875576
2020-09-03,2020-09-03,39,0.004608294930875576
2020-09-04,2020-09-04,4,0.004608294930875576
2020-09-05,2020-09-05,0,0.004608294930875576
2020-09-07,2020-09-07,1,0.004608294930875576
2020-09-11,2020-09-11,2,0.004608294930875576
2020-09-12,2020-09-12,17,0.004608294930875576
2020-09-14,2020-09-14,4,0.004608294930875576
2020-09-15,2020-09-15,1,0.004608294930875576
2020-09-18,2020-09-18,1,0.004608294930875576
2020-09-21,2020-09-21,3,0.004608294930875576
2020-09-23,2020-09-23,3,0.004608294930875576
2020-09-25,2020-09-25,8,0.004608294930875576
2020-09-28,2020-09-28,6,0.004608294930875576
2020-09-29,2020-09-29,2,0.004608294930875576
2020-10-02,2020-10-02,10,0.004608294930875576
2020-10-03,2020-10-03,14,0.004608294930875576
2020-10-05,2020-10-05,2,0.004608294930875576
2020-10-06,2020-10-06,8,0.004608294930875576
2020-10-07,2020-10-07,5,0.004608294930875576
2020-10-09,2020-10-09,0,0.004608294930875576
2020-10-10,2020-10-10,2,0.009216589861751152
2020-10-11,2020-10-11,4,0.004608294930875576
2020-10-12,2020-10-12,0,0.004608294930875576
2020-10-13,2020-10-13,0,0.004608294930875576
2020-10-14,2020-10-14,13,0.004608294930875576
2020-10-15,2020-10-15,6,0.004608294930875576
2020-10-16,2020-10-16,25,0.004608294930875576
2020-10-17,2020-10-17,16,0.004608294930875576
2020-10-18,2020-10-18,9,0.004608294930875576
2020-10-19,2020-10-19,22,0.004608294930875576
2020-10-20,2020-10-20,1,0.009216589861751152
2020-10-20,2020-10-20,21,0.004608294930875576
