data_inizio,data_fine,delay,frequenza_delay
2020-03-04,2020-03-05,14,0.0038461538461538464
2020-03-08,2020-03-09,15,0.0038461538461538464
2020-03-09,2020-03-10,23,0.0038461538461538464
2020-03-09,2020-03-10,6,0.0038461538461538464
2020-03-10,2020-03-11,6,0.0038461538461538464
2020-03-11,2020-03-12,9,0.0038461538461538464
2020-03-11,2020-03-12,47,0.0038461538461538464
2020-03-11,2020-03-12,17,0.0038461538461538464
2020-03-11,2020-03-12,43,0.0038461538461538464
2020-03-12,2020-03-13,40,0.0038461538461538464
2020-03-13,2020-03-14,20,0.0038461538461538464
2020-03-13,2020-03-14,37,0.0038461538461538464
2020-03-13,2020-03-14,21,0.0038461538461538464
2020-03-14,2020-03-15,37,0.0038461538461538464
2020-03-14,2020-03-15,18,0.0038461538461538464
2020-03-14,2020-03-15,38,0.0038461538461538464
2020-03-15,2020-03-16,3,0.0038461538461538464
2020-03-16,2020-03-17,29,0.0038461538461538464
2020-03-16,2020-03-17,24,0.0038461538461538464
2020-03-16,2020-03-17,8,0.0038461538461538464
2020-03-17,2020-03-18,34,0.0038461538461538464
2020-03-17,2020-03-18,19,0.0038461538461538464
2020-03-17,2020-03-18,5,0.0038461538461538464
2020-03-17,2020-03-18,31,0.0038461538461538464
2020-03-17,2020-03-18,11,0.0038461538461538464
2020-03-17,2020-03-18,10,0.0038461538461538464
2020-03-17,2020-03-18,32,0.0038461538461538464
2020-03-18,2020-03-19,15,0.0038461538461538464
2020-03-18,2020-03-19,28,0.0038461538461538464
2020-03-19,2020-03-20,34,0.0038461538461538464
2020-03-19,2020-03-20,42,0.0038461538461538464
2020-03-20,2020-03-21,37,0.0038461538461538464
2020-03-20,2020-03-21,41,0.0038461538461538464
2020-03-20,2020-03-21,4,0.0038461538461538464
2020-03-21,2020-03-22,42,0.0038461538461538464
2020-03-21,2020-03-22,33,0.0038461538461538464
2020-03-22,2020-03-23,6,0.0038461538461538464
2020-03-22,2020-03-23,25,0.0038461538461538464
2020-03-22,2020-03-23,39,0.0038461538461538464
2020-03-22,2020-03-23,2,0.0038461538461538464
2020-03-23,2020-03-24,14,0.0038461538461538464
2020-03-24,2020-03-25,6,0.0038461538461538464
2020-03-24,2020-03-25,12,0.0038461538461538464
2020-03-24,2020-03-25,16,0.0038461538461538464
2020-03-24,2020-03-25,50,0.0038461538461538464
2020-03-25,2020-03-26,5,0.0038461538461538464
2020-03-25,2020-03-26,36,0.0038461538461538464
2020-03-26,2020-03-27,9,0.0038461538461538464
2020-03-27,2020-03-28,26,0.0038461538461538464
2020-03-27,2020-03-28,48,0.0038461538461538464
2020-03-28,2020-03-29,13,0.0038461538461538464
2020-03-28,2020-03-29,22,0.0038461538461538464
2020-03-29,2020-03-30,14,0.0038461538461538464
2020-03-29,2020-03-30,1,0.0038461538461538464
2020-03-30,2020-03-31,13,0.0038461538461538464
2020-03-30,2020-03-31,55,0.0038461538461538464
2020-03-31,2020-04-01,6,0.0038461538461538464
2020-04-01,2020-04-02,2,0.0038461538461538464
2020-04-02,2020-04-03,6,0.0038461538461538464
2020-04-03,2020-04-04,21,0.0038461538461538464
2020-04-04,2020-04-05,18,0.0038461538461538464
2020-04-05,2020-04-06,37,0.0038461538461538464
2020-04-06,2020-04-07,3,0.0038461538461538464
2020-04-07,2020-04-08,21,0.0038461538461538464
2020-04-07,2020-04-08,58,0.0038461538461538464
2020-04-08,2020-04-09,1,0.0038461538461538464
2020-04-09,2020-04-10,14,0.0038461538461538464
2020-04-10,2020-04-11,10,0.0038461538461538464
2020-04-11,2020-04-12,35,0.0038461538461538464
2020-04-12,2020-04-13,5,0.0038461538461538464
2020-04-13,2020-04-14,8,0.0038461538461538464
2020-04-14,2020-04-15,24,0.0038461538461538464
2020-04-15,2020-04-16,10,0.0038461538461538464
2020-04-16,2020-04-17,51,0.0038461538461538464
2020-04-17,2020-04-18,17,0.0038461538461538464
2020-04-18,2020-04-19,42,0.0038461538461538464
2020-04-19,2020-04-20,17,0.0038461538461538464
2020-04-19,2020-04-20,7,0.0038461538461538464
2020-04-20,2020-04-21,12,0.0038461538461538464
2020-04-21,2020-04-22,18,0.0038461538461538464
2020-04-22,2020-04-23,4,0.0038461538461538464
2020-04-23,2020-04-24,87,0.0038461538461538464
2020-04-24,2020-04-25,12,0.007692307692307693
2020-04-25,2020-04-26,76,0.0038461538461538464
2020-04-26,2020-04-27,33,0.0038461538461538464
2020-04-28,2020-04-29,35,0.0038461538461538464
2020-04-29,2020-04-30,14,0.0038461538461538464
2020-05-01,2020-05-02,13,0.0038461538461538464
2020-05-02,2020-05-03,34,0.0038461538461538464
2020-05-03,2020-05-04,2,0.0038461538461538464
2020-05-04,2020-05-05,23,0.0038461538461538464
2020-05-05,2020-05-06,4,0.0038461538461538464
2020-05-08,2020-05-09,14,0.0038461538461538464
2020-05-09,2020-05-10,12,0.0038461538461538464
2020-05-10,2020-05-11,11,0.0038461538461538464
2020-05-11,2020-05-12,45,0.0038461538461538464
2020-05-12,2020-05-13,5,0.007692307692307693
2020-05-21,2020-05-22,14,0.0038461538461538464
2020-05-24,2020-05-25,5,0.0038461538461538464
2020-05-28,2020-05-29,19,0.0038461538461538464
2020-05-29,2020-05-30,9,0.0038461538461538464
2020-05-30,2020-05-31,49,0.0038461538461538464
2020-05-31,2020-06-01,14,0.0038461538461538464
2020-06-02,2020-06-03,29,0.0038461538461538464
2020-06-05,2020-06-06,15,0.0038461538461538464
2020-06-07,2020-06-08,26,0.0038461538461538464
2020-06-12,2020-06-13,4,0.0038461538461538464
2020-06-13,2020-06-14,13,0.0038461538461538464
2020-06-21,2020-06-22,11,0.0038461538461538464
2020-06-30,2020-07-01,19,0.0038461538461538464
2020-07-23,2020-07-24,16,0.0038461538461538464
2020-08-10,2020-08-11,10,0.0038461538461538464
2020-08-12,2020-08-13,4,0.0038461538461538464
2020-08-21,2020-08-22,8,0.0038461538461538464
2020-08-23,2020-08-24,7,0.0038461538461538464
2020-09-02,2020-09-03,38,0.0038461538461538464
2020-09-05,2020-09-06,23,0.0038461538461538464
2020-09-06,2020-09-07,11,0.0038461538461538464
2020-09-09,2020-09-10,10,0.0038461538461538464
2020-09-10,2020-09-11,6,0.0038461538461538464
2020-09-12,2020-09-13,2,0.0038461538461538464
2020-09-13,2020-09-14,11,0.0038461538461538464
2020-09-14,2020-09-15,17,0.0038461538461538464
2020-09-15,2020-09-16,5,0.0038461538461538464
2020-09-16,2020-09-17,15,0.0038461538461538464
2020-09-20,2020-09-21,17,0.0038461538461538464
2020-09-22,2020-09-23,20,0.0038461538461538464
2020-09-23,2020-09-24,20,0.0038461538461538464
2020-09-24,2020-09-25,14,0.0038461538461538464
2020-09-27,2020-09-28,60,0.0038461538461538464
2020-09-30,2020-10-01,42,0.0038461538461538464
2020-10-01,2020-10-02,14,0.0038461538461538464
2020-10-02,2020-10-03,19,0.0038461538461538464
2020-10-04,2020-10-05,12,0.0038461538461538464
2020-10-05,2020-10-06,36,0.0038461538461538464
2020-10-07,2020-10-08,43,0.0038461538461538464
2020-10-08,2020-10-09,1,0.0038461538461538464
2020-10-08,2020-10-09,63,0.0038461538461538464
2020-10-08,2020-10-09,27,0.0038461538461538464
2020-10-09,2020-10-10,18,0.0038461538461538464
2020-10-11,2020-10-12,2,0.0038461538461538464
2020-10-12,2020-10-13,2,0.0038461538461538464
2020-10-14,2020-10-15,7,0.0038461538461538464
2020-10-14,2020-10-15,30,0.0038461538461538464
2020-10-15,2020-10-16,11,0.007692307692307693
2020-10-15,2020-10-16,73,0.0038461538461538464
2020-10-16,2020-10-17,9,0.0038461538461538464
2020-10-17,2020-10-18,12,0.007692307692307693
2020-10-18,2020-10-19,2,0.0038461538461538464
2020-10-19,2020-10-20,17,0.0038461538461538464
2020-10-20,2020-10-21,15,0.0038461538461538464
2020-10-21,2020-10-22,5,0.0038461538461538464
2020-10-22,2020-10-23,12,0.0038461538461538464
2020-10-23,2020-10-24,24,0.007692307692307693
2020-10-23,2020-10-24,65,0.0038461538461538464
2020-10-24,2020-10-25,17,0.0038461538461538464
2020-10-24,2020-10-25,64,0.0038461538461538464
2020-10-25,2020-10-26,11,0.007692307692307693
2020-10-26,2020-10-27,27,0.0038461538461538464
2020-10-27,2020-10-28,1,0.0038461538461538464
2020-10-28,2020-10-29,22,0.0038461538461538464
2020-10-28,2020-10-29,54,0.0038461538461538464
2020-10-29,2020-10-30,22,0.0038461538461538464
2020-10-29,2020-10-30,59,0.0038461538461538464
2020-10-30,2020-10-31,15,0.0038461538461538464
2020-10-30,2020-10-31,52,0.0038461538461538464
2020-10-31,2020-11-01,38,0.0038461538461538464
2020-10-31,2020-11-01,57,0.0038461538461538464
2020-11-01,2020-11-02,20,0.007692307692307693
2020-11-02,2020-11-03,8,0.011538461538461539
2020-11-03,2020-11-04,28,0.0038461538461538464
2020-11-03,2020-11-04,46,0.0038461538461538464
2020-11-04,2020-11-05,15,0.007692307692307693
2020-11-05,2020-11-06,7,0.0038461538461538464
2020-11-06,2020-11-07,2,0.0038461538461538464
2020-11-07,2020-11-08,14,0.0038461538461538464
2020-11-08,2020-11-09,40,0.0038461538461538464
2020-11-09,2020-11-10,11,0.007692307692307693
2020-11-10,2020-11-11,18,0.011538461538461539
2020-11-11,2020-11-12,17,0.007692307692307693
2020-11-12,2020-11-13,45,0.011538461538461539
2020-11-13,2020-11-14,31,0.007692307692307693
2020-11-13,2020-11-14,44,0.007692307692307693
2020-11-14,2020-11-15,43,0.015384615384615385
2020-11-15,2020-11-16,28,0.0038461538461538464
2020-11-15,2020-11-16,0,0.0038461538461538464
2020-11-16,2020-11-17,32,0.0038461538461538464
2020-11-17,2020-11-18,10,0.0038461538461538464
2020-11-18,2020-11-19,39,0.011538461538461539
2020-11-19,2020-11-20,35,0.007692307692307693
2020-11-20,2020-11-21,37,0.023076923076923078
2020-11-21,2020-11-22,8,0.0038461538461538464
2020-11-22,2020-11-23,17,0.007692307692307693
2020-11-23,2020-11-24,22,0.0038461538461538464
2020-11-24,2020-11-25,1,0.0038461538461538464
2020-11-25,2020-11-26,15,0.0038461538461538464
2020-11-26,2020-11-27,11,0.0038461538461538464
2020-11-27,2020-11-28,23,0.0038461538461538464
2020-11-28,2020-11-29,17,0.0038461538461538464
2020-11-29,2020-11-30,13,0.0038461538461538464
2020-11-30,2020-12-01,27,0.007692307692307693
2020-12-01,2020-12-02,12,0.0038461538461538464
2020-12-02,2020-12-03,5,0.0038461538461538464
2020-12-03,2020-12-04,13,0.0038461538461538464
2020-12-04,2020-12-05,8,0.007692307692307693
2020-12-05,2020-12-06,22,0.015384615384615385
2020-12-06,2020-12-07,12,0.0038461538461538464
2020-12-07,2020-12-08,5,0.007692307692307693
2020-12-08,2020-12-09,19,0.015384615384615385
2020-12-09,2020-12-10,17,0.0038461538461538464
2020-12-10,2020-12-11,13,0.0038461538461538464
2020-12-11,2020-12-12,16,0.011538461538461539
2020-12-12,2020-12-13,14,0.0038461538461538464
2020-12-13,2020-12-14,11,0.0038461538461538464
2020-12-14,2020-12-15,6,0.0038461538461538464
2020-12-15,2020-12-16,12,0.0038461538461538464
2020-12-16,2020-12-17,6,0.0038461538461538464
2020-12-17,2020-12-18,10,0.0038461538461538464
2020-12-18,2020-12-19,9,0.0038461538461538464
