data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-24,2020-02-25,11,0.034125874125874124,1.0
2020-02-26,2020-02-27,58,0.0025174825174825175,1.0
2020-02-28,2020-02-29,6,0.04587412587412588,1.0
2020-03-01,2020-03-02,16,0.026853146853146853,0.9896907216494846
2020-03-01,2020-03-02,115,0.0002797202797202797,0.010309278350515464
2020-03-03,2020-03-04,3,0.0413986013986014,0.31422505307855625
2020-03-03,2020-03-04,4,0.0441958041958042,0.3354564755838641
2020-03-03,2020-03-04,24,0.02041958041958042,0.15498938428874734
2020-03-03,2020-03-04,14,0.025734265734265734,0.19532908704883228
2020-03-05,2020-03-06,19,0.0220979020979021,0.16989247311827957
2020-03-05,2020-03-06,33,0.012587412587412588,0.0967741935483871
2020-03-05,2020-03-06,10,0.03776223776223776,0.2903225806451613
2020-03-05,2020-03-06,15,0.025174825174825177,0.1935483870967742
2020-03-05,2020-03-06,12,0.03244755244755245,0.24946236559139784
2020-03-07,2020-03-08,25,0.017062937062937062,0.5922330097087378
2020-03-07,2020-03-08,30,0.011748251748251748,0.4077669902912621
2020-03-09,2020-03-10,2,0.03608391608391608,0.4607142857142857
2020-03-09,2020-03-10,35,0.012027972027972029,0.15357142857142858
2020-03-09,2020-03-10,13,0.03020979020979021,0.38571428571428573
2020-03-11,2020-03-12,1,0.023216783216783218,0.19347319347319347
2020-03-11,2020-03-12,8,0.03468531468531469,0.289044289044289
2020-03-11,2020-03-12,18,0.019580419580419582,0.16317016317016317
2020-03-11,2020-03-12,21,0.01902097902097902,0.1585081585081585
2020-03-11,2020-03-12,55,0.0025174825174825175,0.02097902097902098
2020-03-11,2020-03-12,22,0.02097902097902098,0.17482517482517482
2020-03-13,2020-03-14,9,0.0344055944055944,0.3954983922829582
2020-03-13,2020-03-14,39,0.008111888111888113,0.0932475884244373
2020-03-13,2020-03-14,23,0.02041958041958042,0.2347266881028939
2020-03-13,2020-03-14,71,0.0002797202797202797,0.003215434083601286
2020-03-13,2020-03-14,41,0.0064335664335664336,0.07395498392282958
2020-03-13,2020-03-14,27,0.013426573426573427,0.15434083601286175
2020-03-13,2020-03-14,61,0.001958041958041958,0.022508038585209004
2020-03-13,2020-03-14,66,0.001958041958041958,0.022508038585209004
2020-03-15,2020-03-16,7,0.03468531468531469,0.18208516886930984
2020-03-15,2020-03-16,48,0.0033566433566433566,0.01762114537444934
2020-03-15,2020-03-16,34,0.01006993006993007,0.05286343612334802
2020-03-15,2020-03-16,0,0.00951048951048951,0.049926578560939794
2020-03-15,2020-03-16,5,0.04559440559440559,0.2393538913362702
2020-03-15,2020-03-16,20,0.01902097902097902,0.09985315712187959
2020-03-15,2020-03-16,28,0.013986013986013986,0.07342143906020558
2020-03-15,2020-03-16,37,0.008671328671328672,0.04552129221732746
2020-03-15,2020-03-16,17,0.025454545454545455,0.13362701908957417
2020-03-15,2020-03-16,78,0.0002797202797202797,0.0014684287812041115
2020-03-15,2020-03-16,31,0.013706293706293707,0.07195301027900147
2020-03-15,2020-03-16,46,0.006153846153846154,0.032305433186490456
2020-03-17,2020-03-18,29,0.012587412587412588,0.41284403669724773
2020-03-17,2020-03-18,32,0.012027972027972029,0.3944954128440367
2020-03-17,2020-03-18,45,0.005314685314685315,0.1743119266055046
2020-03-17,2020-03-18,60,0.0005594405594405594,0.01834862385321101
2020-03-19,2020-03-20,51,0.003076923076923077,1.0
2020-03-21,2020-03-22,64,0.0008391608391608392,0.08108108108108109
2020-03-21,2020-03-22,59,0.0011188811188811189,0.10810810810810811
2020-03-21,2020-03-22,95,0.0002797202797202797,0.02702702702702703
2020-03-21,2020-03-22,40,0.008111888111888113,0.7837837837837838
2020-03-23,2020-03-24,156,0.0005594405594405594,0.03333333333333333
2020-03-23,2020-03-24,80,0.0002797202797202797,0.016666666666666666
2020-03-23,2020-03-24,26,0.015944055944055943,0.95
2020-03-25,2020-03-26,50,0.003916083916083916,0.19718309859154928
2020-03-25,2020-03-26,38,0.0075524475524475524,0.38028169014084506
2020-03-25,2020-03-26,43,0.005594405594405594,0.28169014084507044
2020-03-25,2020-03-26,81,0.0002797202797202797,0.014084507042253521
2020-03-25,2020-03-26,53,0.0025174825174825175,0.1267605633802817
2020-03-27,2020-03-28,52,0.0016783216783216783,0.07142857142857142
2020-03-27,2020-03-28,36,0.01090909090909091,0.4642857142857143
2020-03-27,2020-03-28,42,0.005874125874125874,0.25
2020-03-27,2020-03-28,49,0.0033566433566433566,0.14285714285714285
2020-03-27,2020-03-28,57,0.0016783216783216783,0.07142857142857142
2020-03-29,2020-03-30,54,0.0022377622377622378,0.7272727272727273
2020-03-29,2020-03-30,63,0.0008391608391608392,0.2727272727272727
2020-03-31,2020-04-01,88,0.0005594405594405594,1.0
2020-04-02,2020-04-03,82,0.0005594405594405594,1.0
2020-04-06,2020-04-07,47,0.004195804195804196,1.0
2020-04-08,2020-04-09,65,0.0002797202797202797,0.5
2020-04-08,2020-04-09,85,0.0002797202797202797,0.5
2020-04-12,2020-04-13,79,0.0005594405594405594,0.3333333333333333
2020-04-12,2020-04-13,86,0.0002797202797202797,0.16666666666666666
2020-04-12,2020-04-13,73,0.0008391608391608392,0.5
2020-04-14,2020-04-15,69,0.0002797202797202797,1.0
2020-04-18,2020-04-19,44,0.0064335664335664336,1.0
2020-04-20,2020-04-21,67,0.0002797202797202797,0.5
2020-04-20,2020-04-21,83,0.0002797202797202797,0.5
2020-05-20,2020-05-21,119,0.0002797202797202797,1.0
2020-09-25,2020-09-26,74,0.0002797202797202797,1.0
2020-10-15,2020-10-16,72,0.0002797202797202797,1.0
2020-10-17,2020-10-18,70,0.0002797202797202797,1.0
2020-10-31,2020-11-01,56,0.0008391608391608392,1.0
