data_inizio,data_fine,delay,frequenza_delay
2020-03-10,2020-03-10,7,0.0055248618784530384
2020-03-10,2020-03-10,10,0.0055248618784530384
2020-03-11,2020-03-11,11,0.0055248618784530384
2020-03-11,2020-03-11,6,0.0055248618784530384
2020-03-16,2020-03-16,20,0.0055248618784530384
2020-03-18,2020-03-18,3,0.0055248618784530384
2020-03-18,2020-03-18,13,0.0055248618784530384
2020-03-19,2020-03-19,8,0.0055248618784530384
2020-03-20,2020-03-20,15,0.0055248618784530384
2020-03-21,2020-03-21,4,0.0055248618784530384
2020-03-21,2020-03-21,31,0.0055248618784530384
2020-03-22,2020-03-22,2,0.0055248618784530384
2020-03-23,2020-03-23,8,0.0055248618784530384
2020-03-23,2020-03-23,12,0.0055248618784530384
2020-03-23,2020-03-23,16,0.0055248618784530384
2020-03-24,2020-03-24,10,0.0055248618784530384
2020-03-24,2020-03-24,43,0.0055248618784530384
2020-03-26,2020-03-26,5,0.0055248618784530384
2020-03-27,2020-03-27,9,0.0055248618784530384
2020-03-29,2020-03-29,5,0.0055248618784530384
2020-03-29,2020-03-29,29,0.0055248618784530384
2020-03-30,2020-03-30,18,0.0055248618784530384
2020-03-31,2020-03-31,5,0.0055248618784530384
2020-04-01,2020-04-01,9,0.0055248618784530384
2020-04-02,2020-04-02,10,0.0055248618784530384
2020-04-05,2020-04-05,9,0.0055248618784530384
2020-04-06,2020-04-06,6,0.0055248618784530384
2020-04-07,2020-04-07,19,0.0055248618784530384
2020-04-08,2020-04-08,10,0.0055248618784530384
2020-04-09,2020-04-09,4,0.0055248618784530384
2020-04-10,2020-04-10,6,0.0055248618784530384
2020-04-11,2020-04-11,11,0.0055248618784530384
2020-04-13,2020-04-13,52,0.0055248618784530384
2020-04-14,2020-04-14,18,0.0055248618784530384
2020-04-15,2020-04-15,22,0.0055248618784530384
2020-04-16,2020-04-16,6,0.0055248618784530384
2020-04-19,2020-04-19,9,0.0055248618784530384
2020-04-21,2020-04-21,13,0.0055248618784530384
2020-04-23,2020-04-23,23,0.0055248618784530384
2020-04-24,2020-04-24,9,0.0055248618784530384
2020-04-25,2020-04-25,6,0.0055248618784530384
2020-04-28,2020-04-28,5,0.0055248618784530384
2020-04-28,2020-04-28,32,0.0055248618784530384
2020-04-29,2020-04-29,13,0.0055248618784530384
2020-04-30,2020-04-30,19,0.0055248618784530384
2020-04-30,2020-04-30,21,0.0055248618784530384
2020-05-01,2020-05-01,17,0.0055248618784530384
2020-05-03,2020-05-03,34,0.0055248618784530384
2020-05-06,2020-05-06,5,0.0055248618784530384
2020-05-08,2020-05-08,15,0.0055248618784530384
2020-05-09,2020-05-09,22,0.0055248618784530384
2020-05-09,2020-05-09,24,0.0055248618784530384
2020-05-11,2020-05-11,9,0.0055248618784530384
2020-05-15,2020-05-15,11,0.0055248618784530384
2020-05-16,2020-05-16,21,0.0055248618784530384
2020-05-25,2020-05-25,7,0.0055248618784530384
2020-06-02,2020-06-02,5,0.0055248618784530384
2020-06-06,2020-06-06,5,0.0055248618784530384
2020-08-07,2020-08-07,5,0.0055248618784530384
2020-08-13,2020-08-13,11,0.0055248618784530384
2020-08-29,2020-08-29,8,0.0055248618784530384
2020-09-04,2020-09-04,6,0.0055248618784530384
2020-09-05,2020-09-05,3,0.0055248618784530384
2020-09-07,2020-09-07,2,0.0055248618784530384
2020-09-11,2020-09-11,10,0.0055248618784530384
2020-09-12,2020-09-12,29,0.0055248618784530384
2020-09-14,2020-09-14,7,0.0055248618784530384
