data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,47,0.004103967168262654,0.004294917680744453
2020-01-01,2020-04-30,7,0.057455540355677154,0.06012884753042233
2020-01-01,2020-04-30,16,0.024623803009575923,0.025769506084466716
2020-01-01,2020-04-30,15,0.03283173734610123,0.03435934144595562
2020-01-01,2020-04-30,40,0.006155950752393981,0.006442376521116679
2020-01-01,2020-04-30,5,0.04035567715458276,0.04223335719398712
2020-01-01,2020-04-30,8,0.06224350205198358,0.06513958482462419
2020-01-01,2020-04-30,9,0.07113543091655267,0.0744452397995705
2020-01-01,2020-04-30,3,0.02667578659370725,0.02791696492483894
2020-01-01,2020-04-30,14,0.033515731874145006,0.03507516105941303
2020-01-01,2020-04-30,6,0.04719562243502052,0.049391553328561204
2020-01-01,2020-04-30,20,0.019835841313269494,0.020758768790264854
2020-01-01,2020-04-30,13,0.03625170998632011,0.03793843951324266
2020-01-01,2020-04-30,23,0.007523939808481532,0.007874015748031496
2020-01-01,2020-04-30,39,0.003419972640218878,0.0035790980672870437
2020-01-01,2020-04-30,11,0.06566347469220246,0.06871868289191124
2020-01-01,2020-04-30,19,0.02667578659370725,0.02791696492483894
2020-01-01,2020-04-30,54,0.002051983584131327,0.0021474588403722263
2020-01-01,2020-04-30,30,0.010259917920656635,0.010737294201861132
2020-01-01,2020-04-30,12,0.054035567715458276,0.05654974946313529
2020-01-01,2020-04-30,10,0.0677154582763338,0.07086614173228346
2020-01-01,2020-04-30,18,0.023939808481532147,0.025053686471009307
2020-01-01,2020-04-30,21,0.018467852257181942,0.019327129563350035
2020-01-01,2020-04-30,45,0.0027359781121751026,0.002863278453829635
2020-01-01,2020-04-30,50,0.002051983584131327,0.0021474588403722263
2020-01-01,2020-04-30,37,0.0047879616963064295,0.005010737294201861
2020-01-01,2020-04-30,46,0.0047879616963064295,0.005010737294201861
2020-01-01,2020-04-30,27,0.019151846785225718,0.020042949176807445
2020-01-01,2020-04-30,33,0.007523939808481532,0.007874015748031496
2020-01-01,2020-04-30,17,0.032147742818057455,0.03364352183249821
2020-01-01,2020-04-30,25,0.013679890560875513,0.014316392269148175
2020-01-01,2020-04-30,4,0.029411764705882353,0.030780243378668574
2020-01-01,2020-04-30,71,0.0006839945280437756,0.0007158196134574087
2020-01-01,2020-04-30,26,0.01709986320109439,0.01789549033643522
2020-01-01,2020-04-30,28,0.008891928864569083,0.009305654974946313
2020-01-01,2020-04-30,67,0.0006839945280437756,0.0007158196134574087
2020-01-01,2020-04-30,31,0.0047879616963064295,0.005010737294201861
2020-01-01,2020-04-30,2,0.013679890560875513,0.014316392269148175
2020-01-01,2020-04-30,32,0.006839945280437756,0.0071581961345740875
2020-01-01,2020-04-30,36,0.006155950752393981,0.006442376521116679
2020-01-01,2020-04-30,22,0.01709986320109439,0.01789549033643522
2020-01-01,2020-04-30,35,0.005471956224350205,0.00572655690765927
2020-01-01,2020-04-30,24,0.013679890560875513,0.014316392269148175
2020-01-01,2020-04-30,49,0.0013679890560875513,0.0014316392269148174
2020-01-01,2020-04-30,62,0.0006839945280437756,0.0007158196134574087
2020-05-01,2020-08-29,83,0.0006839945280437756,0.5
2020-05-01,2020-08-29,105,0.0006839945280437756,0.5
2020-08-30,2020-12-28,34,0.006839945280437756,0.15873015873015872
2020-08-30,2020-12-28,51,0.0027359781121751026,0.06349206349206349
2020-08-30,2020-12-28,29,0.010259917920656635,0.23809523809523808
2020-08-30,2020-12-28,82,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,43,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,60,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,38,0.0047879616963064295,0.1111111111111111
2020-08-30,2020-12-28,61,0.0013679890560875513,0.031746031746031744
2020-08-30,2020-12-28,1,0.0027359781121751026,0.06349206349206349
2020-08-30,2020-12-28,58,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,59,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,48,0.002051983584131327,0.047619047619047616
2020-08-30,2020-12-28,56,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,57,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,53,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,44,0.002051983584131327,0.047619047619047616
2020-08-30,2020-12-28,52,0.0006839945280437756,0.015873015873015872
2020-08-30,2020-12-28,55,0.0013679890560875513,0.031746031746031744
2020-08-30,2020-12-28,42,0.0013679890560875513,0.031746031746031744
2020-08-30,2020-12-28,41,0.0013679890560875513,0.031746031746031744
