data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-01-01,2020-04-30,17,0.11531986531986532,0.1159379407616361
2020-01-01,2020-04-30,14,0.06818181818181818,0.06854724964739069
2020-01-01,2020-04-30,1,0.026374859708193043,0.026516220028208744
2020-01-01,2020-04-30,18,0.12275533108866442,0.1234132581100141
2020-01-01,2020-04-30,20,0.08052749719416386,0.08095909732016925
2020-01-01,2020-04-30,16,0.10830527497194165,0.10888575458392101
2020-01-01,2020-04-30,21,0.05962401795735129,0.059943582510578276
2020-01-01,2020-04-30,22,0.04405162738496072,0.04428772919605078
2020-01-01,2020-04-30,3,0.006453423120089787,0.006488011283497884
2020-01-01,2020-04-30,12,0.025673400673400674,0.025811001410437236
2020-01-01,2020-04-30,19,0.0989057239057239,0.09943582510578279
2020-01-01,2020-04-30,15,0.08473625140291807,0.08519040902679831
2020-01-01,2020-04-30,13,0.05092592592592592,0.051198871650211565
2020-01-01,2020-04-30,0,0.04349046015712683,0.04372355430183357
2020-01-01,2020-04-30,23,0.021885521885521887,0.022002820874471085
2020-01-01,2020-04-30,11,0.007575757575757576,0.007616361071932299
2020-01-01,2020-04-30,7,0.001964085297418631,0.0019746121297602257
2020-01-01,2020-04-30,2,0.011924803591470258,0.011988716502115656
2020-01-01,2020-04-30,4,0.003787878787878788,0.0038081805359661495
2020-01-01,2020-04-30,45,0.00014029180695847364,0.00014104372355430183
2020-01-01,2020-04-30,30,0.00014029180695847364,0.00014104372355430183
2020-01-01,2020-04-30,28,0.00014029180695847364,0.00014104372355430183
2020-01-01,2020-04-30,24,0.003367003367003367,0.003385049365303244
2020-01-01,2020-04-30,6,0.001823793490460157,0.0018335684062059238
2020-01-01,2020-04-30,72,0.00014029180695847364,0.00014104372355430183
2020-01-01,2020-04-30,10,0.0035072951739618407,0.003526093088857546
2020-01-01,2020-04-30,5,0.002946127946127946,0.0029619181946403386
2020-05-01,2020-08-29,142,0.00014029180695847364,1.0
2020-08-30,2020-12-28,33,0.0002805836139169473,0.05405405405405406
2020-08-30,2020-12-28,27,0.00042087542087542086,0.08108108108108109
2020-08-30,2020-12-28,9,0.0021043771043771043,0.40540540540540543
2020-08-30,2020-12-28,8,0.0016835016835016834,0.32432432432432434
2020-08-30,2020-12-28,26,0.00014029180695847364,0.02702702702702703
2020-08-30,2020-12-28,36,0.00014029180695847364,0.02702702702702703
2020-08-30,2020-12-28,43,0.00014029180695847364,0.02702702702702703
2020-08-30,2020-12-28,39,0.00014029180695847364,0.02702702702702703
2020-08-30,2020-12-28,38,0.00014029180695847364,0.02702702702702703
