data_inizio,data_fine,delay,frequenza_delay
2020-03-11,2020-03-11,1,0.0136986301369863
2020-03-15,2020-03-15,0,0.0136986301369863
2020-04-04,2020-04-04,0,0.0136986301369863
2020-04-15,2020-04-15,0,0.0136986301369863
2020-04-16,2020-04-16,0,0.0136986301369863
2020-04-20,2020-04-20,0,0.0136986301369863
2020-08-15,2020-08-15,0,0.0136986301369863
2020-09-07,2020-09-07,1,0.0136986301369863
2020-09-21,2020-09-21,2,0.0136986301369863
2020-10-02,2020-10-02,0,0.0136986301369863
2020-10-06,2020-10-06,3,0.0136986301369863
2020-10-09,2020-10-09,0,0.0273972602739726
2020-10-12,2020-10-12,1,0.0136986301369863
2020-10-15,2020-10-15,0,0.0273972602739726
2020-10-16,2020-10-16,2,0.0136986301369863
2020-10-18,2020-10-18,0,0.0136986301369863
2020-10-19,2020-10-19,1,0.0136986301369863
2020-10-20,2020-10-20,0,0.0136986301369863
2020-10-21,2020-10-21,1,0.0684931506849315
2020-10-22,2020-10-22,1,0.0136986301369863
2020-10-23,2020-10-23,0,0.0410958904109589
2020-10-24,2020-10-24,1,0.0136986301369863
2020-10-26,2020-10-26,0,0.0273972602739726
2020-10-27,2020-10-27,1,0.0136986301369863
2020-10-28,2020-10-28,1,0.0273972602739726
2020-10-29,2020-10-29,1,0.0136986301369863
2020-10-31,2020-10-31,0,0.0136986301369863
2020-11-01,2020-11-01,3,0.0136986301369863
2020-11-02,2020-11-02,2,0.0273972602739726
2020-11-03,2020-11-03,0,0.0136986301369863
2020-11-04,2020-11-04,0,0.0136986301369863
2020-11-05,2020-11-05,0,0.0136986301369863
2020-11-06,2020-11-06,0,0.0136986301369863
2020-11-07,2020-11-07,2,0.0273972602739726
2020-11-08,2020-11-08,0,0.0136986301369863
2020-11-09,2020-11-09,1,0.0136986301369863
2020-11-10,2020-11-10,2,0.0136986301369863
2020-11-11,2020-11-11,1,0.0273972602739726
2020-11-12,2020-11-12,0,0.0136986301369863
2020-11-13,2020-11-13,0,0.0136986301369863
2020-11-14,2020-11-14,0,0.0273972602739726
2020-11-15,2020-11-15,1,0.0136986301369863
2020-11-16,2020-11-16,1,0.0136986301369863
2020-11-17,2020-11-17,0,0.0410958904109589
2020-11-18,2020-11-18,1,0.0136986301369863
2020-11-20,2020-11-20,1,0.0136986301369863
2020-11-23,2020-11-23,0,0.0136986301369863
2020-11-24,2020-11-24,2,0.0136986301369863
2020-11-25,2020-11-25,1,0.0136986301369863
2020-11-26,2020-11-26,0,0.0136986301369863
2020-11-27,2020-11-27,1,0.0136986301369863
2020-11-28,2020-11-28,0,0.0136986301369863
2020-11-29,2020-11-29,0,0.0136986301369863
2020-11-30,2020-11-30,2,0.0136986301369863
2020-12-02,2020-12-02,2,0.0136986301369863
2020-12-06,2020-12-06,1,0.0136986301369863
2020-12-10,2020-12-10,0,0.0136986301369863
