data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-24,2020-02-25,3,0.029829253240074058,1.0
2020-02-26,2020-02-27,7,0.03625797161077968,0.336676217765043
2020-02-26,2020-02-27,10,0.037286566550092576,0.34622731614135627
2020-02-26,2020-02-27,5,0.03414935198518823,0.31709646609360076
2020-02-28,2020-02-29,16,0.04170952478913804,0.9195011337868481
2020-02-28,2020-02-29,48,0.00365151203456079,0.08049886621315193
2020-03-01,2020-03-02,2,0.02514914626620037,0.25955414012738853
2020-03-01,2020-03-02,6,0.03641226085167661,0.37579617834394907
2020-03-01,2020-03-02,19,0.035332236165398066,0.3646496815286624
2020-03-03,2020-03-04,12,0.034406500720016456,1.0
2020-03-05,2020-03-06,35,0.006017280394980457,0.04292002934702861
2020-03-05,2020-03-06,65,0.0008228759514503189,0.00586940572267058
2020-03-05,2020-03-06,25,0.009925941164369472,0.07079970652971386
2020-03-05,2020-03-06,11,0.03661797983953919,0.2611885546588408
2020-03-05,2020-03-06,13,0.03476650894877597,0.247982391782832
2020-03-05,2020-03-06,55,0.002982925324007406,0.02127659574468085
2020-03-05,2020-03-06,67,0.0012343139271754782,0.00880410858400587
2020-03-05,2020-03-06,23,0.015943221559349928,0.11371973587674249
2020-03-05,2020-03-06,20,0.031886443118699856,0.22743947175348497
2020-03-07,2020-03-08,14,0.03553795515326064,0.14197657694678448
2020-03-07,2020-03-08,18,0.04402386340259206,0.1758783644955825
2020-03-07,2020-03-08,15,0.041246657066447236,0.16478323402506678
2020-03-07,2020-03-08,9,0.03944661592264966,0.15759194575713992
2020-03-07,2020-03-08,17,0.04350956593293561,0.17382371070474625
2020-03-07,2020-03-08,26,0.009257354453816088,0.036983768235052394
2020-03-07,2020-03-08,50,0.002828636083110471,0.011300595849599342
2020-03-07,2020-03-08,49,0.0035486525406295,0.014177111156770084
2020-03-07,2020-03-08,115,0.00015428924089693478,0.0006163961372508733
2020-03-07,2020-03-08,21,0.025200576013166016,0.10067803575097596
2020-03-07,2020-03-08,36,0.005554412672289653,0.022190260941031437
2020-03-09,2020-03-10,30,0.00781732153877803,0.07293666026871401
2020-03-09,2020-03-10,8,0.036926558321333056,0.34452975047984646
2020-03-09,2020-03-10,4,0.030600699444558732,0.28550863723608444
2020-03-09,2020-03-10,28,0.008691627237193992,0.08109404990403071
2020-03-09,2020-03-10,0,0.013371734211067682,0.12476007677543186
2020-03-09,2020-03-10,75,0.000720016457519029,0.0067178502879078695
2020-03-09,2020-03-10,57,0.0019029006377288625,0.017754318618042227
2020-03-09,2020-03-10,87,0.0003600082287595145,0.0033589251439539347
2020-03-09,2020-03-10,52,0.0026743468422135365,0.02495201535508637
2020-03-09,2020-03-10,44,0.003908660769389015,0.036468330134357005
2020-03-09,2020-03-10,118,0.0002057189878625797,0.0019193857965451055
2020-03-11,2020-03-12,102,0.00015428924089693478,0.002749770852428964
2020-03-11,2020-03-12,24,0.012703147500514298,0.22639780018331807
2020-03-11,2020-03-12,76,0.000720016457519029,0.012832263978001834
2020-03-11,2020-03-12,1,0.016560378522937666,0.29514207149404215
2020-03-11,2020-03-12,29,0.008794486731125283,0.15673693858845097
2020-03-11,2020-03-12,39,0.0048343962147706235,0.08615948670944087
2020-03-11,2020-03-12,86,0.0003600082287595145,0.006416131989000917
2020-03-11,2020-03-12,60,0.001440032915038058,0.025664527956003668
2020-03-11,2020-03-12,41,0.004268668998148529,0.076076993583868
2020-03-11,2020-03-12,34,0.006274429129808681,0.11182401466544455
2020-03-13,2020-03-14,43,0.004937255708701913,0.16
2020-03-13,2020-03-14,40,0.005400123431392717,0.175
2020-03-13,2020-03-14,31,0.008794486731125283,0.285
2020-03-13,2020-03-14,37,0.005914420901049167,0.19166666666666668
2020-03-13,2020-03-14,38,0.0058115614071178765,0.18833333333333332
2020-03-15,2020-03-16,27,0.008794486731125283,0.5719063545150501
2020-03-15,2020-03-16,45,0.003908660769389015,0.25418060200668896
2020-03-15,2020-03-16,63,0.0012857436741411231,0.08361204013377926
2020-03-15,2020-03-16,112,0.00010285949393128986,0.006688963210702341
2020-03-15,2020-03-16,148,0.00010285949393128986,0.006688963210702341
2020-03-15,2020-03-16,70,0.0007714462044846739,0.05016722408026756
2020-03-15,2020-03-16,84,0.0003600082287595145,0.023411371237458192
2020-03-15,2020-03-16,168,5.142974696564493e-5,0.0033444816053511705
2020-03-17,2020-03-18,94,0.0003600082287595145,0.008567931456548347
2020-03-17,2020-03-18,170,0.00010285949393128986,0.0024479804161566705
2020-03-17,2020-03-18,22,0.021909072207364738,0.5214198286413708
2020-03-17,2020-03-18,42,0.0058115614071178765,0.1383108935128519
2020-03-17,2020-03-18,54,0.0019029006377288625,0.04528763769889841
2020-03-17,2020-03-18,285,5.142974696564493e-5,0.0012239902080783353
2020-03-17,2020-03-18,51,0.0033943632997325652,0.08078335373317014
2020-03-17,2020-03-18,33,0.006685867105533841,0.1591187270501836
2020-03-17,2020-03-18,58,0.0018000411437975724,0.042839657282741736
2020-03-19,2020-03-20,91,0.0002057189878625797,0.02040816326530612
2020-03-19,2020-03-20,72,0.0006171569635877391,0.061224489795918366
2020-03-19,2020-03-20,32,0.0071487348282246455,0.7091836734693877
2020-03-19,2020-03-20,117,0.00010285949393128986,0.01020408163265306
2020-03-19,2020-03-20,68,0.0010800246862785435,0.10714285714285714
2020-03-19,2020-03-20,183,0.00010285949393128986,0.01020408163265306
2020-03-19,2020-03-20,100,0.00015428924089693478,0.015306122448979591
2020-03-19,2020-03-20,74,0.0006685867105533841,0.0663265306122449
2020-03-21,2020-03-22,47,0.003600082287595145,0.6666666666666666
2020-03-21,2020-03-22,73,0.0003600082287595145,0.06666666666666667
2020-03-21,2020-03-22,64,0.0010800246862785435,0.2
2020-03-21,2020-03-22,119,0.00015428924089693478,0.02857142857142857
2020-03-21,2020-03-22,129,0.0002057189878625797,0.0380952380952381
2020-03-23,2020-03-24,108,0.00015428924089693478,0.04225352112676056
2020-03-23,2020-03-24,281,5.142974696564493e-5,0.014084507042253521
2020-03-23,2020-03-24,69,0.0005657272166220942,0.15492957746478872
2020-03-23,2020-03-24,82,0.00030857848179386956,0.08450704225352113
2020-03-23,2020-03-24,109,0.00025714873482822465,0.07042253521126761
2020-03-23,2020-03-24,83,0.0005142974696564493,0.14084507042253522
2020-03-23,2020-03-24,59,0.0017486113968319275,0.4788732394366197
2020-03-23,2020-03-24,282,5.142974696564493e-5,0.014084507042253521
2020-03-25,2020-03-26,79,0.0003600082287595145,0.07142857142857142
2020-03-25,2020-03-26,95,0.00030857848179386956,0.061224489795918366
2020-03-25,2020-03-26,53,0.0026229170952478914,0.5204081632653061
2020-03-25,2020-03-26,92,0.00015428924089693478,0.030612244897959183
2020-03-25,2020-03-26,66,0.0013371734211067683,0.2653061224489796
2020-03-25,2020-03-26,179,0.00010285949393128986,0.02040816326530612
2020-03-25,2020-03-26,127,0.00015428924089693478,0.030612244897959183
2020-03-27,2020-03-28,138,0.00015428924089693478,0.3
2020-03-27,2020-03-28,275,5.142974696564493e-5,0.1
