data_inizio,data_fine,delay,frequenza_delay
2020-03-06,2020-03-06,3,0.002398081534772182
2020-03-11,2020-03-11,3,0.002398081534772182
2020-03-12,2020-03-12,1,0.002398081534772182
2020-03-13,2020-03-13,1,0.002398081534772182
2020-03-14,2020-03-14,0,0.002398081534772182
2020-03-15,2020-03-15,1,0.002398081534772182
2020-03-16,2020-03-16,2,0.004796163069544364
2020-03-18,2020-03-18,0,0.004796163069544364
2020-03-19,2020-03-19,3,0.002398081534772182
2020-03-20,2020-03-20,0,0.002398081534772182
2020-03-21,2020-03-21,1,0.004796163069544364
2020-03-22,2020-03-22,1,0.002398081534772182
2020-03-24,2020-03-24,0,0.002398081534772182
2020-03-25,2020-03-25,2,0.002398081534772182
2020-03-26,2020-03-26,2,0.002398081534772182
2020-03-27,2020-03-27,0,0.002398081534772182
2020-03-28,2020-03-28,0,0.002398081534772182
2020-03-29,2020-03-29,1,0.002398081534772182
2020-03-31,2020-03-31,0,0.004796163069544364
2020-04-03,2020-04-03,2,0.002398081534772182
2020-04-04,2020-04-04,2,0.002398081534772182
2020-04-05,2020-04-05,0,0.002398081534772182
2020-04-06,2020-04-06,0,0.002398081534772182
2020-04-07,2020-04-07,0,0.002398081534772182
2020-04-08,2020-04-08,0,0.002398081534772182
2020-04-09,2020-04-09,3,0.002398081534772182
2020-04-10,2020-04-10,2,0.002398081534772182
2020-04-11,2020-04-11,1,0.002398081534772182
2020-04-12,2020-04-12,1,0.002398081534772182
2020-04-13,2020-04-13,2,0.002398081534772182
2020-04-14,2020-04-14,0,0.002398081534772182
2020-04-15,2020-04-15,1,0.002398081534772182
2020-04-16,2020-04-16,0,0.002398081534772182
2020-04-17,2020-04-17,1,0.002398081534772182
2020-04-18,2020-04-18,0,0.002398081534772182
2020-04-19,2020-04-19,0,0.002398081534772182
2020-04-20,2020-04-20,0,0.002398081534772182
2020-04-21,2020-04-21,1,0.002398081534772182
2020-04-23,2020-04-23,1,0.007194244604316547
2020-04-24,2020-04-24,1,0.002398081534772182
2020-04-25,2020-04-25,3,0.002398081534772182
2020-04-26,2020-04-26,2,0.002398081534772182
2020-04-27,2020-04-27,3,0.002398081534772182
2020-04-28,2020-04-28,1,0.004796163069544364
2020-04-29,2020-04-29,0,0.002398081534772182
2020-04-30,2020-04-30,2,0.002398081534772182
2020-05-01,2020-05-01,1,0.004796163069544364
2020-05-03,2020-05-03,1,0.002398081534772182
2020-05-04,2020-05-04,0,0.002398081534772182
2020-05-05,2020-05-05,3,0.002398081534772182
2020-05-09,2020-05-09,2,0.002398081534772182
2020-05-14,2020-05-14,0,0.002398081534772182
2020-05-17,2020-05-17,2,0.002398081534772182
2020-05-20,2020-05-20,0,0.002398081534772182
2020-05-26,2020-05-26,1,0.002398081534772182
2020-05-29,2020-05-29,3,0.002398081534772182
2020-07-25,2020-07-25,1,0.002398081534772182
2020-08-07,2020-08-07,0,0.002398081534772182
2020-08-10,2020-08-10,0,0.002398081534772182
2020-08-11,2020-08-11,0,0.002398081534772182
2020-08-15,2020-08-15,3,0.002398081534772182
2020-08-18,2020-08-18,0,0.002398081534772182
