data_inizio,data_fine,delay,frequenza_delay
2020-03-11,2020-03-12,0,0.02631578947368421
2020-03-18,2020-03-19,0,0.02631578947368421
2020-03-29,2020-03-30,0,0.02631578947368421
2020-03-30,2020-03-31,0,0.02631578947368421
2020-04-06,2020-04-07,0,0.02631578947368421
2020-04-08,2020-04-09,0,0.02631578947368421
2020-04-21,2020-04-22,1,0.02631578947368421
2020-04-23,2020-04-24,1,0.02631578947368421
2020-05-04,2020-05-05,0,0.02631578947368421
2020-10-08,2020-10-09,0,0.02631578947368421
2020-10-10,2020-10-11,0,0.02631578947368421
2020-10-20,2020-10-21,1,0.02631578947368421
2020-10-26,2020-10-27,0,0.05263157894736842
2020-10-27,2020-10-28,0,0.02631578947368421
2020-10-30,2020-10-31,0,0.02631578947368421
2020-11-02,2020-11-03,1,0.02631578947368421
2020-11-03,2020-11-04,1,0.02631578947368421
2020-11-04,2020-11-05,0,0.02631578947368421
2020-11-05,2020-11-06,0,0.02631578947368421
2020-11-09,2020-11-10,1,0.02631578947368421
2020-11-10,2020-11-11,1,0.02631578947368421
2020-11-15,2020-11-16,0,0.05263157894736842
2020-11-16,2020-11-17,0,0.02631578947368421
2020-11-17,2020-11-18,0,0.02631578947368421
2020-11-19,2020-11-20,0,0.05263157894736842
2020-11-20,2020-11-21,0,0.05263157894736842
2020-11-21,2020-11-22,1,0.02631578947368421
2020-11-22,2020-11-23,0,0.02631578947368421
2020-11-23,2020-11-24,0,0.02631578947368421
2020-11-25,2020-11-26,0,0.02631578947368421
2020-11-28,2020-11-29,2,0.02631578947368421
2020-11-29,2020-11-30,0,0.02631578947368421
2020-12-05,2020-12-06,2,0.02631578947368421
2020-12-07,2020-12-08,0,0.02631578947368421
