data_inizio,data_fine,delay,frequenza_delay
2020-02-24,2020-02-25,1,0.00026961445133459155
2020-02-25,2020-02-26,2,0.00026961445133459155
2020-02-25,2020-02-26,3,0.00026961445133459155
2020-02-29,2020-03-01,2,0.00026961445133459155
2020-03-02,2020-03-03,2,0.0005392289026691831
2020-03-03,2020-03-04,0,0.00026961445133459155
2020-03-04,2020-03-05,1,0.00026961445133459155
2020-03-05,2020-03-06,1,0.00026961445133459155
2020-03-06,2020-03-07,0,0.00026961445133459155
2020-03-07,2020-03-08,3,0.0008088433540037746
2020-03-08,2020-03-09,0,0.0008088433540037746
2020-03-09,2020-03-10,0,0.0005392289026691831
2020-03-10,2020-03-11,0,0.0008088433540037746
2020-03-11,2020-03-12,0,0.0010784578053383662
2020-03-12,2020-03-13,0,0.0029657589646805067
2020-03-13,2020-03-14,0,0.0021569156106767324
2020-03-14,2020-03-15,0,0.0021569156106767324
2020-03-15,2020-03-16,0,0.0018873011593421407
2020-03-16,2020-03-17,0,0.0032353734160150984
2020-03-17,2020-03-18,0,0.0018873011593421407
2020-03-18,2020-03-19,0,0.0026961445133459154
2020-03-19,2020-03-20,0,0.0018873011593421407
2020-03-20,2020-03-21,0,0.0008088433540037746
2020-03-21,2020-03-22,0,0.00350498786734969
2020-03-22,2020-03-23,0,0.006201132380695605
2020-03-23,2020-03-24,0,0.0067403612833647885
2020-03-24,2020-03-25,0,0.0021569156106767324
2020-03-25,2020-03-26,0,0.005392289026691831
2020-03-26,2020-03-27,0,0.0037746023186842814
2020-03-27,2020-03-28,0,0.004583445672688056
2020-03-28,2020-03-29,0,0.004044216770018873
2020-03-29,2020-03-30,0,0.004313831221353465
2020-03-30,2020-03-31,0,0.004313831221353465
2020-03-31,2020-04-01,0,0.007818819088703155
2020-04-01,2020-04-02,0,0.004313831221353465
2020-04-02,2020-04-03,0,0.004583445672688056
2020-04-03,2020-04-04,0,0.008088433540037746
2020-04-04,2020-04-05,0,0.007279590186033971
2020-04-05,2020-04-06,0,0.005122674575357239
2020-04-06,2020-04-07,0,0.004853060124022647
2020-04-07,2020-04-08,0,0.0056619034780264225
2020-04-08,2020-04-09,0,0.012671879212725803
2020-04-09,2020-04-10,0,0.011863035858722027
2020-04-10,2020-04-11,0,0.012941493664060394
2020-04-11,2020-04-12,0,0.013480722566729577
2020-04-12,2020-04-13,0,0.011323806956052845
2020-04-13,2020-04-14,0,0.007818819088703155
2020-04-14,2020-04-15,0,0.007279590186033971
2020-04-15,2020-04-16,0,0.01240226476139121
2020-04-16,2020-04-17,0,0.011323806956052845
2020-04-17,2020-04-18,0,0.00862766244270693
2020-04-18,2020-04-19,0,0.009975734699379887
2020-04-19,2020-04-20,0,0.00350498786734969
2020-04-20,2020-04-21,0,0.010514963602049069
2020-04-21,2020-04-22,0,0.009706120248045295
2020-04-22,2020-04-23,0,0.0067403612833647885
2020-04-23,2020-04-24,0,0.007279590186033971
2020-04-24,2020-04-25,0,0.008358047991372337
2020-04-25,2020-04-26,0,0.004853060124022647
2020-04-26,2020-04-27,0,0.0032353734160150984
2020-04-27,2020-04-28,0,0.0029657589646805067
2020-04-28,2020-04-29,0,0.007818819088703155
2020-04-29,2020-04-30,0,0.005122674575357239
2020-04-30,2020-05-01,0,0.0032353734160150984
2020-05-01,2020-05-02,0,0.0056619034780264225
2020-05-02,2020-05-03,0,0.0037746023186842814
2020-05-03,2020-05-04,0,0.0013480722566729577
2020-05-04,2020-05-05,0,0.0018873011593421407
2020-05-05,2020-05-06,0,0.0008088433540037746
2020-05-06,2020-05-07,0,0.0021569156106767324
2020-05-07,2020-05-08,0,0.0021569156106767324
2020-05-08,2020-05-09,0,0.0016176867080075492
2020-05-09,2020-05-10,0,0.0010784578053383662
2020-05-10,2020-05-11,0,0.0008088433540037746
2020-05-11,2020-05-12,0,0.0005392289026691831
2020-05-12,2020-05-13,0,0.0008088433540037746
2020-05-13,2020-05-14,0,0.0005392289026691831
2020-05-14,2020-05-15,0,0.0013480722566729577
2020-05-15,2020-05-16,0,0.0010784578053383662
2020-05-16,2020-05-17,0,0.00026961445133459155
2020-05-17,2020-05-18,0,0.0008088433540037746
2020-05-18,2020-05-19,0,0.0010784578053383662
2020-05-19,2020-05-20,0,0.0013480722566729577
2020-05-20,2020-05-21,0,0.0013480722566729577
2020-05-21,2020-05-22,1,0.00026961445133459155
2020-05-22,2020-05-23,0,0.0008088433540037746
2020-05-23,2020-05-24,0,0.0005392289026691831
2020-05-24,2020-05-25,1,0.00026961445133459155
2020-05-25,2020-05-26,1,0.0008088433540037746
2020-05-26,2020-05-27,0,0.0008088433540037746
2020-05-27,2020-05-28,1,0.0008088433540037746
