data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-01,2020-03-02,3,0.10216546363131594,1.0
2020-03-03,2020-04-02,41,0.001110494169905608,0.0013280212483399733
2020-03-03,2020-04-02,0,0.3736812881732371,0.44687915006640105
2020-03-03,2020-04-02,18,0.006107717934480844,0.0073041168658698535
2020-03-03,2020-04-02,1,0.12104386451971128,0.14475431606905712
2020-03-03,2020-04-02,4,0.04441976679622432,0.05312084993359894
2020-03-03,2020-04-02,5,0.019988895058300944,0.02390438247011952
2020-03-03,2020-04-02,35,0.002220988339811216,0.0026560424966799467
2020-03-03,2020-04-02,37,0.001110494169905608,0.0013280212483399733
2020-03-03,2020-04-02,2,0.13714602998334258,0.1640106241699867
2020-03-03,2020-04-02,20,0.004997223764575236,0.00597609561752988
2020-03-03,2020-04-02,28,0.003886729594669628,0.004648074369189907
2020-03-03,2020-04-02,8,0.016102165463631316,0.019256308100929615
2020-03-03,2020-04-02,31,0.003331482509716824,0.00398406374501992
2020-03-03,2020-04-02,39,0.001110494169905608,0.0013280212483399733
2020-03-03,2020-04-02,10,0.00832870627429206,0.0099601593625498
2020-03-03,2020-04-02,36,0.001665741254858412,0.00199203187250996
2020-03-03,2020-04-02,13,0.011660188784008884,0.013944223107569721
2020-03-03,2020-04-02,15,0.007773459189339256,0.009296148738379814
2020-03-03,2020-04-02,21,0.003886729594669628,0.004648074369189907
2020-03-03,2020-04-02,22,0.004441976679622432,0.005312084993359893
2020-03-03,2020-04-02,61,0.000555247084952804,0.0006640106241699867
2020-03-03,2020-04-02,9,0.009439200444197668,0.011288180610889775
2020-03-03,2020-04-02,11,0.009439200444197668,0.011288180610889775
2020-03-03,2020-04-02,14,0.006107717934480844,0.0073041168658698535
2020-03-03,2020-04-02,60,0.000555247084952804,0.0006640106241699867
2020-03-03,2020-04-02,51,0.001110494169905608,0.0013280212483399733
2020-03-03,2020-04-02,6,0.019988895058300944,0.02390438247011952
2020-03-03,2020-04-02,7,0.014991671293725709,0.017928286852589643
2020-04-03,2020-05-03,17,0.004997223764575236,0.20454545454545456
2020-04-03,2020-05-03,30,0.00277623542476402,0.11363636363636363
2020-04-03,2020-05-03,12,0.007218212104386452,0.29545454545454547
2020-04-03,2020-05-03,43,0.001110494169905608,0.045454545454545456
2020-04-03,2020-05-03,32,0.001665741254858412,0.06818181818181818
2020-04-03,2020-05-03,23,0.00555247084952804,0.22727272727272727
2020-04-03,2020-05-03,55,0.001110494169905608,0.045454545454545456
2020-05-04,2020-06-03,48,0.000555247084952804,0.125
2020-05-04,2020-06-03,24,0.003886729594669628,0.875
2020-06-04,2020-07-04,25,0.003331482509716824,1.0
2020-07-05,2020-08-04,87,0.000555247084952804,1.0
2020-09-05,2020-10-05,16,0.006662965019433648,0.75
2020-09-05,2020-10-05,42,0.002220988339811216,0.25
2020-10-06,2020-11-05,79,0.000555247084952804,0.038461538461538464
2020-10-06,2020-11-05,33,0.001665741254858412,0.11538461538461539
2020-10-06,2020-11-05,19,0.003331482509716824,0.23076923076923078
2020-10-06,2020-11-05,44,0.000555247084952804,0.038461538461538464
2020-10-06,2020-11-05,26,0.002220988339811216,0.15384615384615385
2020-10-06,2020-11-05,45,0.001110494169905608,0.07692307692307693
2020-10-06,2020-11-05,38,0.000555247084952804,0.038461538461538464
2020-10-06,2020-11-05,56,0.000555247084952804,0.038461538461538464
2020-10-06,2020-11-05,53,0.000555247084952804,0.038461538461538464
2020-10-06,2020-11-05,29,0.003331482509716824,0.23076923076923078
2020-11-06,2020-12-06,52,0.001110494169905608,0.2
2020-11-06,2020-12-06,40,0.002220988339811216,0.4
2020-11-06,2020-12-06,46,0.000555247084952804,0.1
2020-11-06,2020-12-06,27,0.001110494169905608,0.2
2020-11-06,2020-12-06,47,0.000555247084952804,0.1
