data_inizio,data_fine,delay,frequenza_delay
2020-03-05,2020-03-05,0,0.0021929824561403508
2020-03-08,2020-03-08,1,0.0021929824561403508
2020-03-09,2020-03-09,5,0.0021929824561403508
2020-03-11,2020-03-11,37,0.0021929824561403508
2020-03-12,2020-03-12,2,0.0021929824561403508
2020-03-13,2020-03-13,0,0.0043859649122807015
2020-03-14,2020-03-14,3,0.0021929824561403508
2020-03-15,2020-03-15,0,0.0021929824561403508
2020-03-16,2020-03-16,2,0.0043859649122807015
2020-03-16,2020-03-16,11,0.0021929824561403508
2020-03-17,2020-03-17,0,0.0021929824561403508
2020-03-18,2020-03-18,0,0.019736842105263157
2020-03-19,2020-03-19,31,0.0021929824561403508
2020-03-20,2020-03-20,4,0.0043859649122807015
2020-03-21,2020-03-21,2,0.0021929824561403508
2020-03-22,2020-03-22,2,0.006578947368421052
2020-03-23,2020-03-23,0,0.006578947368421052
2020-03-23,2020-03-23,9,0.0021929824561403508
2020-03-24,2020-03-24,3,0.0021929824561403508
2020-03-25,2020-03-25,3,0.0043859649122807015
2020-03-26,2020-03-26,0,0.008771929824561403
2020-03-26,2020-03-26,17,0.0021929824561403508
2020-03-27,2020-03-27,0,0.008771929824561403
2020-03-28,2020-03-28,0,0.0043859649122807015
2020-03-29,2020-03-29,2,0.0043859649122807015
2020-03-30,2020-03-30,0,0.0021929824561403508
2020-03-31,2020-03-31,0,0.0043859649122807015
2020-04-01,2020-04-01,1,0.0021929824561403508
2020-04-02,2020-04-02,3,0.0021929824561403508
2020-04-03,2020-04-03,0,0.006578947368421052
2020-04-04,2020-04-04,2,0.0021929824561403508
2020-04-04,2020-04-04,6,0.0021929824561403508
2020-04-05,2020-04-05,1,0.0043859649122807015
2020-04-06,2020-04-06,1,0.0043859649122807015
2020-04-07,2020-04-07,0,0.0043859649122807015
2020-04-08,2020-04-08,1,0.006578947368421052
2020-04-09,2020-04-09,0,0.0021929824561403508
2020-04-10,2020-04-10,0,0.0021929824561403508
2020-04-11,2020-04-11,0,0.0043859649122807015
2020-04-11,2020-04-11,13,0.0021929824561403508
2020-04-12,2020-04-12,1,0.0043859649122807015
2020-04-14,2020-04-14,3,0.0021929824561403508
2020-04-15,2020-04-15,3,0.0021929824561403508
2020-04-16,2020-04-16,3,0.0021929824561403508
2020-04-17,2020-04-17,1,0.0043859649122807015
2020-04-18,2020-04-18,0,0.0021929824561403508
2020-04-19,2020-04-19,3,0.0021929824561403508
2020-04-20,2020-04-20,0,0.0021929824561403508
2020-04-21,2020-04-21,0,0.0043859649122807015
2020-04-22,2020-04-22,8,0.0021929824561403508
2020-04-22,2020-04-22,70,0.0021929824561403508
2020-04-23,2020-04-23,1,0.0021929824561403508
2020-04-24,2020-04-24,2,0.0043859649122807015
2020-04-25,2020-04-25,0,0.0021929824561403508
2020-04-26,2020-04-26,0,0.0021929824561403508
2020-04-28,2020-04-28,1,0.0021929824561403508
2020-04-29,2020-04-29,2,0.0021929824561403508
2020-04-30,2020-04-30,3,0.0021929824561403508
2020-05-01,2020-05-01,0,0.0021929824561403508
2020-05-02,2020-05-02,4,0.0021929824561403508
2020-05-04,2020-05-04,0,0.0021929824561403508
2020-05-06,2020-05-06,0,0.006578947368421052
2020-05-07,2020-05-07,3,0.0021929824561403508
2020-05-09,2020-05-09,1,0.0021929824561403508
2020-05-10,2020-05-10,0,0.0021929824561403508
2020-05-11,2020-05-11,0,0.0021929824561403508
2020-05-13,2020-05-13,0,0.0021929824561403508
2020-05-14,2020-05-14,0,0.0021929824561403508
2020-05-15,2020-05-15,0,0.0021929824561403508
2020-05-21,2020-05-21,4,0.0021929824561403508
2020-05-22,2020-05-22,0,0.0021929824561403508
2020-05-23,2020-05-23,1,0.0021929824561403508
2020-05-28,2020-05-28,3,0.0021929824561403508
2020-05-29,2020-05-29,0,0.0021929824561403508
2020-05-31,2020-05-31,0,0.0021929824561403508
2020-06-01,2020-06-01,0,0.0021929824561403508
2020-06-02,2020-06-02,7,0.0021929824561403508
2020-06-03,2020-06-03,2,0.0021929824561403508
2020-06-05,2020-06-05,3,0.0021929824561403508
2020-06-10,2020-06-10,0,0.0021929824561403508
2020-06-11,2020-06-11,2,0.0021929824561403508
2020-06-12,2020-06-12,0,0.0021929824561403508
2020-06-20,2020-06-20,4,0.0021929824561403508
2020-06-27,2020-06-27,3,0.0021929824561403508
2020-07-21,2020-07-21,2,0.0021929824561403508
2020-08-12,2020-08-12,1,0.0021929824561403508
2020-08-21,2020-08-21,0,0.0021929824561403508
2020-08-25,2020-08-25,0,0.0021929824561403508
2020-09-01,2020-09-01,3,0.0021929824561403508
2020-09-02,2020-09-02,3,0.0021929824561403508
2020-09-04,2020-09-04,2,0.0021929824561403508
2020-09-06,2020-09-06,1,0.0021929824561403508
2020-09-07,2020-09-07,5,0.0021929824561403508
2020-09-08,2020-09-08,2,0.0021929824561403508
2020-09-12,2020-09-12,1,0.0021929824561403508
2020-09-14,2020-09-14,0,0.0021929824561403508
2020-09-16,2020-09-16,0,0.006578947368421052
2020-09-17,2020-09-17,0,0.006578947368421052
2020-09-20,2020-09-20,3,0.0021929824561403508
2020-09-21,2020-09-21,2,0.0021929824561403508
2020-09-24,2020-09-24,1,0.0021929824561403508
2020-09-29,2020-09-29,0,0.0021929824561403508
2020-09-30,2020-09-30,2,0.0021929824561403508
2020-10-02,2020-10-02,0,0.0043859649122807015
2020-10-03,2020-10-03,0,0.0021929824561403508
2020-10-06,2020-10-06,2,0.0021929824561403508
2020-10-07,2020-10-07,1,0.006578947368421052
2020-10-08,2020-10-08,1,0.0021929824561403508
2020-10-09,2020-10-09,0,0.0043859649122807015
2020-10-10,2020-10-10,0,0.006578947368421052
2020-10-11,2020-10-11,0,0.0043859649122807015
2020-10-12,2020-10-12,0,0.0021929824561403508
2020-10-13,2020-10-13,0,0.0021929824561403508
2020-10-14,2020-10-14,4,0.0021929824561403508
2020-10-15,2020-10-15,0,0.0021929824561403508
2020-10-16,2020-10-16,3,0.0021929824561403508
2020-10-17,2020-10-17,0,0.008771929824561403
2020-10-18,2020-10-18,0,0.008771929824561403
2020-10-19,2020-10-19,0,0.0021929824561403508
2020-10-20,2020-10-20,2,0.0021929824561403508
2020-10-21,2020-10-21,0,0.0043859649122807015
2020-10-22,2020-10-22,1,0.008771929824561403
2020-10-23,2020-10-23,0,0.017543859649122806
2020-10-23,2020-10-23,14,0.0021929824561403508
2020-10-24,2020-10-24,0,0.008771929824561403
2020-10-25,2020-10-25,2,0.0021929824561403508
2020-10-26,2020-10-26,0,0.013157894736842105
2020-10-27,2020-10-27,2,0.006578947368421052
2020-10-27,2020-10-27,12,0.0021929824561403508
2020-10-28,2020-10-28,1,0.006578947368421052
2020-10-28,2020-10-28,15,0.0021929824561403508
2020-10-29,2020-10-29,4,0.006578947368421052
2020-10-30,2020-10-30,4,0.006578947368421052
2020-10-31,2020-10-31,0,0.015350877192982455
2020-10-31,2020-10-31,16,0.0021929824561403508
2020-11-01,2020-11-01,0,0.013157894736842105
2020-11-01,2020-11-01,23,0.0021929824561403508
2020-11-02,2020-11-02,0,0.02412280701754386
2020-11-03,2020-11-03,0,0.019736842105263157
2020-11-04,2020-11-04,0,0.010964912280701754
2020-11-05,2020-11-05,1,0.0043859649122807015
2020-11-06,2020-11-06,0,0.03728070175438596
2020-11-07,2020-11-07,0,0.02850877192982456
2020-11-08,2020-11-08,0,0.013157894736842105
2020-11-09,2020-11-09,3,0.0043859649122807015
2020-11-10,2020-11-10,1,0.010964912280701754
2020-11-11,2020-11-11,2,0.006578947368421052
2020-11-12,2020-11-12,1,0.008771929824561403
2020-11-13,2020-11-13,3,0.008771929824561403
2020-11-14,2020-11-14,0,0.019736842105263157
2020-11-15,2020-11-15,0,0.02850877192982456
2020-11-15,2020-11-15,33,0.0021929824561403508
2020-11-16,2020-11-16,1,0.0043859649122807015
2020-11-16,2020-11-16,10,0.0021929824561403508
2020-11-17,2020-11-17,1,0.0021929824561403508
2020-11-17,2020-11-17,39,0.0021929824561403508
2020-11-18,2020-11-18,0,0.039473684210526314
2020-11-19,2020-11-19,0,0.019736842105263157
2020-11-20,2020-11-20,0,0.019736842105263157
2020-11-21,2020-11-21,1,0.0043859649122807015
2020-11-22,2020-11-22,0,0.0043859649122807015
2020-11-23,2020-11-23,0,0.02850877192982456
2020-11-24,2020-11-24,2,0.008771929824561403
2020-11-25,2020-11-25,1,0.006578947368421052
2020-11-26,2020-11-26,1,0.006578947368421052
2020-11-27,2020-11-27,1,0.008771929824561403
2020-11-28,2020-11-28,0,0.006578947368421052
2020-11-29,2020-11-29,0,0.0021929824561403508
2020-11-30,2020-11-30,0,0.013157894736842105
2020-12-01,2020-12-01,0,0.010964912280701754
2020-12-02,2020-12-02,2,0.0043859649122807015
2020-12-03,2020-12-03,2,0.006578947368421052
2020-12-04,2020-12-04,0,0.008771929824561403
2020-12-05,2020-12-05,2,0.0043859649122807015
2020-12-06,2020-12-06,0,0.008771929824561403
2020-12-07,2020-12-07,3,0.0021929824561403508
