data_inizio,data_fine,delay,frequenza_delay
2020-03-18,2020-03-19,0,0.015384615384615385
2020-03-31,2020-04-01,23,0.015384615384615385
2020-04-04,2020-04-05,0,0.015384615384615385
2020-04-17,2020-04-18,2,0.015384615384615385
2020-04-18,2020-04-19,11,0.015384615384615385
2020-04-19,2020-04-20,1,0.015384615384615385
2020-05-01,2020-05-02,9,0.015384615384615385
2020-05-11,2020-05-12,4,0.015384615384615385
2020-09-07,2020-09-08,3,0.015384615384615385
2020-09-09,2020-09-10,4,0.015384615384615385
2020-09-10,2020-09-11,14,0.015384615384615385
2020-09-29,2020-09-30,15,0.015384615384615385
2020-10-01,2020-10-02,15,0.015384615384615385
2020-10-08,2020-10-09,1,0.015384615384615385
2020-10-12,2020-10-13,4,0.015384615384615385
2020-10-13,2020-10-14,0,0.015384615384615385
2020-10-15,2020-10-16,0,0.015384615384615385
2020-10-16,2020-10-17,0,0.015384615384615385
2020-10-18,2020-10-19,3,0.015384615384615385
2020-10-22,2020-10-23,3,0.015384615384615385
2020-10-23,2020-10-24,2,0.015384615384615385
2020-10-24,2020-10-25,2,0.015384615384615385
2020-10-25,2020-10-26,5,0.015384615384615385
2020-10-26,2020-10-27,0,0.015384615384615385
2020-10-27,2020-10-28,2,0.015384615384615385
2020-10-28,2020-10-29,5,0.015384615384615385
2020-10-28,2020-10-29,8,0.015384615384615385
2020-10-29,2020-10-30,0,0.015384615384615385
2020-10-30,2020-10-31,0,0.015384615384615385
2020-10-31,2020-11-01,3,0.03076923076923077
2020-11-01,2020-11-02,10,0.015384615384615385
2020-11-02,2020-11-03,5,0.015384615384615385
2020-11-03,2020-11-04,1,0.015384615384615385
2020-11-04,2020-11-05,1,0.015384615384615385
2020-11-04,2020-11-05,13,0.015384615384615385
2020-11-05,2020-11-06,1,0.015384615384615385
2020-11-05,2020-11-06,53,0.015384615384615385
2020-11-06,2020-11-07,0,0.046153846153846156
2020-11-08,2020-11-09,7,0.015384615384615385
2020-11-09,2020-11-10,0,0.015384615384615385
2020-11-10,2020-11-11,0,0.03076923076923077
2020-11-11,2020-11-12,13,0.015384615384615385
2020-11-13,2020-11-14,5,0.015384615384615385
2020-11-16,2020-11-17,2,0.015384615384615385
2020-11-16,2020-11-17,43,0.015384615384615385
2020-11-18,2020-11-19,3,0.015384615384615385
2020-11-18,2020-11-19,22,0.015384615384615385
2020-11-19,2020-11-20,2,0.015384615384615385
2020-11-20,2020-11-21,22,0.015384615384615385
2020-11-23,2020-11-24,2,0.015384615384615385
2020-11-23,2020-11-24,25,0.015384615384615385
2020-11-24,2020-11-25,8,0.015384615384615385
2020-11-25,2020-11-26,9,0.015384615384615385
2020-11-26,2020-11-27,14,0.015384615384615385
2020-11-27,2020-11-28,0,0.015384615384615385
2020-11-28,2020-11-29,1,0.015384615384615385
2020-11-29,2020-11-30,0,0.015384615384615385
2020-11-30,2020-12-01,2,0.015384615384615385
2020-12-03,2020-12-04,2,0.015384615384615385
2020-12-05,2020-12-06,15,0.015384615384615385
2020-12-11,2020-12-12,16,0.015384615384615385
