data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-03-05,2020-03-06,10,0.028380634390651086,1.0
2020-03-09,2020-03-10,2,0.0667779632721202,1.0
2020-03-11,2020-03-12,5,0.048414023372287146,1.0
2020-03-15,2020-03-16,31,0.01335559265442404,0.16
2020-03-15,2020-03-16,27,0.021702838063439065,0.26
2020-03-15,2020-03-16,6,0.048414023372287146,0.58
2020-03-17,2020-03-18,50,0.001669449081803005,1.0
2020-03-19,2020-03-20,3,0.06176961602671119,1.0
2020-03-21,2020-03-22,1,0.07011686143572621,0.525
2020-03-21,2020-03-22,4,0.05342237061769616,0.4
2020-03-21,2020-03-22,51,0.00333889816360601,0.025
2020-03-21,2020-03-22,23,0.00667779632721202,0.05
2020-03-23,2020-03-24,43,0.00667779632721202,0.031496062992125984
2020-03-23,2020-03-24,17,0.025041736227045076,0.11811023622047244
2020-03-23,2020-03-24,18,0.02671118530884808,0.12598425196850394
2020-03-23,2020-03-24,12,0.02337228714524207,0.11023622047244094
2020-03-23,2020-03-24,22,0.02003338898163606,0.09448818897637795
2020-03-23,2020-03-24,7,0.04006677796327212,0.1889763779527559
2020-03-23,2020-03-24,11,0.028380634390651086,0.13385826771653545
2020-03-23,2020-03-24,28,0.01669449081803005,0.07874015748031496
2020-03-23,2020-03-24,15,0.025041736227045076,0.11811023622047244
2020-03-27,2020-03-28,25,0.01001669449081803,0.2222222222222222
2020-03-27,2020-03-28,0,0.035058430717863104,0.7777777777777778
2020-03-29,2020-03-30,36,0.00333889816360601,1.0
2020-04-04,2020-04-05,8,0.035058430717863104,1.0
2020-04-06,2020-04-07,83,0.001669449081803005,1.0
2020-04-08,2020-04-09,19,0.02337228714524207,1.0
2020-04-12,2020-04-13,14,0.01669449081803005,0.5882352941176471
2020-04-12,2020-04-13,26,0.011686143572621035,0.4117647058823529
2020-04-14,2020-04-15,45,0.00667779632721202,1.0
2020-04-16,2020-04-17,13,0.028380634390651086,1.0
2020-04-18,2020-04-19,32,0.008347245409015025,1.0
2020-04-24,2020-04-25,38,0.00667779632721202,1.0
2020-05-04,2020-05-05,30,0.01669449081803005,1.0
2020-05-08,2020-05-09,44,0.01001669449081803,1.0
2020-05-14,2020-05-15,152,0.001669449081803005,1.0
2020-05-20,2020-05-21,16,0.028380634390651086,1.0
2020-10-05,2020-10-06,33,0.00667779632721202,1.0
2020-10-15,2020-10-16,29,0.01335559265442404,1.0
2020-10-17,2020-10-18,20,0.008347245409015025,0.8333333333333334
2020-10-17,2020-10-18,63,0.001669449081803005,0.16666666666666666
2020-10-27,2020-10-28,21,0.008347245409015025,1.0
2020-10-29,2020-10-30,58,0.00333889816360601,0.08695652173913043
2020-10-29,2020-10-30,37,0.01335559265442404,0.34782608695652173
2020-10-29,2020-10-30,9,0.021702838063439065,0.5652173913043478
2020-10-31,2020-11-01,35,0.00667779632721202,0.6666666666666666
2020-10-31,2020-11-01,54,0.001669449081803005,0.16666666666666666
2020-10-31,2020-11-01,56,0.001669449081803005,0.16666666666666666
2020-11-02,2020-11-03,48,0.00333889816360601,0.3333333333333333
2020-11-02,2020-11-03,46,0.001669449081803005,0.16666666666666666
2020-11-02,2020-11-03,34,0.005008347245409015,0.5
2020-11-04,2020-11-05,53,0.001669449081803005,0.2
2020-11-04,2020-11-05,40,0.001669449081803005,0.2
2020-11-04,2020-11-05,42,0.00333889816360601,0.4
2020-11-04,2020-11-05,52,0.001669449081803005,0.2
2020-11-08,2020-11-09,49,0.001669449081803005,1.0
2020-11-10,2020-11-11,41,0.005008347245409015,1.0
2020-11-12,2020-11-13,39,0.00333889816360601,1.0
2020-11-14,2020-11-15,24,0.005008347245409015,1.0
