data_inizio,data_fine,delay,frequenza_delay
2020-02-26,2020-02-26,39,0.002044989775051125
2020-02-27,2020-02-27,10,0.002044989775051125
2020-02-27,2020-02-27,15,0.002044989775051125
2020-03-03,2020-03-03,41,0.002044989775051125
2020-03-04,2020-03-04,10,0.002044989775051125
2020-03-06,2020-03-06,6,0.002044989775051125
2020-03-06,2020-03-06,9,0.002044989775051125
2020-03-07,2020-03-07,15,0.002044989775051125
2020-03-08,2020-03-08,7,0.00408997955010225
2020-03-08,2020-03-08,18,0.002044989775051125
2020-03-08,2020-03-08,63,0.002044989775051125
2020-03-08,2020-03-08,40,0.002044989775051125
2020-03-09,2020-03-09,1,0.002044989775051125
2020-03-09,2020-03-09,16,0.002044989775051125
2020-03-09,2020-03-09,64,0.002044989775051125
2020-03-10,2020-03-10,4,0.002044989775051125
2020-03-10,2020-03-10,34,0.002044989775051125
2020-03-10,2020-03-10,3,0.002044989775051125
2020-03-11,2020-03-11,20,0.002044989775051125
2020-03-11,2020-03-11,13,0.002044989775051125
2020-03-11,2020-03-11,21,0.00408997955010225
2020-03-11,2020-03-11,0,0.002044989775051125
2020-03-11,2020-03-11,2,0.002044989775051125
2020-03-12,2020-03-12,15,0.002044989775051125
2020-03-12,2020-03-12,5,0.00408997955010225
2020-03-12,2020-03-12,37,0.002044989775051125
2020-03-12,2020-03-12,44,0.002044989775051125
2020-03-12,2020-03-12,33,0.002044989775051125
2020-03-13,2020-03-13,5,0.00408997955010225
2020-03-13,2020-03-13,94,0.002044989775051125
2020-03-13,2020-03-13,23,0.002044989775051125
2020-03-13,2020-03-13,47,0.002044989775051125
2020-03-13,2020-03-13,26,0.002044989775051125
2020-03-13,2020-03-13,54,0.002044989775051125
2020-03-13,2020-03-13,28,0.002044989775051125
2020-03-14,2020-03-14,13,0.002044989775051125
2020-03-14,2020-03-14,17,0.00408997955010225
2020-03-14,2020-03-14,14,0.002044989775051125
2020-03-14,2020-03-14,76,0.002044989775051125
2020-03-14,2020-03-14,24,0.002044989775051125
2020-03-14,2020-03-14,31,0.002044989775051125
2020-03-14,2020-03-14,120,0.002044989775051125
2020-03-14,2020-03-14,8,0.002044989775051125
2020-03-15,2020-03-15,3,0.00408997955010225
2020-03-15,2020-03-15,12,0.002044989775051125
2020-03-15,2020-03-15,104,0.002044989775051125
2020-03-16,2020-03-16,13,0.00408997955010225
2020-03-16,2020-03-16,30,0.002044989775051125
2020-03-16,2020-03-16,25,0.002044989775051125
2020-03-16,2020-03-16,29,0.002044989775051125
2020-03-16,2020-03-16,43,0.002044989775051125
2020-03-17,2020-03-17,8,0.002044989775051125
2020-03-17,2020-03-17,11,0.002044989775051125
2020-03-17,2020-03-17,27,0.00408997955010225
2020-03-17,2020-03-17,58,0.002044989775051125
2020-03-18,2020-03-18,15,0.00408997955010225
2020-03-18,2020-03-18,45,0.002044989775051125
2020-03-18,2020-03-18,55,0.002044989775051125
2020-03-18,2020-03-18,19,0.002044989775051125
2020-03-19,2020-03-19,14,0.002044989775051125
2020-03-19,2020-03-19,74,0.002044989775051125
2020-03-19,2020-03-19,69,0.002044989775051125
2020-03-19,2020-03-19,35,0.002044989775051125
2020-03-20,2020-03-20,19,0.00408997955010225
2020-03-20,2020-03-20,84,0.002044989775051125
2020-03-20,2020-03-20,66,0.002044989775051125
2020-03-21,2020-03-21,14,0.002044989775051125
2020-03-21,2020-03-21,32,0.002044989775051125
2020-03-21,2020-03-21,22,0.002044989775051125
2020-03-22,2020-03-22,18,0.006134969325153374
2020-03-23,2020-03-23,13,0.00408997955010225
2020-03-23,2020-03-23,57,0.002044989775051125
2020-03-23,2020-03-23,50,0.002044989775051125
2020-03-24,2020-03-24,8,0.002044989775051125
2020-03-25,2020-03-25,11,0.002044989775051125
2020-03-25,2020-03-25,38,0.002044989775051125
2020-03-25,2020-03-25,60,0.002044989775051125
2020-03-26,2020-03-26,4,0.002044989775051125
2020-03-26,2020-03-26,49,0.002044989775051125
2020-03-27,2020-03-27,34,0.002044989775051125
2020-03-27,2020-03-27,52,0.002044989775051125
2020-03-28,2020-03-28,33,0.002044989775051125
2020-03-28,2020-03-28,78,0.002044989775051125
2020-03-29,2020-03-29,41,0.00408997955010225
2020-03-30,2020-03-30,20,0.002044989775051125
2020-03-30,2020-03-30,70,0.002044989775051125
2020-03-31,2020-03-31,6,0.00408997955010225
2020-04-01,2020-04-01,8,0.002044989775051125
2020-04-01,2020-04-01,48,0.002044989775051125
2020-04-01,2020-04-01,61,0.002044989775051125
2020-04-02,2020-04-02,20,0.00408997955010225
2020-04-02,2020-04-02,59,0.002044989775051125
2020-04-02,2020-04-02,67,0.002044989775051125
2020-04-02,2020-04-02,62,0.002044989775051125
2020-04-03,2020-04-03,12,0.00408997955010225
2020-04-04,2020-04-04,40,0.002044989775051125
2020-04-05,2020-04-05,15,0.00408997955010225
2020-04-05,2020-04-05,46,0.002044989775051125
2020-04-06,2020-04-06,25,0.002044989775051125
2020-04-06,2020-04-06,65,0.002044989775051125
2020-04-07,2020-04-07,11,0.002044989775051125
2020-04-08,2020-04-08,24,0.002044989775051125
2020-04-08,2020-04-08,77,0.002044989775051125
2020-04-08,2020-04-08,42,0.002044989775051125
2020-04-09,2020-04-09,1,0.002044989775051125
2020-04-10,2020-04-10,6,0.002044989775051125
2020-04-10,2020-04-10,36,0.002044989775051125
2020-04-11,2020-04-11,15,0.002044989775051125
2020-04-12,2020-04-12,7,0.002044989775051125
2020-04-12,2020-04-12,72,0.002044989775051125
2020-04-13,2020-04-13,25,0.002044989775051125
2020-04-14,2020-04-14,24,0.002044989775051125
2020-04-14,2020-04-14,90,0.002044989775051125
2020-04-15,2020-04-15,17,0.006134969325153374
2020-04-15,2020-04-15,51,0.002044989775051125
2020-04-16,2020-04-16,13,0.00408997955010225
2020-04-16,2020-04-16,68,0.002044989775051125
2020-04-17,2020-04-17,1,0.002044989775051125
2020-04-18,2020-04-18,7,0.002044989775051125
2020-04-18,2020-04-18,73,0.002044989775051125
2020-04-18,2020-04-18,116,0.002044989775051125
2020-04-19,2020-04-19,31,0.002044989775051125
2020-04-20,2020-04-20,3,0.002044989775051125
2020-04-21,2020-04-21,23,0.00408997955010225
2020-04-22,2020-04-22,49,0.002044989775051125
2020-04-23,2020-04-23,12,0.002044989775051125
2020-04-24,2020-04-24,2,0.002044989775051125
2020-04-25,2020-04-25,12,0.002044989775051125
2020-04-26,2020-04-26,4,0.002044989775051125
2020-04-27,2020-04-27,10,0.00408997955010225
2020-04-28,2020-04-28,23,0.002044989775051125
2020-04-28,2020-04-28,92,0.002044989775051125
2020-04-29,2020-04-29,17,0.002044989775051125
2020-04-30,2020-04-30,4,0.002044989775051125
2020-05-01,2020-05-01,32,0.002044989775051125
2020-05-02,2020-05-02,10,0.002044989775051125
2020-05-03,2020-05-03,13,0.002044989775051125
2020-05-04,2020-05-04,16,0.00408997955010225
2020-05-05,2020-05-05,9,0.002044989775051125
2020-05-06,2020-05-06,48,0.002044989775051125
2020-05-07,2020-05-07,10,0.002044989775051125
2020-05-08,2020-05-08,8,0.002044989775051125
2020-05-09,2020-05-09,23,0.002044989775051125
2020-05-11,2020-05-11,7,0.002044989775051125
2020-05-13,2020-05-13,32,0.002044989775051125
2020-05-14,2020-05-14,18,0.002044989775051125
2020-05-15,2020-05-15,22,0.002044989775051125
2020-05-17,2020-05-17,39,0.002044989775051125
2020-05-18,2020-05-18,17,0.002044989775051125
2020-05-19,2020-05-19,9,0.002044989775051125
2020-05-20,2020-05-20,2,0.002044989775051125
2020-05-22,2020-05-22,3,0.002044989775051125
2020-05-26,2020-05-26,34,0.002044989775051125
2020-05-28,2020-05-28,13,0.002044989775051125
2020-05-29,2020-05-29,35,0.002044989775051125
2020-05-30,2020-05-30,7,0.002044989775051125
2020-06-06,2020-06-06,48,0.002044989775051125
2020-06-07,2020-06-07,14,0.002044989775051125
2020-06-08,2020-06-08,8,0.002044989775051125
2020-06-09,2020-06-09,7,0.002044989775051125
2020-06-11,2020-06-11,28,0.002044989775051125
2020-06-12,2020-06-12,10,0.002044989775051125
2020-06-13,2020-06-13,5,0.002044989775051125
2020-06-18,2020-06-18,19,0.002044989775051125
2020-06-27,2020-06-27,83,0.002044989775051125
2020-07-20,2020-07-20,38,0.002044989775051125
2020-07-21,2020-07-21,23,0.002044989775051125
2020-07-23,2020-07-23,10,0.002044989775051125
2020-08-03,2020-08-03,5,0.002044989775051125
2020-08-11,2020-08-11,26,0.002044989775051125
2020-08-20,2020-08-20,42,0.002044989775051125
2020-08-21,2020-08-21,3,0.002044989775051125
2020-08-22,2020-08-22,89,0.002044989775051125
2020-08-27,2020-08-27,1,0.002044989775051125
2020-09-01,2020-09-01,1,0.002044989775051125
2020-09-02,2020-09-02,16,0.002044989775051125
2020-09-03,2020-09-03,1,0.002044989775051125
2020-09-04,2020-09-04,16,0.002044989775051125
2020-09-05,2020-09-05,8,0.002044989775051125
2020-09-07,2020-09-07,13,0.002044989775051125
2020-09-08,2020-09-08,50,0.002044989775051125
2020-09-09,2020-09-09,0,0.002044989775051125
2020-09-10,2020-09-10,4,0.002044989775051125
2020-09-11,2020-09-11,60,0.002044989775051125
2020-09-16,2020-09-16,23,0.002044989775051125
2020-09-17,2020-09-17,14,0.002044989775051125
2020-09-18,2020-09-18,13,0.002044989775051125
2020-09-19,2020-09-19,28,0.00408997955010225
2020-09-20,2020-09-20,23,0.002044989775051125
2020-09-21,2020-09-21,22,0.002044989775051125
2020-09-22,2020-09-22,27,0.002044989775051125
2020-09-23,2020-09-23,35,0.002044989775051125
2020-09-24,2020-09-24,8,0.002044989775051125
2020-09-25,2020-09-25,7,0.002044989775051125
2020-09-26,2020-09-26,91,0.002044989775051125
2020-09-27,2020-09-27,28,0.002044989775051125
2020-09-28,2020-09-28,6,0.002044989775051125
2020-09-29,2020-09-29,1,0.002044989775051125
2020-09-30,2020-09-30,5,0.002044989775051125
2020-10-01,2020-10-01,26,0.002044989775051125
2020-10-02,2020-10-02,73,0.002044989775051125
2020-10-03,2020-10-03,11,0.002044989775051125
2020-10-04,2020-10-04,3,0.002044989775051125
2020-10-05,2020-10-05,1,0.002044989775051125
2020-10-06,2020-10-06,47,0.002044989775051125
2020-10-07,2020-10-07,26,0.002044989775051125
2020-10-08,2020-10-08,8,0.002044989775051125
2020-10-09,2020-10-09,15,0.002044989775051125
2020-10-10,2020-10-10,7,0.002044989775051125
2020-10-11,2020-10-11,9,0.002044989775051125
2020-10-12,2020-10-12,14,0.002044989775051125
2020-10-13,2020-10-13,14,0.002044989775051125
2020-10-14,2020-10-14,5,0.002044989775051125
2020-10-15,2020-10-15,1,0.002044989775051125
2020-10-16,2020-10-16,22,0.002044989775051125
2020-10-17,2020-10-17,13,0.002044989775051125
