data_inizio,data_fine,delay,frequenza_delay
2020-02-25,2020-02-26,6,0.000984251968503937
2020-02-27,2020-02-28,28,0.000984251968503937
2020-02-28,2020-02-29,8,0.000984251968503937
2020-02-29,2020-03-01,22,0.000984251968503937
2020-02-29,2020-03-01,36,0.000984251968503937
2020-03-02,2020-03-03,13,0.001968503937007874
2020-03-03,2020-03-04,36,0.000984251968503937
2020-03-04,2020-03-05,74,0.000984251968503937
2020-03-04,2020-03-05,21,0.000984251968503937
2020-03-04,2020-03-05,16,0.000984251968503937
2020-03-05,2020-03-06,12,0.000984251968503937
2020-03-05,2020-03-06,10,0.000984251968503937
2020-03-05,2020-03-06,1,0.000984251968503937
2020-03-05,2020-03-06,33,0.000984251968503937
2020-03-06,2020-03-07,17,0.000984251968503937
2020-03-06,2020-03-07,31,0.000984251968503937
2020-03-06,2020-03-07,54,0.000984251968503937
2020-03-06,2020-03-07,32,0.000984251968503937
2020-03-07,2020-03-08,10,0.000984251968503937
2020-03-07,2020-03-08,4,0.000984251968503937
2020-03-07,2020-03-08,30,0.000984251968503937
2020-03-07,2020-03-08,166,0.000984251968503937
2020-03-07,2020-03-08,9,0.000984251968503937
2020-03-08,2020-03-09,14,0.000984251968503937
2020-03-08,2020-03-09,15,0.001968503937007874
2020-03-08,2020-03-09,48,0.000984251968503937
2020-03-08,2020-03-09,5,0.000984251968503937
2020-03-08,2020-03-09,20,0.000984251968503937
2020-03-09,2020-03-10,10,0.000984251968503937
2020-03-09,2020-03-10,162,0.000984251968503937
2020-03-09,2020-03-10,34,0.000984251968503937
2020-03-10,2020-03-11,12,0.001968503937007874
2020-03-10,2020-03-11,77,0.000984251968503937
2020-03-10,2020-03-11,29,0.000984251968503937
2020-03-10,2020-03-11,105,0.000984251968503937
2020-03-11,2020-03-12,20,0.000984251968503937
2020-03-11,2020-03-12,11,0.001968503937007874
2020-03-11,2020-03-12,57,0.000984251968503937
2020-03-11,2020-03-12,38,0.000984251968503937
2020-03-11,2020-03-12,18,0.000984251968503937
2020-03-11,2020-03-12,23,0.000984251968503937
2020-03-11,2020-03-12,19,0.000984251968503937
2020-03-11,2020-03-12,116,0.000984251968503937
2020-03-11,2020-03-12,100,0.000984251968503937
2020-03-12,2020-03-13,14,0.001968503937007874
2020-03-12,2020-03-13,69,0.000984251968503937
2020-03-12,2020-03-13,51,0.000984251968503937
2020-03-12,2020-03-13,3,0.001968503937007874
2020-03-12,2020-03-13,269,0.000984251968503937
2020-03-12,2020-03-13,106,0.000984251968503937
2020-03-12,2020-03-13,126,0.000984251968503937
2020-03-12,2020-03-13,27,0.000984251968503937
2020-03-12,2020-03-13,7,0.001968503937007874
2020-03-12,2020-03-13,35,0.000984251968503937
2020-03-12,2020-03-13,127,0.000984251968503937
2020-03-12,2020-03-13,46,0.000984251968503937
2020-03-12,2020-03-13,26,0.000984251968503937
2020-03-13,2020-03-14,44,0.000984251968503937
2020-03-13,2020-03-14,25,0.002952755905511811
2020-03-13,2020-03-14,40,0.000984251968503937
2020-03-13,2020-03-14,86,0.000984251968503937
2020-03-14,2020-03-15,28,0.000984251968503937
2020-03-14,2020-03-15,78,0.001968503937007874
2020-03-14,2020-03-15,53,0.000984251968503937
2020-03-14,2020-03-15,103,0.000984251968503937
2020-03-14,2020-03-15,92,0.000984251968503937
2020-03-14,2020-03-15,95,0.000984251968503937
2020-03-14,2020-03-15,52,0.000984251968503937
2020-03-14,2020-03-15,72,0.000984251968503937
2020-03-14,2020-03-15,2,0.001968503937007874
2020-03-14,2020-03-15,58,0.000984251968503937
2020-03-14,2020-03-15,39,0.000984251968503937
2020-03-14,2020-03-15,41,0.000984251968503937
2020-03-15,2020-03-16,4,0.000984251968503937
2020-03-15,2020-03-16,87,0.000984251968503937
2020-03-15,2020-03-16,59,0.000984251968503937
2020-03-15,2020-03-16,108,0.000984251968503937
2020-03-16,2020-03-17,3,0.000984251968503937
2020-03-16,2020-03-17,45,0.000984251968503937
2020-03-16,2020-03-17,24,0.001968503937007874
2020-03-16,2020-03-17,70,0.000984251968503937
2020-03-16,2020-03-17,49,0.000984251968503937
2020-03-16,2020-03-17,50,0.000984251968503937
2020-03-17,2020-03-18,33,0.000984251968503937
2020-03-17,2020-03-18,63,0.000984251968503937
2020-03-17,2020-03-18,71,0.000984251968503937
2020-03-17,2020-03-18,43,0.000984251968503937
2020-03-18,2020-03-19,69,0.000984251968503937
2020-03-18,2020-03-19,65,0.000984251968503937
2020-03-19,2020-03-20,5,0.003937007874015748
2020-03-19,2020-03-20,42,0.000984251968503937
2020-03-20,2020-03-21,23,0.001968503937007874
2020-03-20,2020-03-21,121,0.000984251968503937
2020-03-20,2020-03-21,83,0.001968503937007874
2020-03-21,2020-03-22,4,0.001968503937007874
2020-03-21,2020-03-22,90,0.000984251968503937
2020-03-21,2020-03-22,102,0.000984251968503937
2020-03-22,2020-03-23,29,0.000984251968503937
2020-03-22,2020-03-23,120,0.000984251968503937
2020-03-22,2020-03-23,119,0.000984251968503937
2020-03-22,2020-03-23,73,0.000984251968503937
2020-03-22,2020-03-23,67,0.001968503937007874
2020-03-22,2020-03-23,55,0.000984251968503937
2020-03-22,2020-03-23,101,0.000984251968503937
2020-03-22,2020-03-23,47,0.000984251968503937
2020-03-22,2020-03-23,56,0.000984251968503937
2020-03-22,2020-03-23,117,0.000984251968503937
2020-03-22,2020-03-23,236,0.000984251968503937
2020-03-22,2020-03-23,144,0.000984251968503937
2020-03-22,2020-03-23,68,0.000984251968503937
2020-03-22,2020-03-23,107,0.000984251968503937
2020-03-23,2020-03-24,15,0.004921259842519685
2020-03-23,2020-03-24,110,0.000984251968503937
2020-03-24,2020-03-25,11,0.002952755905511811
2020-03-25,2020-03-26,6,0.004921259842519685
2020-03-25,2020-03-26,37,0.000984251968503937
2020-03-25,2020-03-26,61,0.000984251968503937
2020-03-25,2020-03-26,75,0.000984251968503937
2020-03-26,2020-03-27,9,0.005905511811023622
2020-03-26,2020-03-27,180,0.000984251968503937
2020-03-26,2020-03-27,96,0.000984251968503937
2020-03-27,2020-03-28,2,0.000984251968503937
2020-03-27,2020-03-28,89,0.000984251968503937
2020-03-27,2020-03-28,279,0.000984251968503937
2020-03-27,2020-03-28,134,0.000984251968503937
2020-03-27,2020-03-28,199,0.000984251968503937
2020-03-27,2020-03-28,79,0.000984251968503937
2020-03-28,2020-03-29,28,0.000984251968503937
