data_inizio,data_fine,delay,frequenza_delay
2020-03-02,2020-03-02,19,0.0016638935108153079
2020-03-02,2020-03-02,16,0.0016638935108153079
2020-03-03,2020-03-03,20,0.0016638935108153079
2020-03-04,2020-03-04,17,0.0016638935108153079
2020-03-05,2020-03-05,15,0.0016638935108153079
2020-03-06,2020-03-06,21,0.0016638935108153079
2020-03-07,2020-03-07,19,0.0016638935108153079
2020-03-07,2020-03-07,14,0.0016638935108153079
2020-03-08,2020-03-08,19,0.0016638935108153079
2020-03-09,2020-03-09,19,0.0016638935108153079
2020-03-10,2020-03-10,18,0.0016638935108153079
2020-03-11,2020-03-11,17,0.0033277870216306157
2020-03-12,2020-03-12,18,0.0016638935108153079
2020-03-13,2020-03-13,17,0.0033277870216306157
2020-03-14,2020-03-14,19,0.0016638935108153079
2020-03-15,2020-03-15,18,0.0033277870216306157
2020-03-16,2020-03-16,19,0.0033277870216306157
2020-03-17,2020-03-17,18,0.004991680532445923
2020-03-18,2020-03-18,19,0.009983361064891847
2020-03-19,2020-03-19,15,0.004991680532445923
2020-03-20,2020-03-20,16,0.004991680532445923
2020-03-21,2020-03-21,19,0.004991680532445923
2020-03-22,2020-03-22,18,0.0066555740432612314
2020-03-23,2020-03-23,18,0.004991680532445923
2020-03-24,2020-03-24,20,0.0033277870216306157
2020-03-25,2020-03-25,16,0.004991680532445923
2020-03-26,2020-03-26,14,0.0016638935108153079
2020-03-27,2020-03-27,14,0.004991680532445923
2020-03-28,2020-03-28,16,0.004991680532445923
2020-03-29,2020-03-29,15,0.0016638935108153079
2020-03-30,2020-03-30,15,0.0066555740432612314
2020-03-31,2020-03-31,16,0.0033277870216306157
2020-04-01,2020-04-01,17,0.0016638935108153079
2020-04-02,2020-04-02,18,0.0066555740432612314
2020-04-03,2020-04-03,17,0.0033277870216306157
2020-04-04,2020-04-04,17,0.004991680532445923
2020-04-05,2020-04-05,16,0.004991680532445923
2020-04-06,2020-04-06,17,0.0033277870216306157
2020-04-07,2020-04-07,21,0.0066555740432612314
2020-04-08,2020-04-08,20,0.004991680532445923
2020-04-09,2020-04-09,16,0.0016638935108153079
2020-04-10,2020-04-10,14,0.004991680532445923
2020-04-11,2020-04-11,18,0.004991680532445923
2020-04-12,2020-04-12,18,0.0033277870216306157
2020-04-13,2020-04-13,16,0.0066555740432612314
2020-04-14,2020-04-14,17,0.0033277870216306157
2020-04-15,2020-04-15,15,0.0033277870216306157
2020-04-16,2020-04-16,17,0.004991680532445923
2020-04-17,2020-04-17,17,0.0016638935108153079
2020-04-18,2020-04-18,21,0.0016638935108153079
2020-04-19,2020-04-19,16,0.0033277870216306157
2020-04-20,2020-04-20,15,0.0033277870216306157
2020-04-21,2020-04-21,21,0.0016638935108153079
2020-04-22,2020-04-22,15,0.0033277870216306157
2020-04-23,2020-04-23,21,0.0033277870216306157
2020-04-24,2020-04-24,14,0.0033277870216306157
2020-04-25,2020-04-25,17,0.0033277870216306157
2020-04-26,2020-04-26,17,0.0016638935108153079
2020-04-27,2020-04-27,21,0.0016638935108153079
2020-04-28,2020-04-28,21,0.0016638935108153079
2020-04-29,2020-04-29,15,0.0016638935108153079
2020-04-30,2020-04-30,18,0.0033277870216306157
2020-05-01,2020-05-01,19,0.0016638935108153079
2020-05-02,2020-05-02,14,0.0016638935108153079
2020-05-03,2020-05-03,20,0.0016638935108153079
2020-05-04,2020-05-04,20,0.0033277870216306157
2020-05-05,2020-05-05,16,0.0016638935108153079
2020-05-06,2020-05-06,17,0.0033277870216306157
2020-05-08,2020-05-08,20,0.0016638935108153079
2020-05-09,2020-05-09,19,0.0033277870216306157
2020-05-12,2020-05-12,20,0.0016638935108153079
2020-05-13,2020-05-13,20,0.0016638935108153079
2020-05-14,2020-05-14,20,0.0016638935108153079
2020-05-15,2020-05-15,17,0.0016638935108153079
2020-05-17,2020-05-17,17,0.0016638935108153079
2020-05-18,2020-05-18,17,0.0016638935108153079
2020-05-20,2020-05-20,18,0.0016638935108153079
2020-05-21,2020-05-21,16,0.0033277870216306157
2020-05-22,2020-05-22,16,0.0016638935108153079
2020-05-23,2020-05-23,16,0.0016638935108153079
2020-05-25,2020-05-25,18,0.0016638935108153079
2020-05-27,2020-05-27,21,0.0016638935108153079
