data_inizio,data_fine,delay,frequenza_delay
2020-03-07,2020-03-07,0,0.002793296089385475
2020-03-11,2020-03-11,0,0.002793296089385475
2020-03-14,2020-03-14,0,0.002793296089385475
2020-03-16,2020-03-16,0,0.002793296089385475
2020-03-17,2020-03-17,0,0.002793296089385475
2020-03-18,2020-03-18,0,0.008379888268156424
2020-03-19,2020-03-19,0,0.00558659217877095
2020-03-21,2020-03-21,0,0.008379888268156424
2020-03-22,2020-03-22,0,0.008379888268156424
2020-03-23,2020-03-23,0,0.00558659217877095
2020-03-24,2020-03-24,0,0.002793296089385475
2020-03-25,2020-03-25,0,0.002793296089385475
2020-03-27,2020-03-27,0,0.0111731843575419
2020-03-28,2020-03-28,0,0.0111731843575419
2020-03-29,2020-03-29,0,0.00558659217877095
2020-04-01,2020-04-01,0,0.002793296089385475
2020-04-02,2020-04-02,0,0.002793296089385475
2020-04-03,2020-04-03,0,0.002793296089385475
2020-04-04,2020-04-04,0,0.00558659217877095
2020-04-05,2020-04-05,0,0.00558659217877095
2020-04-07,2020-04-07,0,0.00558659217877095
2020-04-08,2020-04-08,0,0.00558659217877095
2020-04-10,2020-04-10,0,0.008379888268156424
2020-04-11,2020-04-11,0,0.002793296089385475
2020-04-12,2020-04-12,0,0.002793296089385475
2020-04-14,2020-04-14,0,0.002793296089385475
2020-04-15,2020-04-15,0,0.002793296089385475
2020-04-16,2020-04-16,0,0.002793296089385475
2020-04-17,2020-04-17,0,0.002793296089385475
2020-04-18,2020-04-18,0,0.008379888268156424
2020-04-19,2020-04-19,0,0.002793296089385475
2020-04-20,2020-04-20,0,0.002793296089385475
2020-04-24,2020-04-24,0,0.002793296089385475
2020-04-25,2020-04-25,0,0.002793296089385475
2020-04-28,2020-04-28,0,0.002793296089385475
2020-05-01,2020-05-01,0,0.00558659217877095
2020-05-02,2020-05-02,0,0.00558659217877095
2020-05-05,2020-05-05,0,0.002793296089385475
2020-05-07,2020-05-07,0,0.002793296089385475
2020-05-25,2020-05-25,0,0.002793296089385475
2020-05-26,2020-05-26,0,0.002793296089385475
2020-07-09,2020-07-09,0,0.002793296089385475
2020-09-03,2020-09-03,0,0.002793296089385475
2020-09-24,2020-09-24,0,0.002793296089385475
2020-09-28,2020-09-28,0,0.002793296089385475
2020-09-30,2020-09-30,0,0.00558659217877095
2020-10-06,2020-10-06,0,0.002793296089385475
2020-10-08,2020-10-08,0,0.002793296089385475
2020-10-11,2020-10-11,0,0.002793296089385475
2020-10-13,2020-10-13,0,0.002793296089385475
2020-10-14,2020-10-14,0,0.002793296089385475
2020-10-15,2020-10-15,0,0.008379888268156424
2020-10-16,2020-10-16,0,0.002793296089385475
2020-10-17,2020-10-17,0,0.002793296089385475
2020-10-19,2020-10-19,0,0.002793296089385475
2020-10-20,2020-10-20,0,0.002793296089385475
2020-10-21,2020-10-21,0,0.00558659217877095
2020-10-22,2020-10-22,0,0.00558659217877095
2020-10-23,2020-10-23,0,0.00558659217877095
2020-10-24,2020-10-24,0,0.002793296089385475
2020-10-25,2020-10-25,0,0.0111731843575419
2020-10-26,2020-10-26,0,0.008379888268156424
2020-10-27,2020-10-27,0,0.0223463687150838
2020-10-28,2020-10-28,0,0.008379888268156424
2020-10-29,2020-10-29,0,0.008379888268156424
2020-10-30,2020-10-30,0,0.0111731843575419
2020-10-31,2020-10-31,0,0.01675977653631285
2020-11-01,2020-11-01,0,0.019553072625698324
2020-11-02,2020-11-02,0,0.013966480446927373
2020-11-03,2020-11-03,0,0.01675977653631285
2020-11-04,2020-11-04,0,0.0223463687150838
2020-11-05,2020-11-05,0,0.013966480446927373
2020-11-06,2020-11-06,0,0.03910614525139665
2020-11-07,2020-11-07,0,0.025139664804469275
2020-11-08,2020-11-08,0,0.008379888268156424
2020-11-09,2020-11-09,0,0.00558659217877095
2020-11-10,2020-11-10,0,0.0111731843575419
2020-11-11,2020-11-11,0,0.025139664804469275
2020-11-12,2020-11-12,0,0.036312849162011177
2020-11-13,2020-11-13,0,0.036312849162011177
2020-11-14,2020-11-14,0,0.019553072625698324
2020-11-15,2020-11-15,0,0.019553072625698324
2020-11-16,2020-11-16,0,0.025139664804469275
2020-11-17,2020-11-17,0,0.008379888268156424
2020-11-18,2020-11-18,0,0.0335195530726257
2020-11-19,2020-11-19,0,0.008379888268156424
2020-11-20,2020-11-20,0,0.027932960893854747
2020-11-21,2020-11-21,0,0.01675977653631285
2020-11-22,2020-11-22,0,0.00558659217877095
2020-11-23,2020-11-23,0,0.0111731843575419
2020-11-24,2020-11-24,0,0.008379888268156424
2020-11-25,2020-11-25,0,0.008379888268156424
2020-11-26,2020-11-26,0,0.019553072625698324
2020-11-27,2020-11-27,0,0.00558659217877095
2020-11-28,2020-11-28,0,0.01675977653631285
2020-11-29,2020-11-29,0,0.0111731843575419
2020-11-30,2020-11-30,0,0.019553072625698324
2020-12-01,2020-12-01,0,0.002793296089385475
2020-12-02,2020-12-02,0,0.00558659217877095
2020-12-03,2020-12-03,0,0.013966480446927373
2020-12-04,2020-12-04,0,0.0111731843575419
