data_inizio,data_fine,delay,frequenza_delay,binned_frequenza_delay
2020-02-26,2020-03-04,16,0.14055299539170507,0.47378640776699027
2020-02-26,2020-03-04,15,0.15610599078341014,0.5262135922330097
2020-03-05,2020-03-12,19,0.1287442396313364,0.18765743073047858
2020-03-05,2020-03-12,20,0.13940092165898618,0.2031905961376994
2020-03-05,2020-03-12,18,0.13306451612903225,0.19395465994962216
2020-03-05,2020-03-12,21,0.06682027649769585,0.09739714525608732
2020-03-05,2020-03-12,17,0.1448732718894009,0.21116708648194793
2020-03-05,2020-03-12,14,0.07315668202764977,0.10663308144416457
2020-12-10,2020-12-17,13,0.005184331797235023,0.3
2020-12-10,2020-12-17,12,0.0037442396313364054,0.21666666666666667
2020-12-10,2020-12-17,11,0.0034562211981566822,0.2
2020-12-10,2020-12-17,10,0.004896313364055299,0.2833333333333333
