data_inizio,data_fine,delay,frequenza_delay
2020-02-25,2020-02-25,6,0.0008795074758135445
2020-02-26,2020-02-26,19,0.0008795074758135445
2020-02-27,2020-02-27,28,0.0008795074758135445
2020-02-28,2020-02-28,8,0.0008795074758135445
2020-02-29,2020-02-29,36,0.0008795074758135445
2020-03-02,2020-03-02,45,0.0008795074758135445
2020-03-02,2020-03-02,13,0.0008795074758135445
2020-03-04,2020-03-04,17,0.0008795074758135445
2020-03-04,2020-03-04,21,0.0008795074758135445
2020-03-04,2020-03-04,16,0.001759014951627089
2020-03-05,2020-03-05,12,0.0008795074758135445
2020-03-05,2020-03-05,10,0.0008795074758135445
2020-03-05,2020-03-05,1,0.0008795074758135445
2020-03-05,2020-03-05,33,0.0008795074758135445
2020-03-06,2020-03-06,17,0.0008795074758135445
2020-03-06,2020-03-06,4,0.0008795074758135445
2020-03-06,2020-03-06,31,0.0008795074758135445
2020-03-06,2020-03-06,72,0.0008795074758135445
2020-03-06,2020-03-06,54,0.0008795074758135445
2020-03-06,2020-03-06,97,0.0008795074758135445
2020-03-06,2020-03-06,32,0.0008795074758135445
2020-03-07,2020-03-07,10,0.0008795074758135445
2020-03-07,2020-03-07,25,0.0008795074758135445
2020-03-07,2020-03-07,30,0.0008795074758135445
2020-03-07,2020-03-07,7,0.0008795074758135445
2020-03-07,2020-03-07,5,0.0008795074758135445
2020-03-07,2020-03-07,18,0.0008795074758135445
2020-03-07,2020-03-07,3,0.0008795074758135445
2020-03-08,2020-03-08,18,0.0008795074758135445
2020-03-08,2020-03-08,15,0.0008795074758135445
2020-03-08,2020-03-08,48,0.0008795074758135445
2020-03-08,2020-03-08,38,0.0008795074758135445
2020-03-08,2020-03-08,2,0.0008795074758135445
2020-03-08,2020-03-08,9,0.0008795074758135445
2020-03-08,2020-03-08,20,0.0008795074758135445
2020-03-09,2020-03-09,14,0.001759014951627089
2020-03-09,2020-03-09,162,0.0008795074758135445
2020-03-09,2020-03-09,34,0.0008795074758135445
2020-03-10,2020-03-10,15,0.001759014951627089
2020-03-10,2020-03-10,77,0.0008795074758135445
2020-03-10,2020-03-10,22,0.0008795074758135445
2020-03-10,2020-03-10,29,0.0008795074758135445
2020-03-10,2020-03-10,105,0.0008795074758135445
2020-03-11,2020-03-11,20,0.0008795074758135445
2020-03-11,2020-03-11,11,0.0008795074758135445
2020-03-11,2020-03-11,57,0.001759014951627089
2020-03-11,2020-03-11,23,0.0008795074758135445
2020-03-11,2020-03-11,116,0.0008795074758135445
2020-03-11,2020-03-11,0,0.0008795074758135445
2020-03-11,2020-03-11,100,0.0008795074758135445
2020-03-12,2020-03-12,14,0.0008795074758135445
2020-03-12,2020-03-12,51,0.0008795074758135445
2020-03-12,2020-03-12,269,0.0008795074758135445
2020-03-12,2020-03-12,106,0.0008795074758135445
2020-03-12,2020-03-12,27,0.001759014951627089
2020-03-12,2020-03-12,35,0.0008795074758135445
2020-03-12,2020-03-12,127,0.0008795074758135445
2020-03-12,2020-03-12,46,0.0008795074758135445
2020-03-13,2020-03-13,44,0.0008795074758135445
2020-03-13,2020-03-13,76,0.0008795074758135445
2020-03-13,2020-03-13,24,0.0008795074758135445
2020-03-13,2020-03-13,49,0.0008795074758135445
2020-03-13,2020-03-13,26,0.001759014951627089
2020-03-13,2020-03-13,40,0.0008795074758135445
2020-03-13,2020-03-13,86,0.0008795074758135445
2020-03-14,2020-03-14,21,0.001759014951627089
2020-03-14,2020-03-14,78,0.001759014951627089
2020-03-14,2020-03-14,53,0.0008795074758135445
2020-03-14,2020-03-14,92,0.0008795074758135445
2020-03-14,2020-03-14,95,0.0008795074758135445
2020-03-14,2020-03-14,52,0.0008795074758135445
2020-03-14,2020-03-14,39,0.0008795074758135445
2020-03-14,2020-03-14,41,0.0008795074758135445
2020-03-15,2020-03-15,73,0.0008795074758135445
2020-03-15,2020-03-15,87,0.0008795074758135445
2020-03-15,2020-03-15,59,0.0008795074758135445
2020-03-15,2020-03-15,74,0.0008795074758135445
2020-03-15,2020-03-15,58,0.0008795074758135445
2020-03-15,2020-03-15,108,0.0008795074758135445
2020-03-15,2020-03-15,81,0.0008795074758135445
2020-03-16,2020-03-16,17,0.0043975373790677225
2020-03-16,2020-03-16,70,0.0008795074758135445
2020-03-16,2020-03-16,50,0.0008795074758135445
2020-03-17,2020-03-17,36,0.001759014951627089
2020-03-17,2020-03-17,60,0.0008795074758135445
2020-03-17,2020-03-17,93,0.0008795074758135445
2020-03-17,2020-03-17,71,0.0008795074758135445
2020-03-17,2020-03-17,43,0.0008795074758135445
2020-03-17,2020-03-17,175,0.0008795074758135445
2020-03-18,2020-03-18,3,0.003518029903254178
2020-03-18,2020-03-18,284,0.0008795074758135445
2020-03-18,2020-03-18,65,0.0008795074758135445
2020-03-19,2020-03-19,5,0.005277044854881266
2020-03-19,2020-03-19,42,0.001759014951627089
2020-03-19,2020-03-19,245,0.0008795074758135445
2020-03-19,2020-03-19,62,0.0008795074758135445
2020-03-20,2020-03-20,23,0.001759014951627089
2020-03-20,2020-03-20,121,0.0008795074758135445
2020-03-20,2020-03-20,101,0.0008795074758135445
2020-03-20,2020-03-20,83,0.001759014951627089
2020-03-21,2020-03-21,3,0.003518029903254178
2020-03-21,2020-03-21,90,0.0008795074758135445
2020-03-21,2020-03-21,102,0.0008795074758135445
2020-03-21,2020-03-21,103,0.0008795074758135445
2020-03-22,2020-03-22,27,0.0008795074758135445
2020-03-22,2020-03-22,119,0.0008795074758135445
2020-03-22,2020-03-22,67,0.001759014951627089
2020-03-22,2020-03-22,55,0.0008795074758135445
2020-03-22,2020-03-22,47,0.0008795074758135445
2020-03-22,2020-03-22,56,0.0008795074758135445
2020-03-22,2020-03-22,117,0.0008795074758135445
2020-03-22,2020-03-22,236,0.0008795074758135445
2020-03-22,2020-03-22,144,0.0008795074758135445
2020-03-22,2020-03-22,68,0.0008795074758135445
2020-03-22,2020-03-22,107,0.0008795074758135445
2020-03-23,2020-03-23,15,0.007036059806508356
2020-03-23,2020-03-23,110,0.0008795074758135445
2020-03-24,2020-03-24,11,0.001759014951627089
2020-03-24,2020-03-24,204,0.0008795074758135445
2020-03-25,2020-03-25,103,0.0008795074758135445
2020-03-25,2020-03-25,37,0.0008795074758135445
2020-03-25,2020-03-25,75,0.0008795074758135445
2020-03-26,2020-03-26,87,0.0008795074758135445
2020-03-26,2020-03-26,180,0.0008795074758135445
2020-03-26,2020-03-26,96,0.0008795074758135445
2020-03-27,2020-03-27,16,0.005277044854881266
2020-03-27,2020-03-27,63,0.0008795074758135445
2020-03-27,2020-03-27,142,0.0008795074758135445
2020-03-27,2020-03-27,89,0.0008795074758135445
2020-03-27,2020-03-27,279,0.0008795074758135445
2020-03-27,2020-03-27,134,0.0008795074758135445
2020-03-27,2020-03-27,199,0.0008795074758135445
2020-03-27,2020-03-27,79,0.0008795074758135445
2020-03-28,2020-03-28,28,0.0008795074758135445
2020-03-28,2020-03-28,122,0.0008795074758135445
2020-03-28,2020-03-28,99,0.0008795074758135445
2020-03-28,2020-03-28,156,0.0008795074758135445
2020-03-29,2020-03-29,4,0.007036059806508356
2020-03-29,2020-03-29,118,0.0008795074758135445
2020-03-29,2020-03-29,135,0.0008795074758135445
2020-03-30,2020-03-30,9,0.002638522427440633
2020-03-30,2020-03-30,139,0.0008795074758135445
2020-03-31,2020-03-31,7,0.0043975373790677225
2020-03-31,2020-03-31,126,0.0008795074758135445
2020-03-31,2020-03-31,132,0.0008795074758135445
2020-03-31,2020-03-31,178,0.0008795074758135445
2020-03-31,2020-03-31,94,0.0008795074758135445
2020-04-01,2020-04-01,19,0.006156552330694811
2020-04-01,2020-04-01,64,0.0008795074758135445
2020-04-01,2020-04-01,98,0.0008795074758135445
2020-04-01,2020-04-01,169,0.0008795074758135445
2020-04-02,2020-04-02,12,0.002638522427440633
2020-04-02,2020-04-02,267,0.0008795074758135445
2020-04-02,2020-04-02,85,0.0008795074758135445
2020-04-02,2020-04-02,66,0.0008795074758135445
2020-04-03,2020-04-03,14,0.007036059806508356
2020-04-03,2020-04-03,235,0.0008795074758135445
2020-04-03,2020-04-03,128,0.0008795074758135445
2020-04-04,2020-04-04,124,0.0008795074758135445
2020-04-04,2020-04-04,114,0.0008795074758135445
2020-04-04,2020-04-04,80,0.001759014951627089
2020-04-04,2020-04-04,61,0.0008795074758135445
2020-04-04,2020-04-04,91,0.0008795074758135445
2020-04-04,2020-04-04,195,0.0008795074758135445
2020-04-04,2020-04-04,193,0.0008795074758135445
2020-04-05,2020-04-05,18,0.008795074758135445
2020-04-05,2020-04-05,82,0.0008795074758135445
2020-04-06,2020-04-06,6,0.002638522427440633
2020-04-06,2020-04-06,163,0.0008795074758135445
2020-04-06,2020-04-06,113,0.0008795074758135445
2020-04-07,2020-04-07,19,0.009674582233948988
2020-04-07,2020-04-07,130,0.0008795074758135445
2020-04-07,2020-04-07,138,0.0008795074758135445
2020-04-07,2020-04-07,252,0.0008795074758135445
2020-04-07,2020-04-07,84,0.0008795074758135445
2020-04-08,2020-04-08,61,0.002638522427440633
2020-04-09,2020-04-09,4,0.0043975373790677225
2020-04-09,2020-04-09,266,0.0008795074758135445
2020-04-09,2020-04-09,123,0.0008795074758135445
2020-04-09,2020-04-09,136,0.0008795074758135445
2020-04-09,2020-04-09,153,0.0008795074758135445
2020-04-09,2020-04-09,262,0.0008795074758135445
2020-04-10,2020-04-10,3,0.008795074758135445
2020-04-10,2020-04-10,164,0.0008795074758135445
2020-04-10,2020-04-10,150,0.0008795074758135445
2020-04-10,2020-04-10,265,0.0008795074758135445
2020-04-10,2020-04-10,188,0.0008795074758135445
2020-04-10,2020-04-10,112,0.0008795074758135445
2020-04-11,2020-04-11,19,0.0079155672823219
2020-04-11,2020-04-11,104,0.0008795074758135445
2020-04-12,2020-04-12,16,0.0079155672823219
2020-04-12,2020-04-12,167,0.0008795074758135445
2020-04-12,2020-04-12,168,0.0008795074758135445
2020-04-12,2020-04-12,109,0.0008795074758135445
2020-04-13,2020-04-13,153,0.0008795074758135445
2020-04-13,2020-04-13,155,0.0008795074758135445
2020-04-14,2020-04-14,2,0.002638522427440633
2020-04-14,2020-04-14,133,0.0008795074758135445
2020-04-14,2020-04-14,129,0.0008795074758135445
2020-04-15,2020-04-15,61,0.001759014951627089
2020-04-15,2020-04-15,88,0.0008795074758135445
2020-04-15,2020-04-15,237,0.0008795074758135445
2020-04-15,2020-04-15,260,0.0008795074758135445
2020-04-15,2020-04-15,69,0.0008795074758135445
2020-04-16,2020-04-16,4,0.011433597185576077
2020-04-16,2020-04-16,201,0.0008795074758135445
2020-04-17,2020-04-17,18,0.006156552330694811
2020-04-17,2020-04-17,258,0.0008795074758135445
2020-04-17,2020-04-17,182,0.0008795074758135445
2020-04-17,2020-04-17,200,0.0008795074758135445
2020-04-18,2020-04-18,15,0.010554089709762533
2020-04-19,2020-04-19,2,0.003518029903254178
2020-04-19,2020-04-19,151,0.0008795074758135445
2020-04-20,2020-04-20,0,0.005277044854881266
2020-04-20,2020-04-20,131,0.0008795074758135445
2020-04-20,2020-04-20,140,0.0008795074758135445
2020-04-20,2020-04-20,148,0.0008795074758135445
2020-04-21,2020-04-21,15,0.008795074758135445
2020-04-22,2020-04-22,15,0.006156552330694811
2020-04-22,2020-04-22,253,0.0008795074758135445
2020-04-23,2020-04-23,250,0.0008795074758135445
2020-04-23,2020-04-23,176,0.0008795074758135445
2020-04-24,2020-04-24,63,0.0008795074758135445
2020-04-25,2020-04-25,18,0.005277044854881266
2020-04-25,2020-04-25,194,0.0008795074758135445
2020-04-26,2020-04-26,24,0.001759014951627089
2020-04-27,2020-04-27,37,0.0008795074758135445
2020-04-27,2020-04-27,230,0.0008795074758135445
2020-04-28,2020-04-28,14,0.005277044854881266
2020-04-29,2020-04-29,7,0.003518029903254178
2020-04-29,2020-04-29,115,0.0008795074758135445
2020-04-30,2020-04-30,19,0.002638522427440633
2020-04-30,2020-04-30,170,0.0008795074758135445
2020-04-30,2020-04-30,125,0.0008795074758135445
2020-05-01,2020-05-01,10,0.005277044854881266
2020-05-01,2020-05-01,143,0.0008795074758135445
2020-05-02,2020-05-02,16,0.0043975373790677225
2020-05-02,2020-05-02,120,0.0008795074758135445
2020-05-02,2020-05-02,184,0.0008795074758135445
2020-05-02,2020-05-02,171,0.0008795074758135445
2020-05-03,2020-05-03,9,0.0008795074758135445
2020-05-04,2020-05-04,2,0.001759014951627089
2020-05-05,2020-05-05,19,0.0008795074758135445
2020-05-06,2020-05-06,16,0.002638522427440633
2020-05-07,2020-05-07,17,0.001759014951627089
2020-05-07,2020-05-07,209,0.0008795074758135445
2020-05-08,2020-05-08,1,0.0008795074758135445
2020-05-08,2020-05-08,154,0.0008795074758135445
2020-05-09,2020-05-09,24,0.001759014951627089
2020-05-10,2020-05-10,2,0.0008795074758135445
2020-05-11,2020-05-11,17,0.0008795074758135445
2020-05-11,2020-05-11,149,0.0008795074758135445
2020-05-12,2020-05-12,7,0.002638522427440633
2020-05-13,2020-05-13,4,0.0008795074758135445
2020-05-14,2020-05-14,54,0.0008795074758135445
2020-05-14,2020-05-14,187,0.0008795074758135445
2020-05-15,2020-05-15,11,0.0008795074758135445
2020-05-15,2020-05-15,217,0.0008795074758135445
2020-05-16,2020-05-16,1,0.0008795074758135445
2020-05-17,2020-05-17,30,0.0008795074758135445
2020-05-18,2020-05-18,17,0.001759014951627089
2020-05-19,2020-05-19,9,0.0008795074758135445
2020-05-19,2020-05-19,158,0.0008795074758135445
2020-05-20,2020-05-20,21,0.001759014951627089
2020-05-21,2020-05-21,30,0.0008795074758135445
2020-05-22,2020-05-22,27,0.0008795074758135445
2020-05-23,2020-05-23,20,0.001759014951627089
2020-05-24,2020-05-24,19,0.0008795074758135445
2020-05-25,2020-05-25,8,0.0008795074758135445
2020-05-25,2020-05-25,220,0.0008795074758135445
