data_inizio,data_fine,delay,frequenza_delay
2020-02-28,2020-02-29,0,0.00017373175816539263
2020-03-04,2020-03-05,0,0.00017373175816539263
2020-03-05,2020-03-06,0,0.00034746351633078526
2020-03-06,2020-03-07,0,0.00017373175816539263
2020-03-07,2020-03-08,0,0.0005211952744961779
2020-03-08,2020-03-09,0,0.0006949270326615705
2020-03-09,2020-03-10,0,0.00017373175816539263
2020-03-10,2020-03-11,0,0.0006949270326615705
2020-03-11,2020-03-12,0,0.0017373175816539264
2020-03-12,2020-03-13,0,0.002432244614315497
2020-03-13,2020-03-14,0,0.0026059763724808893
2020-03-14,2020-03-15,0,0.002779708130646282
2020-03-15,2020-03-16,0,0.0017373175816539264
2020-03-16,2020-03-17,0,0.002779708130646282
2020-03-17,2020-03-18,0,0.003995830437804031
2020-03-18,2020-03-19,0,0.005038220986796386
2020-03-19,2020-03-20,0,0.002953439888811675
2020-03-20,2020-03-21,0,0.0034746351633078527
2020-03-21,2020-03-22,0,0.005559416261292564
2020-03-22,2020-03-23,0,0.0057331480194579565
2020-03-23,2020-03-24,0,0.004343293954134816
2020-03-24,2020-03-25,0,0.003822098679638638
2020-03-25,2020-03-26,0,0.005038220986796386
2020-03-26,2020-03-27,0,0.0036483669214732455
2020-03-27,2020-03-28,0,0.0036483669214732455
2020-03-28,2020-03-29,0,0.004690757470465601
2020-03-29,2020-03-30,0,0.002258512856150104
2020-03-30,2020-03-31,0,0.0017373175816539264
2020-03-31,2020-04-01,0,0.004343293954134816
2020-04-01,2020-04-02,0,0.00330090340514246
2020-04-02,2020-04-03,0,0.004343293954134816
2020-04-03,2020-04-04,0,0.002432244614315497
2020-04-04,2020-04-05,0,0.004517025712300208
2020-04-05,2020-04-06,0,0.003822098679638638
2020-04-06,2020-04-07,0,0.002432244614315497
2020-04-07,2020-04-08,0,0.0015635858234885338
2020-04-08,2020-04-09,0,0.004690757470465601
2020-04-09,2020-04-10,0,0.002779708130646282
2020-04-10,2020-04-11,0,0.002953439888811675
2020-04-11,2020-04-12,0,0.002258512856150104
2020-04-12,2020-04-13,0,0.0020847810979847115
2020-04-13,2020-04-14,0,0.0015635858234885338
2020-04-14,2020-04-15,0,0.001911049339819319
2020-04-15,2020-04-16,0,0.0026059763724808893
2020-04-16,2020-04-17,0,0.004517025712300208
2020-04-17,2020-04-18,0,0.002953439888811675
2020-04-18,2020-04-19,0,0.0020847810979847115
2020-04-19,2020-04-20,0,0.0015635858234885338
2020-04-20,2020-04-21,0,0.0017373175816539264
2020-04-21,2020-04-22,0,0.0031271716469770676
2020-04-22,2020-04-23,0,0.001911049339819319
2020-04-23,2020-04-24,0,0.0017373175816539264
2020-04-24,2020-04-25,0,0.0020847810979847115
2020-04-25,2020-04-26,0,0.00330090340514246
2020-04-26,2020-04-27,0,0.00017373175816539263
2020-04-27,2020-04-28,0,0.001389854065323141
2020-04-28,2020-04-29,0,0.001911049339819319
2020-04-29,2020-04-30,0,0.0020847810979847115
2020-04-30,2020-05-01,0,0.0026059763724808893
2020-05-01,2020-05-02,0,0.0006949270326615705
2020-05-02,2020-05-03,0,0.0020847810979847115
2020-05-03,2020-05-04,0,0.0008686587908269632
2020-05-04,2020-05-05,0,0.0010423905489923557
2020-05-05,2020-05-06,0,0.0005211952744961779
2020-05-06,2020-05-07,0,0.0008686587908269632
2020-05-07,2020-05-08,0,0.0010423905489923557
2020-05-08,2020-05-09,0,0.00034746351633078526
2020-05-09,2020-05-10,0,0.0005211952744961779
2020-05-10,2020-05-11,0,0.00017373175816539263
2020-05-11,2020-05-12,0,0.00017373175816539263
2020-05-12,2020-05-13,0,0.0005211952744961779
2020-05-13,2020-05-14,0,0.00034746351633078526
2020-05-14,2020-05-15,0,0.00034746351633078526
2020-05-15,2020-05-16,0,0.0005211952744961779
2020-05-16,2020-05-17,0,0.00034746351633078526
2020-05-17,2020-05-18,0,0.00017373175816539263
2020-05-18,2020-05-19,0,0.00017373175816539263
2020-05-19,2020-05-20,0,0.00017373175816539263
2020-05-20,2020-05-21,0,0.0005211952744961779
2020-05-21,2020-05-22,0,0.0008686587908269632
2020-05-22,2020-05-23,0,0.00017373175816539263
2020-05-23,2020-05-24,0,0.00017373175816539263
2020-05-24,2020-05-25,0,0.00017373175816539263
2020-05-25,2020-05-26,0,0.0006949270326615705
2020-05-26,2020-05-27,0,0.00034746351633078526
